segment,wrong_direction_rate,N
baseline,0.1983500717360115,2788
bottom_20,0.27598566308243727,558
top_20,0.01971326164874552,558
top_10,0.0035842293906810036,279
D1,0.2867383512544803,279
D2,0.26523297491039427,279
D3,0.25448028673835127,279
D4,0.3345323741007194,278
D5,0.2903225806451613,279
D6,0.22939068100358423,279
D7,0.20503597122302158,278
D8,0.07885304659498207,279
D9,0.035842293906810034,279
D10,0.0035842293906810036,279
