N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,segment,MFE,MAE,target_hit_rate,stop_hit_rate,wrong_direction_rate,retention,signals_rejected,signals/day
2788,0.5064562410329986,0.3499974318258542,975.7928399304815,1.7882353286265988,42.84477954140584,22.775069690519953,keep_100,1.542072104339159,0.8500835220802181,0.14562410329985653,0.3988522238163558,0.1983500717360115,1.0,0,1.7067517342242617
2509,0.5113591072140294,0.3741835849696469,938.826614688844,1.8517525253614247,37.91962404355263,24.758331295968375,keep_90,1.5774747788541081,0.841344677983481,0.14986050219210842,0.39378238341968913,0.18852132323634915,0.9,279,1.5359541252398394
2230,0.5237668161434977,0.4287706843750694,956.1586261564047,2.0030762058286857,35.572714989610176,26.878989316268736,keep_80,1.6304298126832564,0.8202036523535683,0.16233183856502242,0.3820627802690583,0.1789237668161435,0.8,558,1.3651565162554173
1952,0.538422131147541,0.4912926017934171,959.0031587007502,2.190811416323226,23.51762245131431,40.778065924225906,keep_70,1.6959721746703484,0.7893727073193262,0.1762295081967213,0.36885245901639346,0.1680327868852459,0.7,836,1.1949710850809752
1673,0.5564853556485355,0.5705689704311285,954.561887531278,2.4592776245205967,18.39938111747506,51.88010843607506,keep_60,1.7791714140284036,0.7456817063586363,0.19187089061566048,0.34668260609683205,0.14046622833233713,0.6,1115,1.024173476096553
1394,0.5824964131994261,0.6728871277634068,938.004656102189,2.837558702682904,9.223414969765258,101.69819521045162,keep_50,1.8862531056310652,0.6873731488180781,0.2109038737446198,0.32639885222381637,0.11047345767575323,0.5,1394,0.8533758671121309
1115,0.6,0.7606376184953969,848.1109446223676,3.1627919759522003,9.223414969765258,91.95194484933302,keep_40,2.0055872114820588,0.6558146543055582,0.2358744394618834,0.3130044843049327,0.08071748878923767,0.4,1673,0.6825782581277087
836,0.6351674641148325,0.8975695163911658,750.3681157030146,3.8381924205941713,9.223414969765258,81.35469543143758,keep_30,2.164745917300768,0.5829868973603226,0.26555023923444976,0.2799043062200957,0.039473684210526314,0.3,1952,0.5117806491432865
558,0.6917562724014337,1.121899475251325,626.0199071902393,5.2569794170127695,4.580984968957182,136.65618015174297,keep_20,2.3953816000678696,0.5033964236095495,0.3225806451612903,0.23118279569892472,0.01971326164874552,0.2,2230,0.34159521796884434
279,0.7347670250896058,1.408956005154788,393.09872543818585,7.474689239850448,3.065412065999112,128.23682982081004,keep_10,2.784350695159349,0.3937727601622096,0.43010752688172044,0.1863799283154122,0.0035842293906810036,0.1,2509,0.17079760898442217
