family,year,n,fp_1_1,fp_2_1,asym_15m
A,2017,525,0.4838095238095238,0.3171428571428571,1.0252993774751178
A,2018,1939,0.49716348633316143,0.33970056788848735,1.0701382700832032
A,2019,2204,0.477994555353902,0.3082160689968225,0.9623400682793396
A,2020,2095,0.4828162291169451,0.324582338902148,1.0402846331530122
A,2021,1980,0.49217171717171715,0.32734177215189875,0.9868369706174884
A,2022,1820,0.5107201759208356,0.34390512961941533,0.9956070813300755
A,2023,1984,0.4939516129032258,0.3297174571140262,0.9871987096745528
A,2024,1988,0.5143360160965795,0.3473551637279597,1.1025276601315854
A,2025,1949,0.4969214982042073,0.3372750642673522,1.0849182961732051
A,2026,1268,0.5315457413249212,0.35331230283911674,1.1045178720072468
B,2017,452,0.5132743362831859,0.336283185840708,0.8813576026814346
B,2018,1892,0.47595137420718814,0.3138551031200423,0.8598674761087259
B,2019,1787,0.479003359462486,0.3107122826696579,0.8963351485402467
B,2020,1881,0.5058479532163743,0.3300531914893617,0.8869872388940531
B,2021,1843,0.48182311448724907,0.32074959261271047,0.8951231086353213
B,2022,1872,0.5251202565473009,0.3461744248261102,1.059941922288857
B,2023,1920,0.5044270833333333,0.3308900523560209,0.9759003890173827
B,2024,1971,0.5017757483510908,0.32544529262086513,0.9013414621584691
B,2025,1856,0.5002693965517241,0.3300970873786408,0.9047013493032031
B,2026,1188,0.49284511784511786,0.32491582491582494,1.0022640048241978
D,2017,875,0.4931350114416476,0.32548794489092997,0.9256034714729638
D,2018,3710,0.48611485575626856,0.32191965489350227,0.9609495149648618
D,2019,3522,0.4921897188298779,0.3167092924126172,0.9421214278203409
D,2020,3606,0.48211314475873546,0.331992230854606,0.985474529321517
D,2021,3467,0.502596653202539,0.3357411152845998,0.9754691520881075
D,2022,3449,0.51101768628588,0.34505813953488373,1.0273670057880053
D,2023,3694,0.48862713241267264,0.3165262299537918,0.9568038125890854
D,2024,3741,0.5044117647058823,0.3309236947791165,0.9918656894462533
D,2025,3538,0.4968900197907832,0.3279569892473118,0.9713278144677667
D,2026,2262,0.5097259062776304,0.3403454384410983,1.0437715765344984
E,2017,830,0.5,0.3433734939759036,0.9951379047743094
E,2018,4683,0.5067264573991032,0.3425945714896345,1.0455458801099138
E,2019,3676,0.5048966267682263,0.3386877212088211,1.0674690528058481
E,2020,4772,0.5010479983232027,0.3371800251783466,1.018232923582046
E,2021,4148,0.5144682903303593,0.3507372492144066,1.1081141985354666
E,2022,4771,0.5024119127516778,0.3415841584158416,1.002817513871044
E,2023,4570,0.5041593695271454,0.3285055957867018,0.9991571347415754
E,2024,4364,0.5006874427131073,0.33937170373767483,1.0284665760896325
E,2025,4169,0.48009114895658433,0.31107374489550804,0.9313222105736614
E,2026,2713,0.4939181717655732,0.31388478581979323,0.9312833978490267
F,2017,1251,0.495603517186251,0.3113964686998395,0.9449739723665438
F,2018,4767,0.49265785609397944,0.33067561896768777,0.931007089186425
F,2019,5000,0.484,0.3039647577092511,0.919354538929189
F,2020,4997,0.49709825895537324,0.3246896275530637,0.9884672681294575
F,2021,4718,0.49395802416790335,0.33028887000849616,0.9594471443600285
F,2022,4671,0.5004282655246253,0.33336909871244635,1.0099662003249477
F,2023,4887,0.5014329580348004,0.3344622331691297,0.9811245673070463
F,2024,5031,0.49840985887497513,0.3271260705038837,0.9624776602655305
F,2025,4750,0.49336842105263157,0.33126053962900504,0.9972375943386197
F,2026,2995,0.5140233722871452,0.3392976588628763,1.0267947040572531
