signal_ts,direction,family,value_source,level_price,dist_from_level,reason_codes,entry_ts,entry_price,chase_atr,delay_bars,atr,mfe_3m,mae_3m,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,fp_0.5atr_before_0.5atr,fp_1.0atr_before_1.0atr,fp_1.5atr_before_1.0atr,fp_2.0atr_before_1.0atr,fp_2.5atr_before_1.0atr,fp_3.0atr_before_1.0atr,fp_1.0atr_before_1.5atr,fp_2.0atr_before_1.5atr,fp_2.5atr_before_1.5atr
2017-10-18 09:14:00-05:00,LONG,B_LOWER_REJECTION,prior,6110.5,2.25,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-10-18 09:15:00-05:00,6112.75,0.0,1,2.482142857142857,0.8057553956834532,0.10071942446043165,0.8057553956834532,0.2014388489208633,1.5107913669064748,0.302158273381295,2.618705035971223,0.302158273381295,3.9280575539568345,0.302158273381295,4.83453237410072,0.302158273381295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-10-24 09:08:00-05:00,LONG,B_LOWER_REJECTION,prior,6072.5,1.5,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-10-24 09:09:00-05:00,6074.0,0.0,1,3.607142857142857,0.2079207920792079,1.1782178217821782,0.2079207920792079,1.1782178217821782,0.4158415841584158,1.1782178217821782,0.693069306930693,1.1782178217821782,1.1782178217821782,1.1782178217821782,3.7425742574257423,1.1782178217821782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2017-10-24 09:13:00-05:00,LONG,B_LOWER_REJECTION,prior,6072.5,1.0,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-10-24 09:14:00-05:00,6073.75,0.07567567567567568,1,3.3035714285714284,0.5297297297297298,0.6054054054054054,0.5297297297297298,0.9081081081081082,0.8324324324324325,0.9081081081081082,1.1351351351351353,0.9081081081081082,2.9513513513513514,0.9081081081081082,4.162162162162162,0.9081081081081082,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-10-24 09:19:00-05:00,LONG,B_LOWER_REJECTION,prior,6072.5,2.5,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-10-24 09:20:00-05:00,6075.25,0.10294117647058824,1,2.4285714285714284,0.5147058823529412,1.1323529411764708,0.5147058823529412,1.1323529411764708,1.0294117647058825,1.1323529411764708,1.2352941176470589,1.1323529411764708,3.397058823529412,1.1323529411764708,5.044117647058824,1.1323529411764708,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2017-10-25 08:32:00-05:00,LONG,B_LOWER_REJECTION,prior,6072.5,5.75,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-10-25 08:33:00-05:00,6078.5,0.13592233009708737,1,1.8392857142857142,1.2233009708737865,2.0388349514563107,1.2233009708737865,2.0388349514563107,4.893203883495146,2.0388349514563107,4.893203883495146,2.0388349514563107,4.893203883495146,8.427184466019417,4.893203883495146,9.37864077669903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-25 09:02:00-05:00,LONG,B_LOWER_REJECTION,prior,6072.5,0.75,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-10-25 09:03:00-05:00,6073.25,0.0,1,4.25,0.47058823529411764,0.35294117647058826,0.8235294117647058,0.35294117647058826,0.8235294117647058,0.35294117647058826,0.8235294117647058,2.235294117647059,0.8235294117647058,2.823529411764706,0.8235294117647058,4.470588235294118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-25 09:06:00-05:00,LONG,B_LOWER_REJECTION,prior,6072.5,2.25,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-10-25 09:07:00-05:00,6074.75,0.0,1,4.107142857142857,0.42608695652173917,0.3652173913043479,0.42608695652173917,0.3652173913043479,0.42608695652173917,2.556521739130435,0.42608695652173917,3.2869565217391306,0.42608695652173917,3.2869565217391306,0.42608695652173917,7.9739130434782615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-25 09:27:00-05:00,LONG,B_LOWER_REJECTION,prior,6072.5,1.25,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-10-25 09:28:00-05:00,6073.5,0.06422018348623854,1,3.892857142857143,0.7706422018348624,0.0,0.7706422018348624,0.25688073394495414,0.7706422018348624,0.7706422018348624,0.7706422018348624,1.5412844036697249,0.7706422018348624,4.623853211009174,0.7706422018348624,14.770642201834862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01 12:32:00-05:00,LONG,B_LOWER_REJECTION,prior,6238.5,0.25,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-11-01 12:33:00-05:00,6239.0,0.0880503144654088,1,2.8392857142857144,0.6163522012578616,0.7044025157232704,0.6163522012578616,0.9685534591194969,0.880503144654088,0.9685534591194969,0.880503144654088,0.9685534591194969,1.761006289308176,4.226415094339623,2.8176100628930816,4.226415094339623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01 12:40:00-05:00,LONG,B_LOWER_REJECTION,prior,6238.5,2.0,TEST_BELOW_VAL|FAILURE_TO_ACCEPT|CLOSE_BACK_INSIDE_VALUE|SIGNAL_LONG,2017-11-01 12:41:00-05:00,6240.5,0.0,1,2.107142857142857,0.4745762711864407,1.3050847457627117,0.4745762711864407,1.423728813559322,0.4745762711864407,2.6101694915254234,0.4745762711864407,5.101694915254237,1.8983050847457628,6.406779661016949,3.084745762711864,6.406779661016949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
