level_type,level_category,band_atr,n,match_status,two_sided_15_treat,beats_simple_sr,band_cliff,verdict
ROLL_20M_LOW,simple,0.5,51980,N/A_SIMPLE,4.418901862577661,True,False,N/A_SIMPLE_BASELINE
ROLL_30M_HIGH,simple,0.1,46835,N/A_SIMPLE,4.157587811440569,True,False,N/A_SIMPLE_BASELINE
ROLL_30M_HIGH,simple,0.25,46826,N/A_SIMPLE,4.183869913091254,True,False,N/A_SIMPLE_BASELINE
ROLL_30M_HIGH,simple,0.5,46400,N/A_SIMPLE,4.201782948935522,True,False,N/A_SIMPLE_BASELINE
ROLL_30M_LOW,simple,0.1,40617,N/A_SIMPLE,4.430081064660788,True,False,N/A_SIMPLE_BASELINE
ROLL_30M_LOW,simple,0.25,41181,N/A_SIMPLE,4.426622497462999,True,False,N/A_SIMPLE_BASELINE
ROLL_30M_LOW,simple,0.5,41748,N/A_SIMPLE,4.434344285840352,True,False,N/A_SIMPLE_BASELINE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
