band,count,win_rate,AvgR,PF,TotalR
VERY_HIGH,34608,0.47543920480813684,0.29374811492999214,1.4056871741927628,10166.034761497169
HIGH,5695,0.42791922739244953,0.1536930335506009,1.1979969823284586,875.2818260706722
MEDIUM,17021,0.3662534516185888,-0.09030348655890255,0.8966877587375601,-1537.0556447190804
LOW,3164,0.48830594184576487,0.37418624154733643,1.544538750458158,1183.9252682557724
VERY_LOW,1465,0.44505119453924913,0.18223843466257064,1.2386015439496276,266.979306780666
