period,model,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,metrics_match,trades_byte_exact,event_debug_byte_exact,reference_trades_sha256,reproduced_trades_sha256,reference_event_debug_sha256,reproduced_event_debug_sha256
2021-2023,BOS,2283,950,1329,41.61191414805081,0.0183760470248138,41.9525153576501,1.0357224914294905,55.71690374578103,2.0,-1.0,7,18,True,True,True,63a0605fbe1520f47d56ccae9137cb7cb144caab1bb18f929c68b2833a2122d8,63a0605fbe1520f47d56ccae9137cb7cb144caab1bb18f929c68b2833a2122d8,c539740b7569fdc35129ee0ec12e7fb1b42e66f38cd0e06764bf3cbb7f9f0dd7,c539740b7569fdc35129ee0ec12e7fb1b42e66f38cd0e06764bf3cbb7f9f0dd7
2024-2026,BOS,1867,779,1087,41.72469201928227,0.003366851758669,6.2859122334351465,1.0064744130534202,39.72730633611094,2.0,-1.0,9,16,True,True,True,41fb57758d017d3fbdd4cdf19677aed9ef823e9eb883e906f4e57339adcfbaf5,41fb57758d017d3fbdd4cdf19677aed9ef823e9eb883e906f4e57339adcfbaf5,c71cbf2968202f1b1881bdc5c2abc921fbd8499b27720461de98d52c15ddbcb7,c71cbf2968202f1b1881bdc5c2abc921fbd8499b27720461de98d52c15ddbcb7
2021-2026 combined,BOS,4150,1729,2416,41.66265060240964,0.011623717491827768,48.23842759108524,1.022485780745393,57.86573603464265,2.0,-1.0,9,18,True,True,True,two immutable period files; see rows above,two byte-identical period reruns; see rows above,two immutable period files; see rows above,two byte-identical period reruns; see rows above
