dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
year,2021,764,318,444,41.62303664921466,0.045562878829618805,34.81003942582877,1.0870794286560495,39.880493135577865,2.0,-1.0,7,11
year,2022,754,312,441,41.37931034482759,-0.0031884159500615403,-2.4040656263464015,0.9937735342431594,32.571571549988036,2.0,-1.0,7,10
year,2023,765,320,444,41.830065359477125,0.012479139291722507,9.546541558167718,1.024569926181782,32.970604026508745,2.0,-1.0,6,18
year,2024,782,335,447,42.83887468030691,0.005558503046210964,4.346749382136974,1.010862455411727,39.72730633611094,2.0,-1.0,9,9
year,2025,719,293,425,40.75104311543811,-0.0027370689202752983,-1.9679525536779394,0.9948216840855,26.029169775472674,2.0,-1.0,9,16
year,2026,366,151,215,41.256830601092894,0.01067517870212054,3.9071154049761176,1.0204898509351494,29.44021893039618,2.0,-1.0,7,14
quarter,2021Q1,159,73,86,45.911949685534594,0.16432415538412584,26.127540706076008,1.3319383101294888,7.515412971678193,2.0,-1.0,5,5
quarter,2021Q2,181,75,106,41.43646408839779,0.052500657522823506,9.502619011631054,1.0992318493211906,25.009958220295044,2.0,-1.0,7,7
quarter,2021Q3,215,100,114,46.51162790697674,0.1693423922383755,36.40861433125073,1.3642258000398741,7.595511874091287,2.0,-1.0,7,6
quarter,2021Q4,209,70,138,33.49282296650718,-0.1781279168570767,-37.228734623129036,0.7029186619369269,38.79456901599152,2.0,-1.0,5,11
quarter,2022Q1,183,74,108,40.43715846994535,0.04137344362642117,7.5713401836350736,1.0826846115021356,17.109406910942344,2.0,-1.0,5,9
quarter,2022Q2,173,71,102,41.040462427745666,0.019757671432047277,3.418077157744179,1.039431340891999,18.214134088462405,2.0,-1.0,5,7
quarter,2022Q3,200,79,121,39.5,-0.060554414394802004,-12.110882878960401,0.8898429671052938,21.172626094785073,2.0,-1.0,4,10
quarter,2022Q4,198,88,110,44.44444444444444,-0.006477778226087121,-1.28260008876525,0.9869001056878451,17.203393978592306,2.0,-1.0,7,6
quarter,2023Q1,195,92,103,47.17948717948718,0.11711715535844543,22.83784529489686,1.2512277228557316,11.336221305961597,2.0,-1.0,5,6
quarter,2023Q2,179,80,99,44.6927374301676,0.07406083451453285,13.25688937810138,1.1532262956460075,19.864758831243513,2.0,-1.0,6,8
quarter,2023Q3,199,81,118,40.7035175879397,-0.008580059286771928,-1.707431798067614,0.9836014914202348,13.30382770172109,2.0,-1.0,4,6
quarter,2023Q4,192,67,124,34.895833333333336,-0.1293789651914735,-24.84076131676291,0.7678461867309601,26.514660634723597,2.0,-1.0,5,18
quarter,2024Q1,186,84,102,45.16129032258065,0.06836117678999229,12.715178882938567,1.1394464685160368,11.671464624306239,2.0,-1.0,9,9
quarter,2024Q2,215,84,131,39.06976744186046,-0.07772346567237291,-16.710545119560177,0.8581092866607049,23.89553789941724,2.0,-1.0,5,9
quarter,2024Q3,200,79,121,39.5,-0.041261171643056066,-8.252234328611213,0.9225472946055416,24.823536304820948,2.0,-1.0,5,9
quarter,2024Q4,181,88,93,48.61878453038674,0.09168149142193258,16.594349947369796,1.1960036657814077,8.36338487759581,2.0,-1.0,7,6
quarter,2025Q1,180,63,117,35.0,-0.10259911060330443,-18.467839908594797,0.8202056625431162,25.816398264886658,2.0,-1.0,5,16
quarter,2025Q2,177,72,105,40.67796610169491,0.005381433466157741,0.9525137235099201,1.0101897634173125,26.029169775472667,2.0,-1.0,5,9
