method,simulations,trades_per_path,block_trades,probability_terminal_R_positive,terminal_R_p1,terminal_R_p5,terminal_R_p25,terminal_R_p50,terminal_R_p75,terminal_R_p95,terminal_R_p99,max_drawdown_R_p50,max_drawdown_R_p75,max_drawdown_R_p90,max_drawdown_R_p95,max_drawdown_R_p99,longest_losing_streak_p50,longest_losing_streak_p75,longest_losing_streak_p90,longest_losing_streak_p95,longest_losing_streak_p99
IID bootstrap,10000,4150,1,0.7344,-126.52439207683534,-75.57576356520536,-3.3575588707614594,48.90020877090306,100.73944408756802,173.77084566927547,230.4518609979872,69.46660890992122,90.92378094377574,117.61231899659005,135.1762130912072,172.38156155408942,14.0,16.0,17.0,19.0,22.0
Moving-block bootstrap (20 trades),10000,4150,20,0.7399,-122.62793758279842,-72.03363354653882,-2.5195986672187893,47.3769367927743,98.44951796008013,170.0338616680025,218.31564689047428,68.40683576821606,88.99778824182637,113.75267126472926,130.46399429699372,167.42122006710903,16.0,18.0,20.0,21.0,24.0
