analysis_type,window_months,start_month,end_month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
rolling,3,2021-01,2021-03,159,73,86,45.911949685534594,0.16432415538412584,26.127540706076008,1.3319383101294888,7.515412971678193,2.0,-1.0,5,5
rolling,3,2021-02,2021-04,178,82,96,46.06741573033708,0.1870090463356718,33.28761024774958,1.3868910917000483,7.3761322732593335,2.0,-1.0,7,5
rolling,3,2021-03,2021-05,178,86,92,48.31460674157304,0.25944609192510193,46.18140436266815,1.561295088625709,7.87136732946238,2.0,-1.0,7,5
rolling,3,2021-04,2021-06,181,75,106,41.43646408839779,0.052500657522823506,9.502619011631054,1.0992318493211906,25.009958220295044,2.0,-1.0,7,7
rolling,3,2021-05,2021-07,191,81,109,42.40837696335078,0.05733936963876708,10.951819601004512,1.1121470141670284,25.556256517530233,2.0,-1.0,4,7
rolling,3,2021-06,2021-08,199,81,117,40.7035175879397,0.04239796757923616,8.437195548267995,1.081377624728284,21.0118654535135,2.0,-1.0,4,7
rolling,3,2021-07,2021-09,215,100,114,46.51162790697674,0.1693423922383755,36.40861433125073,1.3642258000398741,7.595511874091287,2.0,-1.0,7,6
rolling,3,2021-08,2021-10,202,87,115,43.06930693069307,0.07492109939882818,15.134062078563293,1.147334710897866,10.554592557141994,2.0,-1.0,7,7
rolling,3,2021-09,2021-11,214,89,125,41.58878504672897,-0.018540430651212116,-3.9676521593593925,0.9656967140672102,18.81728025716521,2.0,-1.0,7,7
rolling,3,2021-10,2021-12,209,70,138,33.49282296650718,-0.1781279168570767,-37.228734623129036,0.7029186619369269,38.79456901599152,2.0,-1.0,5,11
rolling,3,2021-11,2022-01,202,65,136,32.17821782178218,-0.17716086733180167,-35.78649520102394,0.7014149730571307,40.93144662299588,2.0,-1.0,5,11
rolling,3,2021-12,2022-02,195,63,130,32.30769230769231,-0.14734630802881707,-28.73253006561933,0.7391358698958371,34.40928814951676,2.0,-1.0,4,11
rolling,3,2022-01,2022-03,183,74,108,40.43715846994535,0.04137344362642117,7.5713401836350736,1.0826846115021356,17.109406910942344,2.0,-1.0,5,9
rolling,3,2022-02,2022-04,185,72,112,38.91891891891892,-0.0088107513633991,-1.6299890022288333,0.9831278986097349,15.66192380845202,2.0,-1.0,5,7
rolling,3,2022-03,2022-05,176,73,103,41.47727272727273,0.07083537613351722,12.467026199499031,1.1390422723430802,18.2141340884624,2.0,-1.0,5,7
rolling,3,2022-04,2022-06,173,71,102,41.040462427745666,0.019757671432047277,3.418077157744179,1.039431340891999,18.214134088462405,2.0,-1.0,5,7
rolling,3,2022-05,2022-07,186,80,106,43.01075268817204,0.06216723837685403,11.56310633809485,1.1266181378188276,15.207043370843138,2.0,-1.0,5,10
rolling,3,2022-06,2022-08,202,84,118,41.584158415841586,-0.02172560935323044,-4.388573089352549,0.9575066592998415,22.302708990778758,2.0,-1.0,5,10
rolling,3,2022-07,2022-09,200,79,121,39.5,-0.060554414394802004,-12.110882878960401,0.8898429671052938,21.172626094785073,2.0,-1.0,4,10
rolling,3,2022-08,2022-10,193,78,115,40.41450777202073,-0.08338282982197673,-16.09288615564151,0.8474244841090354,21.921027969162015,2.0,-1.0,5,6
rolling,3,2022-09,2022-11,186,79,107,42.473118279569896,-0.023206534239242935,-4.316415368499186,0.9564464466873197,21.921027969162015,2.0,-1.0,7,6
rolling,3,2022-10,2022-12,198,88,110,44.44444444444444,-0.006477778226087121,-1.28260008876525,0.9869001056878451,17.203393978592306,2.0,-1.0,7,6
rolling,3,2022-11,2023-01,196,97,99,49.48979591836735,0.14290650370971275,28.0096747271037,1.3307644476769553,8.725851804848173,2.0,-1.0,7,5
rolling,3,2022-12,2023-02,191,90,101,47.12041884816754,0.0835446558702806,15.957029271223597,1.1858817849842076,11.336221305961597,2.0,-1.0,5,6
rolling,3,2023-01,2023-03,195,92,103,47.17948717948718,0.11711715535844543,22.83784529489686,1.2512277228557316,11.336221305961597,2.0,-1.0,5,6
rolling,3,2023-02,2023-04,180,79,101,43.888888888888886,0.026195660232797124,4.715218841903482,1.0508975778410545,10.970928110673384,2.0,-1.0,5,6
rolling,3,2023-03,2023-05,188,82,106,43.61702127659574,0.038659530233041375,7.267991683811778,1.0769731360391288,19.86475883124351,2.0,-1.0,6,8
rolling,3,2023-04,2023-06,179,80,99,44.6927374301676,0.07406083451453285,13.25688937810138,1.1532262956460075,19.864758831243513,2.0,-1.0,6,8
rolling,3,2023-05,2023-07,184,80,104,43.47826086956522,0.08075085797042783,14.85815786655872,1.164776981601159,12.834269122792966,2.0,-1.0,6,8
rolling,3,2023-06,2023-08,195,84,111,43.07692307692308,0.042610030592347393,8.308955965507742,1.0841258446339637,11.542401306654336,2.0,-1.0,4,5
rolling,3,2023-07,2023-09,199,81,118,40.7035175879397,-0.008580059286771928,-1.707431798067614,0.9836014914202348,13.30382770172109,2.0,-1.0,4,6
rolling,3,2023-08,2023-10,212,86,125,40.56603773584906,-0.027152799070676165,-5.756393402983347,0.9480789905938646,17.268143387853833,2.0,-1.0,5,10
rolling,3,2023-09,2023-11,204,73,130,35.78431372549019,-0.0948154907695596,-19.342360116990157,0.8266471724139481,23.51744806221842,2.0,-1.0,5,18
rolling,3,2023-10,2023-12,192,67,124,34.895833333333336,-0.1293789651914735,-24.84076131676291,0.7678461867309601,26.514660634723597,2.0,-1.0,5,18
rolling,3,2023-11,2024-01,192,70,122,36.458333333333336,-0.11650571352732471,-22.369096997246345,0.7879492220440149,33.57442281795244,2.0,-1.0,9,18
rolling,3,2023-12,2024-02,186,78,108,41.935483870967744,-0.02763569531632412,-5.140239328836286,0.9470081528814337,16.875544227165577,2.0,-1.0,9,9
rolling,3,2024-01,2024-03,186,84,102,45.16129032258065,0.06836117678999229,12.715178882938567,1.1394464685160368,11.671464624306239,2.0,-1.0,9,9
rolling,3,2024-02,2024-04,195,84,111,43.07692307692308,0.02011463333962354,3.9223535012265907,1.0394905771142844,16.36833965361429,2.0,-1.0,6,8
rolling,3,2024-03,2024-05,210,87,123,41.42857142857143,0.0072147113976622395,1.5150893935090703,1.0137780568347972,23.895537899417235,2.0,-1.0,6,9
rolling,3,2024-04,2024-06,215,84,131,39.06976744186046,-0.07772346567237291,-16.710545119560177,0.8581092866607049,23.89553789941724,2.0,-1.0,5,9
rolling,3,2024-05,2024-07,221,85,136,38.46153846153846,-0.0800937928082064,-17.700728210613615,0.8540900023714326,26.66560821298392,2.0,-1.0,4,9
rolling,3,2024-06,2024-08,202,80,122,39.603960396039604,-0.09979091355623132,-20.157764538358727,0.8162704115364086,23.31881357279542,2.0,-1.0,4,9
rolling,3,2024-07,2024-09,200,79,121,39.5,-0.041261171643056066,-8.252234328611213,0.9225472946055416,24.823536304820948,2.0,-1.0,5,9
rolling,3,2024-08,2024-10,192,86,106,44.791666666666664,0.05853802150486032,11.239300128933182,1.1189861384862037,10.811478959898176,2.0,-1.0,7,8
rolling,3,2024-09,2024-11,184,84,100,45.65217391304348,0.0907890528583801,16.705185725941938,1.1906132465649242,7.1297499067086605,2.0,-1.0,7,8
rolling,3,2024-10,2024-12,181,88,93,48.61878453038674,0.09168149142193258,16.594349947369796,1.1960036657814077,8.36338487759581,2.0,-1.0,7,6
rolling,3,2024-11,2025-01,164,66,98,40.24390243902439,-0.01619287803301049,-2.6556319974137206,0.9688338012033781,17.103273330758846,2.0,-1.0,5,16
rolling,3,2024-12,2025-02,173,67,106,38.72832369942196,-0.024667947065169636,-4.267554842274347,0.953811920178006,23.461687382609263,2.0,-1.0,5,16
rolling,3,2025-01,2025-03,180,63,117,35.0,-0.10259911060330443,-18.467839908594797,0.8202056625431162,25.816398264886658,2.0,-1.0,5,16
rolling,3,2025-02,2025-04,182,79,103,43.40659340659341,0.06810487057210661,12.395086444123404,1.1379568346039475,13.221196062275492,2.0,-1.0,5,7
rolling,3,2025-03,2025-05,193,83,110,43.005181347150256,0.050733934787470264,9.79164941398176,1.0983832998060188,11.007454167219684,2.0,-1.0,5,7
rolling,3,2025-04,2025-06,177,72,105,40.67796610169491,0.005381433466157741,0.9525137235099201,1.0101897634173125,26.029169775472667,2.0,-1.0,5,9
rolling,3,2025-05,2025-07,166,64,102,38.55421686746988,-0.049343202992824825,-8.190971696808921,0.9132044854771924,26.029169775472667,2.0,-1.0,5,9
rolling,3,2025-06,2025-08,160,65,94,40.625,-0.0006034488720383924,-0.09655181952614278,0.9988606877547255,19.640115337895732,2.0,-1.0,9,9
rolling,3,2025-07,2025-09,179,81,97,45.25139664804469,0.1016300060040501,18.19177107472497,1.2011093378391655,9.88374860690756,2.0,-1.0,9,6
rolling,3,2025-08,2025-10,182,81,100,44.505494505494504,0.041127872560583034,7.485272806026112,1.0814175277255746,9.883748606907561,2.0,-1.0,5,6
rolling,3,2025-09,2025-11,177,77,100,43.50282485875706,0.031986700444884414,5.6616459787445415,1.0620327878279636,12.730435850292915,2.0,-1.0,5,6
rolling,3,2025-10,2025-12,183,77,106,42.076502732240435,-0.01445025925310397,-2.6443974433180264,0.9716831718164589,15.515155390119995,2.0,-1.0,4,8
rolling,3,2025-11,2026-01,184,78,106,42.391304347826086,0.0370127024704038,6.8103372545543,1.0745365230457666,15.515155390119993,2.0,-1.0,4,8
rolling,3,2025-12,2026-02,187,76,111,40.64171122994652,-0.04614041381962856,-8.62825738427054,0.9116523514987269,17.117017292936094,2.0,-1.0,4,14
rolling,3,2026-01,2026-03,176,69,107,39.20454545454545,-0.06746681274376404,-11.87415904290247,0.8727286185342713,29.44021893039618,2.0,-1.0,5,14
rolling,3,2026-02,2026-04,202,80,122,39.603960396039604,-0.04910441352469773,-9.919091531988942,0.9105504163552242,28.011734849590763,2.0,-1.0,6,14
rolling,3,2026-03,2026-05,198,80,118,40.4040404040404,-0.025418668093660602,-5.032896282544799,0.9527709994853764,19.44717856282675,2.0,-1.0,6,6
rolling,3,2026-04,2026-06,190,82,108,43.1578947368421,0.08305933919936098,15.781274447878587,1.1620462867966557,11.483947590705549,2.0,-1.0,7,7
rolling,6,2021-01,2021-06,340,148,192,43.529411764705884,0.1047945874050208,35.63015971770707,1.2042149316689679,25.009958220295047,2.0,-1.0,7,7
rolling,6,2021-02,2021-07,369,163,205,44.173441734417345,0.11989005379066152,44.2394298487541,1.240831375908512,25.556256517530226,2.0,-1.0,7,7
rolling,6,2021-03,2021-08,377,167,209,44.29708222811671,0.1448769228406794,54.61859991093614,1.2937177632474715,25.556256517530237,2.0,-1.0,7,7
rolling,6,2021-04,2021-09,396,175,220,44.19191919191919,0.1159374579365702,45.9112333428818,1.2345719705215965,25.556256517530233,2.0,-1.0,7,7
rolling,6,2021-05,2021-10,393,168,224,42.74809160305343,0.06637628926098678,26.085881679567805,1.1301854176372899,25.556256517530233,2.0,-1.0,7,7
rolling,6,2021-06,2021-11,413,170,242,41.16222760290557,0.010822138956195167,4.469543388908604,1.0203769165954708,21.0118654535135,2.0,-1.0,7,7
rolling,6,2021-07,2021-12,424,170,252,40.094339622641506,-0.0019342459714110775,-0.8201202918782968,0.9963594965103221,39.880493135577815,2.0,-1.0,7,11
rolling,6,2021-08,2022-01,404,152,251,37.62376237623762,-0.05111988396648675,-20.652433122460646,0.9072103249002328,46.88581971780248,2.0,-1.0,7,11
