year,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
2021,764,318,444,41.62303664921466,0.045562878829618805,34.81003942582877,1.0870794286560495,39.880493135577865,2.0,-1.0,7,11
2022,754,312,441,41.37931034482759,-0.0031884159500615403,-2.4040656263464015,0.9937735342431594,32.571571549988036,2.0,-1.0,7,10
2023,765,320,444,41.830065359477125,0.012479139291722507,9.546541558167718,1.024569926181782,32.970604026508745,2.0,-1.0,6,18
2024,782,335,447,42.83887468030691,0.005558503046210964,4.346749382136974,1.010862455411727,39.72730633611094,2.0,-1.0,9,9
2025,719,293,425,40.75104311543811,-0.0027370689202752983,-1.9679525536779394,0.9948216840855,26.029169775472674,2.0,-1.0,9,16
2026,366,151,215,41.256830601092894,0.01067517870212054,3.9071154049761176,1.0204898509351494,29.44021893039618,2.0,-1.0,7,14
