fold,train_period,evaluation_period,hypothesis_id,dimension,condition,complexity,training_eligible,selected_by_train,train_N,train_wins,train_losses,train_win_pct,train_avg_R,train_total_R,train_profit_factor,train_max_drawdown_R,train_largest_win_R,train_largest_loss_R,train_max_consecutive_wins,train_max_consecutive_losses,train_realistic_total_R,train_one_sided_p,eval_N,eval_wins,eval_losses,eval_win_pct,eval_avg_R,eval_total_R,eval_profit_factor,eval_max_drawdown_R,eval_largest_win_R,eval_largest_loss_R,eval_max_consecutive_wins,eval_max_consecutive_losses,eval_realistic_total_R,eval_realistic_profit_factor
F1,2021,2022,H0092,direction x score_band,Long | 95+,2,False,False,44,22,22,50.0,0.24088492242816487,10.598936586839255,1.6416828835542945,4.775098335077029,2.0,-1.0,5,4,9.253897531091898,0.07823741178312793,39,20,19,51.282051282051285,0.19384008670608713,7.5597633815373975,1.4943500217650367,3.0,2.0,-1.0,5,3,6.7687637841676835,1.4321993504200983
F1,2021,2022,H0093,direction x score_band,Short | 70-74,2,False,False,1,1,0,100.0,1.2594325826929595,1.2594325826929595,99.9,0.0,1.2594325826929595,1.2594325826929595,1,0,1.2361691782992676,1.0,1,1,0,100.0,2.0,2.0,99.9,0.0,2.0,2.0,1,0,1.9848132942746264,99.9
F1,2021,2022,H0094,direction x score_band,Short | 75-79,2,False,False,138,54,83,39.130434782608695,0.013149919007014182,1.8146888229679572,1.0243382853038703,20.853103255042345,2.0,-1.0,9,7,-5.629753946389739,0.4504024421404902,161,71,90,44.099378881987576,0.012847489625671973,2.0684458297331876,1.025799497475241,16.274871923417177,2.0,-1.0,4,7,-2.587575475878735,0.9688079170342901
F1,2021,2022,H0095,direction x score_band,Short | 80-84,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0096,direction x score_band,Short | 85-89,2,False,False,18,4,14,22.22222222222222,-0.4616892455340566,-8.310406419613019,0.3513434625882129,8.310406419613019,2.0,-1.0,1,6,-8.909681509336483,0.9808235466577532,16,11,5,68.75,0.40996296153897943,6.559407384623671,3.2896795121119653,1.0,2.0,-1.0,3,1,6.266030750412531,3.121408553194079
F1,2021,2022,H0097,direction x score_band,Short | 90-94,2,False,False,156,62,94,39.743589743589745,0.09352515247278487,14.58992378575444,1.1659195251326402,15.826116919651085,2.0,-1.0,5,11,4.634545004174824,0.1921729637852595,173,63,110,36.41618497109827,-0.059537477319473446,-10.299983576268906,0.89684347855808,16.801064548945927,2.0,-1.0,5,10,-17.316429184814922,0.8340409804380378
F1,2021,2022,H0098,direction x score_band,Short | 95+,2,False,False,36,8,28,22.22222222222222,-0.4098030532248684,-14.75290991609526,0.4465622337940094,15.752909916095259,2.0,-1.0,2,6,-16.031806859064037,0.9880330077075139,40,21,19,52.5,0.20102751141394776,8.04110045655791,1.541229722296962,3.753757577767219,2.0,-1.0,7,5,7.259525127213772,1.4751270616611543
F1,2021,2022,H0099,direction x volatility,Long | Low,2,False,False,98,51,46,52.04081632653061,0.31794927345819657,31.15902879890326,1.733009549659204,4.482649310388933,2.0,-1.0,7,3,22.06129101475284,0.008151750555824289,98,39,59,39.795918367346935,-0.03400823433561027,-3.332806964889806,0.9406486668110536,24.763161699767174,2.0,-1.0,5,11,-9.20809053817001,0.8455487260729965
F1,2021,2022,H0100,direction x volatility,Long | Medium,2,False,False,134,61,73,45.52238805970149,0.091575318439815,12.27109267093521,1.1954544004752605,11.066393431592266,2.0,-1.0,5,6,5.789658983789458,0.18420297660283702,96,36,59,37.5,-0.09375890563450569,-9.000854940912546,0.823079020611098,18.02907304954455,2.0,-1.0,3,6,-11.983829405295827,0.7731383838420598
F1,2021,2022,H0101,direction x volatility,Long | High,2,False,False,183,77,106,42.076502732240435,-0.017600059561293888,-3.2208108997167813,0.9651790333050914,19.42540756270245,2.0,-1.0,5,8,-8.072199285557211,0.5841124305746936,169,70,99,41.42011834319526,0.009234474466331893,1.56062618481009,1.0191884251272092,9.517790677108053,2.0,-1.0,6,8,-1.3633702839853603,0.9835816977845874
F1,2021,2022,H0102,direction x volatility,Long | Unavailable,2,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0103,direction x volatility,Short | Low,2,False,False,112,40,71,35.714285714285715,-0.04684994964190896,-5.247194359893803,0.9181168715377654,18.075076587119497,2.0,-1.0,4,10,-15.79307085040492,0.655114691773762,103,36,67,34.95145631067961,-0.12373160563512726,-12.744355380418108,0.7946338289814439,29.064995016776365,2.0,-1.0,6,16,-18.999052126500178,0.7126706584961161
