hypothesis_id,dimension,condition,complexity,conditions_json,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,one_sided_p,realistic_avg_R,realistic_total_R,realistic_profit_factor,realistic_max_drawdown_R,positive_years,calendar_year_buckets,max_positive_year_contribution,top_1pct_removed_count,top_1pct_removed_total_R,fdr_q,evidence_label
H0001,direction,Long,1,"[{""feature"": ""direction_name"", ""value"": ""Long""}]",2150,941,1206,43.76744186046512,0.0274847305172901,59.09217061217371,1.0557451680984353,45.7611921374498,2.0,-1.0,6,14,0.13357648206921624,-0.011727934572211388,-25.215059330254483,0.9772373428052812,84.96533737064388,3,6,0.5493885104347239,22,15.092170612173714,0.6587394577799878,DESCRIPTIVE ONLY
H0002,direction,Short,1,"[{""feature"": ""direction_name"", ""value"": ""Short""}]",2000,788,1210,39.4,-0.005426871510544246,-10.853743021088492,0.9899988061614651,54.09483683072784,2.0,-1.0,8,15,0.579365008089128,-0.046644566270007515,-93.28913254001503,0.9178849087573405,129.20261774541382,2,6,0.5669672250376422,20,-50.853743021088476,0.8574602119719096,DESCRIPTIVE ONLY
H0003,HTF_bias,Bull,1,"[{""feature"": ""htf_regime_name"", ""value"": ""Bull""}]",2402,1003,1396,41.75686927560366,0.028364583580542585,68.13172976046329,1.0548206741316748,45.17694898174716,2.0,-1.0,9,18,0.12258002179543792,-0.017814448821685196,-42.790306069687844,0.9672983950521498,92.9624644189959,5,6,0.2563348106012689,25,18.13172976046329,0.6587394577799878,DESCRIPTIVE ONLY
H0004,HTF_bias,Bear,1,"[{""feature"": ""htf_regime_name"", ""value"": ""Bear""}]",1743,724,1017,41.537578886976476,-0.01156024422349428,-20.14950568155053,0.9776135821816407,54.57754514155862,2.0,-1.0,9,15,0.6618433298657456,-0.043518352923222946,-75.8524891451776,0.9186878069508588,103.95419289207825,1,6,1.0,18,-56.14950568155053,0.8745786858940209,DESCRIPTIVE ONLY
H0005,HTF_bias,Neutral,1,"[{""feature"": ""htf_regime_name"", ""value"": ""Neutral""}]",5,2,3,40.0,0.051240702434495765,0.25620351217247883,1.1068524960190596,2.397730719615378,2.0,-1.0,2,3,0.46438847916529624,0.027720668919183213,0.13860334459591606,1.0565061339715298,2.452890241363004,1,6,1.0,1,-1.7437964878275212,,DESCRIPTIVE ONLY
H0006,HTF_alignment,Aligned,1,"[{""feature"": ""htf_alignment"", ""value"": ""Aligned""}]",2072,884,1185,42.664092664092664,0.024618222351327785,51.00895671195117,1.0489178604051366,40.47554151587407,2.0,-1.0,7,14,0.16858065131108757,-0.014953667400771992,-30.98399885439957,0.9715688924371955,100.26083581604571,3,6,0.640807308320098,21,9.00895671195117,0.6779093896058604,DESCRIPTIVE ONLY
H0007,HTF_alignment,Counter-trend,1,"[{""feature"": ""htf_alignment"", ""value"": ""Counter-trend""}]",2073,843,1228,40.6657018813314,-0.0014600736290585699,-3.0267326330384154,0.9972487776394643,42.26769327246569,2.0,-1.0,8,15,0.5222487554409958,-0.04228596061768734,-87.65879636046586,0.9238789267107617,101.21204933196142,3,6,0.7091867950579396,21,-45.0267326330384,0.8574602119719096,DESCRIPTIVE ONLY
H0008,HTF_alignment,Neutral,1,"[{""feature"": ""htf_alignment"", ""value"": ""Neutral""}]",5,2,3,40.0,0.051240702434495765,0.25620351217247883,1.1068524960190596,2.397730719615378,2.0,-1.0,2,3,0.46438847916529624,0.027720668919183213,0.13860334459591606,1.0565061339715298,2.452890241363004,1,6,1.0,1,-1.7437964878275212,,DESCRIPTIVE ONLY
H0009,session,Overnight,1,"[{""feature"": ""session_name"", ""value"": ""Overnight""}]",1410,591,817,41.91489361702128,0.04766426271740859,67.20661043154611,1.0928772626795968,40.27363182401355,2.0,-1.0,8,12,0.06995558149167858,-0.014033836084551915,-19.7877088792182,0.9744553075280821,83.91153124526414,5,6,0.47642869643598906,15,37.206610431546096,0.6587394577799878,DESCRIPTIVE ONLY
H0010,session,Premarket,1,"[{""feature"": ""session_name"", ""value"": ""Premarket""}]",989,381,606,38.52376137512639,0.011778714750238438,11.649148887985815,1.020348632479622,43.92451325422238,2.0,-1.0,5,11,0.3864708605917402,-0.026109875732735103,-25.822667099675016,0.9566152819991344,62.957070051556045,4,6,0.47045270831793323,10,-8.350851112014185,0.8146660830790688,DESCRIPTIVE ONLY
