test,detail,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Unmodified,Original BOS,4150,1729,2416,41.66265060240964,0.011623717491827768,48.23842759108524,1.022485780745393,57.86573603464265,2.0,-1.0,9,18
Remove largest win,Removed 1 highest-R trades,4149,1728,2416,41.64859002169197,0.011144475196694446,46.238427591085255,1.0215535040577692,57.86573603464264,2.0,-1.0,9,18
Remove top 5 wins,Removed 5 highest-R trades,4145,1724,2416,41.592279855247284,0.009225193628729852,38.23842759108524,1.0178243973072754,57.865736034642644,2.0,-1.0,9,18
Remove top 10 wins,Removed 10 highest-R trades,4140,1719,2416,41.52173913043478,0.0068208762297307345,28.23842759108524,1.0131630138691574,57.86573603464267,2.0,-1.0,9,18
Remove top 1% outcomes,Removed 42 highest-R trades,4108,1687,2416,41.06621226874391,-0.008705348687661818,-35.761572408914745,0.9833301598652032,66.94261665048379,2.0,-1.0,9,18
Remove top 5% outcomes,Removed 208 highest-R trades,3942,1521,2416,38.58447488584475,-0.09329314368567093,-367.7615724089148,0.8285722297196918,398.94261665048396,2.0,-1.0,9,18
Winsorize positive tail at 99%,Positive outcomes capped at 2.000000R,4150,1729,2416,41.66265060240964,0.011623717491827768,48.23842759108524,1.022485780745393,57.86573603464265,2.0,-1.0,9,18
Winsorize positive tail at 95%,Positive outcomes capped at 2.000000R,4150,1729,2416,41.66265060240964,0.011623717491827768,48.23842759108524,1.022485780745393,57.86573603464265,2.0,-1.0,9,18
