slice,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
full,5560,0.36726618705035974,-0.03602386234212708,-200.29267462222657,0.942280987994118,241.52167872805896,-0.8292948097952973
exclude_top_1pct,5504,0.360828488372093,-0.05663487704049773,-311.7183632308995,0.9101710734867704,316.59166736906644,-0.9846069728282334
