bar_i,open,high,low,close,fav_r,adv_r,mfe_a,mae_a,entry,atr,stop,target_2p5
130160,6764.0,6767.75,6763.75,6767.0,0.9898989898989898,-0.23569023569023567,0.9898989898989898,0.0,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130161,6766.75,6767.25,6762.25,6762.5,0.8956228956228955,0.04713804713804714,0.9898989898989898,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130162,6763.0,6767.5,6762.75,6766.75,0.9427609427609427,-0.04713804713804714,0.9898989898989898,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130163,6767.0,6770.25,6766.0,6766.5,1.4612794612794613,-0.6599326599326599,1.4612794612794613,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130164,6766.75,6767.5,6764.25,6766.25,0.9427609427609427,-0.32996632996632996,1.4612794612794613,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130165,6766.25,6768.75,6765.0,6768.0,1.1784511784511784,-0.47138047138047134,1.4612794612794613,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130166,6767.75,6772.75,6764.5,6772.5,1.9326599326599325,-0.3771043771043771,1.9326599326599325,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130167,6772.0,6774.25,6769.25,6771.75,2.2154882154882154,-1.2727272727272727,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130168,6771.75,6773.75,6770.0,6771.75,2.121212121212121,-1.4141414141414141,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130169,6772.0,6773.5,6770.5,6770.75,2.074074074074074,-1.5084175084175084,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130170,6771.0,6772.25,6770.25,6771.5,1.8383838383838382,-1.4612794612794613,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130171,6771.25,6773.0,6770.75,6771.5,1.9797979797979797,-1.5555555555555556,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130172,6771.5,6772.5,6769.5,6770.5,1.8855218855218854,-1.3198653198653199,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130173,6770.75,6772.5,6769.5,6771.25,1.8855218855218854,-1.3198653198653199,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130174,6771.0,6771.0,6766.75,6769.0,1.6026936026936027,-0.8013468013468014,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130175,6769.0,6769.25,6764.25,6765.5,1.2727272727272727,-0.32996632996632996,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130176,6766.0,6767.0,6763.25,6766.0,0.8484848484848484,-0.1414141414141414,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130177,6766.0,6770.0,6765.75,6768.75,1.4141414141414141,-0.6127946127946128,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130178,6768.75,6770.0,6766.75,6768.25,1.4141414141414141,-0.8013468013468014,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130179,6768.25,6770.0,6763.75,6764.25,1.4141414141414141,-0.23569023569023567,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130180,6764.0,6767.25,6763.5,6766.75,0.8956228956228955,-0.18855218855218855,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130181,6766.75,6768.0,6765.75,6765.75,1.037037037037037,-0.6127946127946128,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130182,6765.75,6772.0,6765.75,6770.75,1.791245791245791,-0.6127946127946128,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130183,6770.75,6774.0,6770.0,6773.0,2.1683501683501682,-1.4141414141414141,2.2154882154882154,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130184,6773.25,6777.0,6773.0,6776.75,2.734006734006734,-1.9797979797979797,2.734006734006734,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130185,6776.75,6778.0,6775.0,6776.0,2.9225589225589226,-2.356902356902357,2.9225589225589226,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130186,6776.0,6780.25,6776.0,6779.5,3.3468013468013464,-2.5454545454545454,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130187,6779.5,6780.0,6777.0,6777.0,3.2996632996632993,-2.734006734006734,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130188,6777.25,6778.5,6773.5,6776.25,3.016835016835017,-2.074074074074074,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130189,6776.5,6778.25,6775.25,6776.25,2.9696969696969697,-2.404040404040404,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130190,6776.0,6777.5,6775.0,6776.5,2.8282828282828283,-2.356902356902357,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130191,6776.25,6777.0,6773.25,6774.0,2.734006734006734,-2.026936026936027,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130192,6774.0,6777.25,6774.0,6776.75,2.781144781144781,-2.1683501683501682,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130193,6776.75,6779.75,6776.25,6779.0,3.252525252525252,-2.5925925925925926,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130194,6779.0,6780.0,6778.5,6779.75,3.2996632996632993,-3.016835016835017,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130195,6779.75,6780.25,6774.0,6777.75,3.3468013468013464,-2.1683501683501682,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
130196,6778.0,6779.75,6776.25,6777.5,3.252525252525252,-2.5925925925925926,3.3468013468013464,0.04713804713804714,6762.5,5.303571428571429,6757.196428571428,6775.758928571428
