bar_i,open,high,low,close,fav_r,adv_r,mfe_a,mae_a,entry,atr,stop,target_2p5
1922,5989.75,5989.75,5988.75,5989.25,1.8666666666666667,-0.6222222222222222,1.8666666666666667,0.0,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1923,5989.5,5989.75,5989.5,5989.75,0.9333333333333333,-0.6222222222222222,1.8666666666666667,0.0,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1924,5989.5,5989.5,5989.25,5989.5,1.2444444444444445,-0.9333333333333333,1.8666666666666667,0.0,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1925,5989.5,5989.5,5989.25,5989.25,1.2444444444444445,-0.9333333333333333,1.8666666666666667,0.0,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1926,5989.5,5989.5,5988.75,5989.0,1.8666666666666667,-0.9333333333333333,1.8666666666666667,0.0,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1927,5988.75,5989.0,5988.5,5988.5,2.1777777777777776,-1.5555555555555556,2.1777777777777776,0.0,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1928,5988.5,5988.5,5987.25,5988.0,3.7333333333333334,-2.1777777777777776,3.7333333333333334,0.0,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1929,5988.0,5989.25,5988.0,5989.25,2.8,-1.2444444444444445,3.7333333333333334,0.0,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1930,5989.5,5990.5,5989.5,5990.0,0.9333333333333333,0.3111111111111111,3.7333333333333334,0.3111111111111111,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1931,5990.0,5991.0,5989.75,5990.75,0.6222222222222222,0.9333333333333333,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1932,5990.75,5991.0,5990.75,5991.0,-0.6222222222222222,0.9333333333333333,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1933,5990.5,5990.5,5989.5,5990.0,0.9333333333333333,0.3111111111111111,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1934,5989.75,5990.25,5989.75,5990.25,0.6222222222222222,0.0,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1935,5989.75,5990.5,5989.5,5990.0,0.9333333333333333,0.3111111111111111,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1936,5990.0,5990.0,5989.25,5989.75,1.2444444444444445,-0.3111111111111111,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1937,5989.75,5989.75,5989.75,5989.75,0.6222222222222222,-0.6222222222222222,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1938,5989.75,5989.75,5989.5,5989.5,0.9333333333333333,-0.6222222222222222,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1939,5989.75,5990.0,5989.5,5989.5,0.9333333333333333,-0.3111111111111111,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1940,5989.25,5989.75,5989.25,5989.75,1.2444444444444445,-0.6222222222222222,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1941,5989.5,5989.75,5989.5,5989.5,0.9333333333333333,-0.6222222222222222,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1942,5989.75,5989.75,5989.75,5989.75,0.6222222222222222,-0.6222222222222222,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1943,5989.75,5990.0,5989.0,5989.25,1.5555555555555556,-0.3111111111111111,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1944,5989.25,5989.5,5988.75,5989.0,1.8666666666666667,-0.9333333333333333,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1945,5988.75,5988.75,5988.25,5988.25,2.488888888888889,-1.8666666666666667,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1946,5988.25,5988.25,5988.0,5988.0,2.8,-2.488888888888889,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1947,5988.25,5988.25,5988.0,5988.25,2.8,-2.488888888888889,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1948,5988.5,5988.75,5988.5,5988.75,2.1777777777777776,-1.8666666666666667,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1949,5988.75,5988.75,5988.25,5988.5,2.488888888888889,-1.8666666666666667,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1950,5988.5,5988.5,5988.0,5988.5,2.8,-2.1777777777777776,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1951,5988.25,5988.25,5988.0,5988.25,2.8,-2.488888888888889,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1952,5988.0,5988.0,5987.5,5987.75,3.422222222222222,-2.8,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1953,5987.75,5988.0,5987.75,5987.75,3.111111111111111,-2.8,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1954,5987.75,5988.0,5987.75,5988.0,3.111111111111111,-2.8,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1955,5988.25,5988.25,5988.0,5988.25,2.8,-2.488888888888889,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1956,5988.5,5988.75,5988.5,5988.75,2.1777777777777776,-1.8666666666666667,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1957,5988.75,5989.0,5988.5,5989.0,2.1777777777777776,-1.5555555555555556,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1958,5989.25,5989.75,5989.0,5989.25,1.5555555555555556,-0.6222222222222222,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1959,5989.25,5989.5,5987.75,5988.25,3.111111111111111,-0.9333333333333333,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1960,5988.25,5988.5,5987.75,5988.5,3.111111111111111,-2.1777777777777776,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
1961,5988.75,5989.25,5988.25,5988.25,2.488888888888889,-1.2444444444444445,3.7333333333333334,0.9333333333333333,5990.25,0.8035714285714286,5991.053571428572,5988.241071428572
