bar_i,open,high,low,close,fav_r,adv_r,mfe_a,mae_a,entry,atr,stop,target_2p5
6888,6076.0,6076.5,6076.0,6076.25,1.5,-0.5,1.5,0.0,6075.75,0.5,6075.25,6077.0
6889,6076.25,6078.25,6076.25,6078.0,5.0,-1.0,5.0,0.0,6075.75,0.5,6075.25,6077.0
6890,6078.0,6078.25,6077.75,6078.0,5.0,-4.0,5.0,0.0,6075.75,0.5,6075.25,6077.0
6891,6078.0,6078.25,6077.75,6078.0,5.0,-4.0,5.0,0.0,6075.75,0.5,6075.25,6077.0
6892,6077.75,6078.0,6077.5,6077.5,4.5,-3.5,5.0,0.0,6075.75,0.5,6075.25,6077.0
6893,6077.5,6077.75,6076.75,6077.0,4.0,-2.0,5.0,0.0,6075.75,0.5,6075.25,6077.0
6894,6077.0,6077.0,6077.0,6077.0,2.5,-2.5,5.0,0.0,6075.75,0.5,6075.25,6077.0
6895,6077.0,6077.0,6076.5,6076.5,2.5,-1.5,5.0,0.0,6075.75,0.5,6075.25,6077.0
6896,6076.5,6076.5,6076.5,6076.5,1.5,-1.5,5.0,0.0,6075.75,0.5,6075.25,6077.0
6897,6076.5,6076.5,6076.25,6076.25,1.5,-1.0,5.0,0.0,6075.75,0.5,6075.25,6077.0
6898,6076.25,6076.75,6076.25,6076.75,2.0,-1.0,5.0,0.0,6075.75,0.5,6075.25,6077.0
6899,6076.25,6076.75,6076.25,6076.5,2.0,-1.0,5.0,0.0,6075.75,0.5,6075.25,6077.0
6900,6076.25,6076.5,6076.0,6076.0,1.5,-0.5,5.0,0.0,6075.75,0.5,6075.25,6077.0
6901,6076.0,6076.0,6075.75,6076.0,0.5,0.0,5.0,0.0,6075.75,0.5,6075.25,6077.0
6902,6075.75,6075.75,6075.25,6075.25,0.0,1.0,5.0,1.0,6075.75,0.5,6075.25,6077.0
6903,6075.0,6075.0,6074.25,6074.75,-1.5,3.0,5.0,3.0,6075.75,0.5,6075.25,6077.0
6904,6074.5,6075.0,6074.5,6075.0,-1.5,2.5,5.0,3.0,6075.75,0.5,6075.25,6077.0
6905,6075.25,6075.5,6074.75,6075.0,-0.5,2.0,5.0,3.0,6075.75,0.5,6075.25,6077.0
6906,6075.0,6075.25,6074.5,6074.75,-1.0,2.5,5.0,3.0,6075.75,0.5,6075.25,6077.0
6907,6074.75,6074.75,6074.5,6074.5,-2.0,2.5,5.0,3.0,6075.75,0.5,6075.25,6077.0
6908,6074.5,6074.75,6074.5,6074.5,-2.0,2.5,5.0,3.0,6075.75,0.5,6075.25,6077.0
6909,6074.25,6074.5,6074.0,6074.5,-2.5,3.5,5.0,3.5,6075.75,0.5,6075.25,6077.0
6910,6074.5,6074.5,6074.0,6074.25,-2.5,3.5,5.0,3.5,6075.75,0.5,6075.25,6077.0
6911,6074.25,6074.75,6074.25,6074.75,-2.0,3.0,5.0,3.5,6075.75,0.5,6075.25,6077.0
6912,6075.0,6075.25,6074.5,6074.5,-1.0,2.5,5.0,3.5,6075.75,0.5,6075.25,6077.0
6913,6074.5,6074.5,6074.25,6074.5,-2.5,3.0,5.0,3.5,6075.75,0.5,6075.25,6077.0
6914,6074.75,6074.75,6074.5,6074.75,-2.0,2.5,5.0,3.5,6075.75,0.5,6075.25,6077.0
6915,6074.5,6074.75,6073.25,6074.25,-2.0,5.0,5.0,5.0,6075.75,0.5,6075.25,6077.0
6916,6074.25,6074.75,6074.25,6074.5,-2.0,3.0,5.0,5.0,6075.75,0.5,6075.25,6077.0
6917,6074.5,6075.0,6074.5,6074.5,-1.5,2.5,5.0,5.0,6075.75,0.5,6075.25,6077.0
6918,6074.25,6074.75,6074.0,6074.75,-2.0,3.5,5.0,5.0,6075.75,0.5,6075.25,6077.0
6919,6074.75,6074.75,6074.25,6074.5,-2.0,3.0,5.0,5.0,6075.75,0.5,6075.25,6077.0
