bar_i,open,high,low,close,fav_r,adv_r,mfe_a,mae_a,entry,atr,stop,target_2p5
284773,7424.5,7426.5,7421.25,7426.0,1.4330708661417324,0.8818897637795275,1.4330708661417324,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284774,7426.0,7426.5,7426.0,7426.0,1.4330708661417324,-1.2125984251968505,1.4330708661417324,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284775,7429.5,7434.5,7427.5,7432.25,4.960629921259843,-1.874015748031496,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284776,7432.5,7432.75,7431.0,7431.25,4.1889763779527565,-3.4173228346456694,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284777,7431.25,7431.5,7430.0,7431.0,3.6377952755905514,-2.9763779527559056,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284778,7431.5,7431.5,7429.5,7430.0,3.6377952755905514,-2.7559055118110236,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284779,7430.25,7431.5,7429.25,7429.25,3.6377952755905514,-2.645669291338583,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284780,7429.0,7432.25,7428.25,7432.25,3.968503937007874,-2.204724409448819,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284781,7432.25,7432.5,7430.0,7430.25,4.078740157480315,-2.9763779527559056,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284782,7430.0,7431.0,7429.0,7431.0,3.4173228346456694,-2.5354330708661417,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284783,7430.75,7430.75,7430.5,7430.75,3.3070866141732282,-3.1968503937007875,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284784,7431.0,7431.75,7431.0,7431.75,3.748031496062992,-3.4173228346456694,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284785,7431.5,7432.25,7431.5,7431.5,3.968503937007874,-3.6377952755905514,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284786,7431.5,7431.75,7429.25,7429.5,3.748031496062992,-2.645669291338583,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284787,7429.5,7430.5,7429.5,7429.75,3.1968503937007875,-2.7559055118110236,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284788,7430.25,7430.25,7427.0,7428.0,3.0866141732283467,-1.6535433070866141,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284789,7428.0,7429.5,7428.0,7428.5,2.7559055118110236,-2.0944881889763782,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284790,7429.25,7429.75,7428.75,7429.75,2.866141732283465,-2.425196850393701,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284791,7429.5,7430.0,7428.0,7428.25,2.9763779527559056,-2.0944881889763782,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284792,7428.75,7429.0,7428.5,7428.5,2.5354330708661417,-2.3149606299212597,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284793,7429.0,7429.0,7428.0,7428.25,2.5354330708661417,-2.0944881889763782,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284794,7428.5,7429.0,7428.0,7429.0,2.5354330708661417,-2.0944881889763782,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284795,7429.25,7431.5,7429.25,7431.0,3.6377952755905514,-2.645669291338583,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284796,7430.5,7431.5,7429.25,7431.5,3.6377952755905514,-2.645669291338583,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284797,7431.5,7431.5,7430.0,7430.75,3.6377952755905514,-2.9763779527559056,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284798,7430.5,7430.5,7430.0,7430.0,3.1968503937007875,-2.9763779527559056,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284799,7429.75,7431.0,7429.75,7431.0,3.4173228346456694,-2.866141732283465,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284800,7431.0,7431.0,7429.25,7430.5,3.4173228346456694,-2.645669291338583,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284801,7430.75,7431.0,7430.25,7430.25,3.4173228346456694,-3.0866141732283467,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284802,7430.5,7430.5,7430.25,7430.5,3.1968503937007875,-3.0866141732283467,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284803,7430.75,7431.0,7430.25,7430.25,3.4173228346456694,-3.0866141732283467,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284804,7431.0,7431.0,7431.0,7431.0,3.4173228346456694,-3.4173228346456694,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284805,7431.0,7431.5,7431.0,7431.5,3.6377952755905514,-3.4173228346456694,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284806,7431.25,7431.5,7430.75,7430.75,3.6377952755905514,-3.3070866141732282,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284807,7431.0,7431.0,7430.25,7430.25,3.4173228346456694,-3.0866141732283467,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284808,7430.25,7430.25,7430.0,7430.0,3.0866141732283467,-2.9763779527559056,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284809,7430.0,7430.5,7430.0,7430.5,3.1968503937007875,-2.9763779527559056,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284810,7430.25,7430.5,7430.25,7430.25,3.1968503937007875,-3.0866141732283467,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284811,7430.5,7431.0,7430.5,7430.5,3.4173228346456694,-3.1968503937007875,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284812,7430.5,7431.25,7430.25,7431.25,3.52755905511811,-3.0866141732283467,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284813,7431.0,7431.0,7430.25,7430.25,3.4173228346456694,-3.0866141732283467,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284814,7430.75,7431.0,7430.75,7431.0,3.4173228346456694,-3.3070866141732282,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284815,7431.0,7431.25,7431.0,7431.25,3.52755905511811,-3.4173228346456694,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284816,7431.0,7431.5,7430.75,7430.75,3.6377952755905514,-3.3070866141732282,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284817,7431.0,7431.0,7430.75,7430.75,3.4173228346456694,-3.3070866141732282,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284818,7430.5,7430.5,7430.5,7430.5,3.1968503937007875,-3.1968503937007875,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284819,7430.5,7430.5,7429.25,7429.25,3.1968503937007875,-2.645669291338583,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284820,7429.5,7429.5,7428.25,7428.5,2.7559055118110236,-2.204724409448819,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284821,7428.5,7428.75,7427.5,7428.75,2.425196850393701,-1.874015748031496,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284822,7428.5,7428.75,7428.25,7428.75,2.425196850393701,-2.204724409448819,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284823,7429.0,7429.25,7428.25,7429.0,2.645669291338583,-2.204724409448819,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284824,7429.5,7429.75,7429.25,7429.25,2.866141732283465,-2.645669291338583,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284825,7429.75,7429.75,7429.75,7429.75,2.866141732283465,-2.866141732283465,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284826,7429.5,7430.0,7429.5,7430.0,2.9763779527559056,-2.7559055118110236,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
284827,7429.75,7429.75,7428.0,7428.0,2.866141732283465,-2.0944881889763782,4.960629921259843,0.8818897637795275,7423.25,2.267857142857143,7420.982142857143,7428.919642857143
