policy,winners_retained_pct,losers_removed_pct,selectivity_ratio,negative_R_avoided,positive_R_destroyed
P0,100.0,0.0,0.0,0.0,0.0
P4,99.93411902496156,0.17614276226502265,2.0933051951658532,83.77851779492816,40.02212290324458
