step,abstain_bands,trades_retained,AvgR,TotalR,selectivity_ratio
0,none,61953,0.17683026678103075,10955.165517885198,0.0
1,VERY_LOW,60488,0.17669928268589694,10688.186211104534,0.8073621455461941
2,"LOW,VERY_LOW",57324,0.16579898372145627,9504.26094284876,0.6941612597971661
3,"LOW,MEDIUM,VERY_LOW",53932,0.15581687876767425,8403.515905698208,0.6917202871341536
4,"HIGH,LOW,MEDIUM,VERY_LOW",34608,0.29374811492999214,10166.034761497169,0.9662486199129503
5,"HIGH,LOW,MEDIUM,VERY_HIGH,VERY_LOW",0,0.0,0.0,0.8130694335507377
