direction,policy,trades,abstained,AvgR,PF,TotalR,MaxDD,WinRate,winners_retained_pct,losers_removed_pct,abstained_AvgR,abstained_TotalR,negative_R_avoided,positive_R_destroyed,selectivity_ratio,false_reversals_removed
LONG,P4,31717,49,0.1685389790790796,1.2175363476137517,5345.550799451168,1760.0938616920098,0.44014251032569285,99.92126547849116,0.2135431300927227,-0.5713185966216141,-27.99461123445909,51.62600558665941,23.631394352200328,2.184636455099929,46
SHORT,P4,30157,30,0.18746463883429101,1.2458687561533393,5653.371113325714,1442.8423325762105,0.44248433199588816,99.94756947045164,0.1366120218579235,-0.5253927885741496,-15.761783657224488,32.15251220826874,16.390728551044248,1.9616280086720315,28
