policy,cost_mult,sample_n,N,AvgR,PF,TotalR,WinRate,MaxDD
P4,1.0,3000,3000,-0.607411022439784,0.5196059673565043,-1822.233067319352,0.4146666666666667,1965.3670012869857
P4,1.5,3000,3000,-1.2316200347826776,0.28813364549620873,-3694.860104348033,0.35733333333333334,3691.454877230597
P4,2.0,3000,3000,-1.8558290471255714,0.17377105613594143,-5567.487141376714,0.297,5562.3230388126085
