year,policy,trades,abstained,AvgR,PF,TotalR,MaxDD,WinRate,winners_retained_pct,losers_removed_pct,abstained_AvgR,abstained_TotalR,negative_R_avoided,positive_R_destroyed,selectivity_ratio,false_reversals_removed
2017,P4,1652,1,-0.9541834553056759,0.3548935344843161,-1576.3110681649766,1579.1146003127694,0.38619854721549635,100.0,0.09852216748768472,-1.8202020202021407,-1.8202020202021407,1.8202020202021407,0.0,inf,1
2018,P4,6841,13,-0.10632606074522176,0.8862232924246376,-727.3765815580621,1060.96901167747,0.4414559274959801,99.900760833609,0.261028452101279,-0.9264805527367681,-12.044247185577985,17.466684214969764,5.422437029391782,3.22118710098307,9
2019,P4,6953,7,-0.1215569450027493,0.8697689705250639,-845.1854386041159,873.8989418185975,0.4354954695814756,99.93399339933994,0.1272264631043257,-0.5853677896001788,-4.097574527201251,8.471736504201537,4.374161977000286,1.9367678994848945,7
2020,P4,6870,11,0.25202334352068595,1.3513104712325974,1731.4003699871125,89.42324680070871,0.436098981077147,99.89996665555185,0.20607934054611027,-0.3678503227419039,-4.0463535501609424,11.197794336549407,7.151440786388465,1.5658095579652256,10
2021,P4,7269,12,0.2607756014555854,1.3591877856478944,1895.5778469806505,62.50560174080033,0.45095611500894206,99.9390243902439,0.24993751562109473,-0.7104915875089279,-8.525899050107135,13.00139094199895,4.475491891891815,2.905019438322162,12
2022,P4,7202,11,0.3412530104954816,1.5101292029026707,2457.7041815884586,25.80766836359453,0.43904470980283256,99.87365761212888,0.1729676303434643,0.09558032136129507,1.0513835349742457,8.333820259253795,9.38520379422804,0.8879743521796668,11
2023,P4,7080,6,0.22101288745409528,1.2984960026429764,1564.7712431749947,139.41298105587953,0.44152542372881354,99.93606138107417,0.1010611419909045,-0.14354189570350076,-0.8612513742210046,5.352772071388715,4.4915206971677115,1.1917505077432007,6
2024,P4,7265,4,0.29137697909231836,1.4157801676218222,2116.8537531056927,36.627317060192695,0.4443220922229869,100.0,0.0989853996535511,-1.1688282495549531,-4.6753129982198125,4.6753129982198125,0.0,inf,4
2025,P4,7235,11,0.37594057918856827,1.5733695174131868,2719.9300904292913,38.255004726588595,0.4460262612301313,99.96902106567535,0.24888003982080636,-0.8165242933368627,-8.98176722670549,11.283476628414892,2.3017094017094015,4.902215987837143,11
2026,P4,3507,3,0.4737831525057987,1.7766668052682673,1661.557515837836,18.230104471918025,0.45651554034787567,99.93757802746566,0.10482180293501049,0.08160983524597931,0.24482950573793794,2.175327819729136,2.420157325467074,0.8988373593891514,3
