signal_id,direction,mfe_r,mae_r,result_R,P_p0.5R_before_l0.5R,P_p0.5R_before_l1.0R,P_p1.0R_before_l0.5R,P_p1.0R_before_l1.0R,P_p1.5R_before_l0.5R,P_p1.5R_before_l1.0R,P_p2.0R_before_l0.5R,P_p2.0R_before_l1.0R,P_p2.5R_before_l0.5R,P_p2.5R_before_l1.0R,P_p3.0R_before_l0.5R,P_p3.0R_before_l1.0R,architecture
1954,Long,0.1661312816932194,1.0383205105826216,-1.0000000000000226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1956,Long,0.8483584845731286,1.5167621390852903,-1.000000000000076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1958,Long,0.7930945080370023,0.8454915196130542,-0.1851658069779568,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1960,Short,2.714848259251716,0.3365514370973201,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1964,Short,1.1316429313306091,1.5424716482137335,-0.9999999999999462,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1967,Long,2.5352475608319796,0.9234345420248932,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,MOMENTUM_DISPLACEMENT
1972,Long,1.0287872961929203,2.0303471129867097,-0.9999999999999696,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1975,Short,0.5587104295120582,1.2213669854449645,-1.0000000000000366,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1978,Short,0.4359647201895989,1.1066796743274434,-0.9999999999999466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1979,Long,0.2537873341788061,1.1057876703505127,-1.000000000000049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1980,Long,1.1392323791908638,1.721506706332861,-0.9999999999999168,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1983,Long,0.0,1.145264972084421,-0.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1984,Long,0.3820263406796952,1.5164111253903838,-0.9999999999999836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1985,Long,0.4649407961646868,1.061978664799939,-0.9999999999999888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1986,Long,2.0655435646222164,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1988,Long,2.7292930486896823,0.7111538225459031,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1990,Short,2.209032296866141,0.0433143587620812,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1993,Long,3.2190701982600647,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1995,Short,2.965130440926907,0.333751240515216,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1997,Long,1.1813021873825642,0.4453976602025889,0.9385111653549292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1999,Long,2.7066965581364997,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
2002,Short,0.5035333919406372,1.4449219073079154,-1.0000000000000673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2006,Long,0.5062551116090726,1.0658002349664686,-1.0000000000000264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2008,Short,1.5362129028907197,2.1350755599498137,-1.000000000000014,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2010,Long,0.0,25.79476432754514,-0.9999999999999932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2011,Long,0.7330101649627209,2.354138606727557,-1.0000000000000666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2013,Long,1.1111873303240218,0.6118422027221482,0.0909724752308947,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2014,Long,0.6435559951201655,0.8129128359412616,-0.1354854726568769,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2015,Long,0.2855721339547148,1.795024842001065,-1.0000000000001408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2017,Long,0.0953566940338533,3.838106934862598,-0.9999999999999192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2021,Short,0.2651969910663287,1.5911819463979722,-0.999999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2024,Long,1.309986242170507,0.9758060783515,0.3742817834772877,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2025,Long,1.8559896218231888,0.7301784432901295,-0.6150408239528927,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2026,Long,0.0307630399617969,1.3305014783477165,-1.000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2027,Short,2.0997382591560076,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2030,Short,0.4381874544567697,0.9250624038531804,-0.1321517719790257,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,MOMENTUM_DISPLACEMENT
2032,Long,1.386331297889819,0.5469013376996534,0.4769488410171396,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2033,Long,1.5030928561254515,1.1919841046948982,-1.0000000000000024,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2037,Short,2.0392256309579695,0.1418298816914174,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
2039,Long,4.058233304124686,0.1509260319715792,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
2041,Short,0.985603609681774,2.0112724067489856,-1.0000000000000022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2044,Long,2.4202015554255145,0.021758894032549,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
2046,Short,1.5057032067057892,1.4570641848952788,-0.999999999999988,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
2050,Short,1.1168894082712797,1.022945386025651,-0.9999999999999988,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
