architecture,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,trades_day
RETEST_GATED,345,0.4057971014492754,-0.09198715111809302,-31.735567135742095,0.8111441369945743,33.8122849026264,-0.9385809692286428,0.1576782449725777
BOS_ONLY,839,0.4266984505363528,-0.056965108445444446,-47.79372598572789,0.8816786738559671,55.90249717260092,-0.8549479612362053,0.38345521023765994
SEQUENTIAL_BOS_CONFIRM,20,0.55,0.31081729731103325,6.216345946220665,1.7348839218513605,2.0370059730341197,3.051707274555224,0.009140767824497258
CRT_V2_B_LEGACY_EXP6,119,0.4369747899159664,-0.05747670768336653,-6.839728214320617,0.8767952563753784,9.146061429141481,-0.7478331812344547,0.054387568555758686
SWING22_BOS_CLOSE,2858,0.5069979006298111,0.14418069608551806,412.06842941241064,1.3676715339228087,38.550558019041375,10.689039292476043,1.306215722120658
SWING22_BOS_RETEST,2008,0.4407370517928287,-0.046227137375651206,-92.82409185030762,0.8994715238689271,112.87200662499126,-0.8223836416651001,0.9177330895795247
SWEEP_RECLAIM,4346,0.42705936493327196,-0.03454329810811018,-150.12517357784685,0.9304267493704073,151.24372097486656,-0.9926043382838644,1.9862888482632541
MOMENTUM_DISPLACEMENT,3803,0.43202734683144883,-0.010110028636640766,-38.44843890514483,0.9795987732196819,78.32365734793106,-0.4908917714905516,1.7381170018281535
RANGE_BREAK_10,3623,0.4413469500414022,-0.008303102417127882,-30.082140057254318,0.9824385224770321,83.37021262670396,-0.3608259965936423,1.6558500914076781
FAILED_BREAK_10,3867,0.4134988363072149,-0.07693569909910182,-297.51034841622675,0.8441568727690121,301.97488385564054,-0.9852155405032027,1.767367458866545
IMPULSE_PULLBACK,699,0.4492131616595136,-0.048478137875071325,-33.886218374674854,0.9004276342519058,58.924719726869,-0.5750764455350158,0.3194698354661792
