year,trades_day,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
2020,1.7567567567567568,455,0.5164835164835165,0.34510241607125236,157.02159931241982,1.744282901228771,10.255696123221687,15.310671984213746
2021,1.755813953488372,453,0.4988962472406181,0.29178868127198115,132.18027261620747,1.6250385979303106,7.794462970469823,16.95822702821053
2022,1.7170542635658914,443,0.4153498871331828,0.1215593139114171,53.850776062757774,1.2239169229050415,15.058110009993769,3.5761975458419473
2023,1.7120622568093384,440,0.4340909090909091,0.1762409767900244,77.54602978761073,1.3433223972972443,13.056396727866979,5.9393132273700004
2024,1.7374517374517375,450,0.4266666666666667,0.15451333563608655,69.53100103623895,1.2910995043473596,13.79987395762311,5.038524355349617
2025,1.6264591439688716,418,0.4904306220095694,0.3482381773990898,145.56355815281952,1.7549527618269811,13.18082823393729,11.043582054884098
2026,1.712,214,0.4439252336448598,0.16150125205781304,34.56126794037199,1.329270055509865,6.945605191107141,4.975990858884806
