group,count,AvgR,TotalR
15M_5M_ALIGNED_1M_COUNTER,3626,0.1286024625299056,466.3125291334377
5M_1M_ALIGNED,21900,0.036542125031066845,800.2725381803639
ALL_ALIGNED,2064,0.02017439658399921,41.63995454937437
MIXED,22410,0.2202016173167235,4934.718244067773
