year,trades,flips,N,AvgR,PF,TotalR,WinRate,MaxDD
2017,1653,1338,1653,-1.6915494677466294,0.15713421070974257,-2796.1312701851784,0.22323049001814882,2793.0492189031274
2018,6854,5431,6854,-0.789690866578611,0.3667307681020323,-5412.5411995298,0.24861394805952727,5411.101927792483
2019,6960,5476,6960,-0.8122541626550469,0.3514579112715463,-5653.288972079126,0.2389367816091954,5651.940722452719
2020,6881,5302,6881,-0.37336288870966206,0.6060357538030857,-2569.1100372111846,0.2572300537712542,2572.0903109958504
2021,7281,5609,7281,-0.4495962908901815,0.5456090780364263,-3273.5105939714113,0.24776816371377558,3275.6491739890253
2022,7213,5591,7213,-0.3385521213489105,0.6243333973436936,-2441.9764512896913,0.24469707472618882,2449.868053078528
2023,7086,5502,7086,-0.4700441893268554,0.5293455258392472,-3330.7331255700974,0.2438611346316681,3329.610074962321
2024,7269,5673,7269,-0.40994716802384357,0.5705532882249974,-2979.905964365319,0.24377493465401018,2979.8239216447173
2025,7246,5627,7246,-0.31543245044233686,0.6457135031661758,-2285.623535905173,0.2481369031189622,2290.5741010730453
2026,3510,2714,3510,-0.25086508888771386,0.7025898220962797,-880.5364619958757,0.24957264957264957,883.293957482815
