trade_id,system,opportunity_id,variant,direction,tag,signal_j,signal_m1_i,entry_i,entry_ts,entry_price,exit_i,exit_price,exit_reason,stop,target,atr,gross_R,cost_R,net_R,MFE_R,MAE_R,duration_min,delay_bars_1m,price_improvement_atr,entry_deterioration_atr,15m_state,15m_strength,original_net_R,original_direction,flip_delta_R
FLIP-000001,FLIP,OPP_00000128_SHORT,FLIP_SHADOW,LONG,,-1,-1,129,2017-10-01 19:09:00-05:00,5991.5,130,5990.964285714285,STOP,5990.964285714285,5992.839285714285,0.7142857142857143,-1.0,1.3533333333323487,-2.3533333333323485,0.0,1.3999999999989814,1,0,0,0,,0,-2.3533333333323485,SHORT,0.0
FLIP-000002,FLIP,OPP_00000185_SHORT,FLIP_SHADOW,LONG,,-1,-1,186,2017-10-01 20:07:00-05:00,5990.25,188,5991.1875,TARGET,5989.875,5991.1875,0.5,2.5,1.9333333333333333,0.5666666666666667,4.666666666666667,0.0,2,0,0,0,,0,-2.9333333333333336,SHORT,3.5
FLIP-000003,FLIP,OPP_00000313_LONG,FLIP_SHADOW,SHORT,,-1,-1,314,2017-10-01 22:17:00-05:00,5991.0,316,5991.241071428572,STOP,5991.241071428572,5990.397321428572,0.32142857142857145,-1.0,3.0074074074057866,-4.007407407405786,1.037037037036478,1.037037037036478,2,0,0,0,,0,-4.007407407405786,LONG,0.0
FLIP-000004,FLIP,OPP_00000407_SHORT,FLIP_SHADOW,LONG,,-1,-1,408,2017-10-01 23:56:00-05:00,5990.25,412,5989.955357142857,STOP,5989.955357142857,5990.986607142857,0.39285714285714285,-1.0,2.4606060606038906,-3.4606060606038906,0.8484848484841002,1.6969696969682004,4,0,0,0,,0,-3.4606060606038906,SHORT,0.0
FLIP-000005,FLIP,OPP_00000428_LONG,FLIP_SHADOW,SHORT,,-1,-1,429,2017-10-02 00:23:00-05:00,5991.5,430,5991.700892857143,STOP,5991.700892857143,5990.997767857143,0.26785714285714285,-1.0,3.6088888888842208,-4.608888888884221,0.0,2.4888888888856693,1,0,0,0,,0,-1.1088888888842208,LONG,-3.5
FLIP-000006,FLIP,OPP_00000465_SHORT,FLIP_SHADOW,LONG,,-1,-1,466,2017-10-02 01:02:00-05:00,5992.0,467,5991.584821428572,STOP,5991.584821428572,5993.037946428572,0.5535714285714286,-1.0,1.7462365591403315,-2.7462365591403315,0.0,3.0107526881729854,1,0,0,0,,0,0.7537634408596685,SHORT,-3.5
FLIP-000007,FLIP,OPP_00000500_SHORT,FLIP_SHADOW,LONG,,-1,-1,501,2017-10-02 01:37:00-05:00,5989.5,504,5989.901785714285,TARGET,5989.339285714285,5989.901785714285,0.21428571428571427,2.5,4.5111111111001705,-2.0111111111001705,3.1111111111035656,0.0,3,0,0,0,,0,-5.5111111111001705,SHORT,3.5
FLIP-000008,FLIP,OPP_00000653_LONG,FLIP_SHADOW,SHORT,,-1,-1,654,2017-10-02 04:12:00-05:00,5987.5,658,5987.834821428572,STOP,5987.834821428572,5986.662946428572,0.44642857142857145,-1.0,2.165333333332493,-3.165333333332493,2.2399999999991307,2.9866666666655077,4,0,0,0,,0,-3.165333333332493,LONG,0.0
FLIP-000009,FLIP,OPP_00000767_SHORT,FLIP_SHADOW,LONG,,-1,-1,768,2017-10-02 06:06:00-05:00,5995.25,769,5994.888392857143,STOP,5994.888392857143,5996.154017857143,0.48214285714285715,-1.0,2.004938271606379,-3.004938271606379,0.0,2.7654320987674192,1,0,0,0,,0,0.49506172839362117,SHORT,-3.5
FLIP-000010,FLIP,OPP_00000799_LONG,FLIP_SHADOW,SHORT,,-1,-1,800,2017-10-02 06:38:00-05:00,5997.5,807,5998.049107142857,STOP,5998.049107142857,5996.127232142857,0.7321428571428571,-1.0,1.3203252032526573,-2.3203252032526573,2.2764227642287196,2.2764227642287196,7,0,0,0,,0,-2.3203252032526573,LONG,0.0
FLIP-000011,FLIP,OPP_00000831_SHORT,FLIP_SHADOW,LONG,,-1,-1,832,2017-10-02 07:10:00-05:00,5996.75,833,5996.388392857143,STOP,5996.388392857143,5997.654017857143,0.48214285714285715,-1.0,2.004938271606379,-3.004938271606379,0.0,2.0740740740755643,1,0,0,0,,0,0.49506172839362117,SHORT,-3.5
