transition,N,baseline_TotalR,ATM_TotalR,Delta_TotalR
BASELINE_STOP → ATM_STOP,18369,-18370.130659603656,-23589.989923850368,-5219.859264246712
BASELINE_STOP → ATM_BE,6990,-6990.425343807306,-1554.6955476828114,5435.729796124494
BASELINE_TARGET → ATM_BE,4346,10864.73708443882,-1000.3190424532702,-11865.05612689209
BASELINE_TARGET → ATM_TARGET,5987,14967.136072509682,13288.934418399229,-1678.201654110453
BASELINE_TIME → ATM_BE,110,53.86053616572788,-6.625139176544617,-60.48567534227249
BASELINE_TIME → ATM_TIME,43,35.83711397668884,31.206960962164892,-4.630153014523948
