N_base,LONG_base,SHORT_base,WinRate_base,AvgR_base,PF_base,TotalR_base,MaxDD_base,MedianR_base,AvgHold_base,MedianHold_base,GrossAvgR_base,GrossTotalR_base,INITIAL_STOP_PCT_base,BE_STOP_PCT_base,TARGET_PCT_base,TIME_EXIT_PCT_base,INITIAL_STOPS_base,BE_STOPS_base,TARGETS_base,TIME_EXITS_base,year,N_atm,LONG_atm,SHORT_atm,WinRate_atm,AvgR_atm,PF_atm,TotalR_atm,MaxDD_atm,MedianR_atm,AvgHold_atm,MedianHold_atm,GrossAvgR_atm,GrossTotalR_atm,INITIAL_STOP_PCT_atm,BE_STOP_PCT_atm,TARGET_PCT_atm,TIME_EXIT_PCT_atm,INITIAL_STOPS_atm,BE_STOPS_atm,TARGETS_atm,TIME_EXITS_atm,BE_ACTIVATION_RATE,DeltaAvgR,DeltaTotalR
992,559,433,0.2862903225806452,-0.0011130168093555905,0.9984389484949817,-1.1041126748807457,52.02779422628386,-1.000113737278137,4.888104838709677,2.0,-0.0009974213010266106,-0.9894419306183977,0.7127016129032258,0.0,0.28326612903225806,0.004032258064516129,707,0,281,4,2017,992,559,433,0.1502016129032258,-1.352045340044826,0.1445414303971468,-1341.2289773244675,1344.792545283833,-1.5043672839506166,3.311491935483871,2.0,-0.10341084634846495,-102.58355957767724,0.5282258064516129,0.3064516129032258,0.1622983870967742,0.0030241935483870967,524,304,161,3,0.40423387096774194,-1.3509323232354704,-1340.1248646495867
3967,2185,1782,0.2866145702041845,-0.000254977071205453,0.9996423138616801,-1.011494041472032,71.54102262829126,-1.0001003197382792,5.690446180993193,3.0,-0.00015118816401423765,-0.5997634466444808,0.7126291908243004,0.0,0.2838416939752962,0.0035291152004033274,2827,0,1126,14,2018,3967,2185,1782,0.16612049407612806,-0.5831981754521063,0.35803353189786896,-2313.547162018506,2311.567162018493,-1.1099999999999999,3.620115956642299,2.0,-0.08479777417883232,-336.3927701674278,0.5147466599445425,0.3193849256365011,0.16536425510461306,0.0005041593143433325,2042,1267,656,2,0.43206453239223597,-0.5829431983809008,-2312.535667977034
3995,2186,1809,0.2848560700876095,-0.009101490297887066,0.9872622119467167,-36.36045374005883,125.16774056379906,-1.0000920739312846,5.905632040050063,3.0,-0.009006001016926885,-35.9789740626229,0.7141426783479349,0.0,0.28085106382978725,0.0050062578222778474,2853,0,1122,20,2019,3995,2186,1809,0.16245306633291615,-0.591936336900527,0.35790207301629706,-2364.7856659176055,2376.4517319950146,-1.1441176470583123,3.6988735919899876,2.0,-0.1085078991882917,-433.48905725722534,0.5299123904881101,0.30663329161451813,0.16195244055068836,0.001501877346683354,2117,1225,647,6,0.42127659574468085,-0.58283484660264,-2328.4252121775467
3877,2143,1734,0.28527211761671395,-0.0036367338920105506,0.9949071845656164,-14.099617299324905,110.0688723357844,-1.0000634647700184,6.112200154758834,3.0,-0.003564945652728668,-13.821294295629045,0.7136961568222853,0.0,0.2837245292752128,0.0025793139025019345,2767,0,1100,10,2020,3877,2143,1734,0.18416301263863813,-0.2985484423607807,0.5619991128533306,-1157.4723110327468,1159.6020669996349,-1.0473745624270736,3.897343306680423,2.0,-0.09355393588190308,-362.70860941413827,0.5261800361103947,0.30642249161722984,0.16688160949187517,0.0005158627805003869,2040,1188,647,2,0.42661851947381996,-0.2949117084687702,-1143.3726937334218
4121,2198,1923,0.2979859257461781,0.03565624878247179,1.050818562129629,146.93940123256624,70.18875351572947,-1.0000473657193523,6.315700072797864,3.0,0.035706590796668644,147.14686067307147,0.7012860956078621,0.0,0.29337539432176657,0.005338510070371269,2890,0,1209,22,2021,4121,2198,1923,0.17908274690609075,-0.3165166988175501,0.5417194336397481,-1304.365315827124,1303.3872135368908,-1.0415132924335366,3.905120116476583,2.0,-0.08060358510877959,-332.16737423328067,0.5095850521718029,0.324193157000728,0.16428051443824315,0.001941276389225916,2100,1336,677,8,0.4452802717786945,-0.35217294760002193,-1451.3047170596903
4057,2064,1993,0.2869115109686961,-0.002024010665465514,0.9971583402428745,-8.21141126979359,110.00958734290784,-1.0000539427356674,6.353709637663298,4.0,-0.001966444448776001,-7.977865128684236,0.7118560512694109,0.0,0.2827212225782598,0.005422726152329307,2888,0,1147,22,2022,4057,2064,1993,0.2065565688932709,-0.22662990206485834,0.6313760609947681,-919.4375126771303,920.0882542841688,-1.0282926829268293,4.114370224303673,3.0,-0.08178645217527136,-331.8076364750759,0.5102292334237121,0.3236381562731082,0.16416070988415085,0.001971900419028839,2070,1313,666,8,0.45107222085284693,-0.22460589139939283,-911.2261014073366
4048,2161,1887,0.2917490118577075,0.01918881700356387,1.027127892910247,77.67633123042654,76.03229785207714,-1.0000473330838437,6.130681818181818,3.0,0.019240447906520457,77.88533312559481,0.7070158102766798,0.0,0.28952569169960474,0.003458498023715415,2862,0,1172,14,2023,4048,2161,1887,0.18972332015810275,-0.2748344937477746,0.5914006441703732,-1112.5300306909915,1112.5699174315628,-0.6500000000003512,3.89649209486166,2.0,-0.03926461856773446,-158.9431759621891,0.49530632411067194,0.32781620553359686,0.17539525691699603,0.0014822134387351778,2005,1327,710,6,0.4624505928853755,-0.2940233107513385,-1190.206361921418
4019,2155,1864,0.28838019407812887,0.005846686378555774,1.0082359582071523,23.497832555415656,103.19638810572154,-1.0000360558457093,6.106245334660363,3.0,0.005884618338216688,23.65028110129287,0.7093804428962428,0.0,0.2856431948245832,0.004976362279173924,2851,0,1148,20,2024,4019,2155,1864,0.18686240358298084,-0.29034134749959356,0.5615085568190005,-1166.8818756008666,1172.044597822588,-1.0361853832442076,3.86638467280418,2.0,-0.09389332429264738,-377.3572703321498,0.5125653147549142,0.32495645683005725,0.16073650161731773,0.0017417267977108733,2060,1306,646,7,0.4501119681512814,-0.29618803387814935,-1190.3797081562823
4056,2205,1851,0.3118836291913215,0.0874315506707347,1.1271648418948226,354.62236952049994,48.029699167405624,-1.00002940190304,6.361439842209073,3.0,0.08746385145334692,354.7533814947751,0.6871301775147929,0.0,0.3089250493096647,0.0039447731755424065,2787,0,1253,16,2025,4056,2205,1851,0.22509861932938857,-0.1676058366139458,0.7165913097540012,-679.8092733061641,681.1139632504407,-0.3664212076585095,3.9844674556213016,2.0,-0.030389715107032447,-123.26068447412361,0.49457593688362916,0.3261834319526627,0.17899408284023668,0.0002465483234714004,2006,1323,726,1,0.4635108481262327,-0.2550373872846805,-1034.431642826664
2713,1479,1234,0.2886103943973461,0.007027629254176414,1.009889284599211,19.06595816658061,47.092420820462195,-1.0000246522574425,6.569111684482123,3.0,0.007054321151622191,19.138373284351005,0.7102838186509399,0.0,0.28566162919277555,0.004054552156284556,1927,0,775,11,2026,2713,1479,1234,0.23811279026907484,-0.17376710261924047,0.698190470816786,-471.43014940599943,474.06338385082546,-1.0219459459459463,4.207150755621083,2.0,-0.08649096940656102,-234.65000000000003,0.5178768890527092,0.31588647253962404,0.16623663840766678,0.0,1405,857,451,0,0.4530040545521563,-0.18079473187341688,-490.49610757258006
