family,n,+1/-1,+2/-1,random_+1/-1,net_AvgR,verdict
A,13767,0.5000733245343892,0.3379901204075332,0.49413403724886346,-0.19959815748557264,REJECT
B,2112,0.4906474820143885,0.3403193612774451,0.5002398081534772,-0.2802282850888876,REJECT
C,2368,0.4905982905982906,0.32204155374887083,0.5042735042735043,-0.22985445967904486,REJECT
F,0,0.5,0.33,0.5,0.0,REJECT
G,1618,0.4987562189054726,0.3255659121171771,0.4937810945273632,-0.07452608192689768,REJECT
H,3969,0.5019040365575019,0.34509283819628644,0.490987560294491,-0.25494731240915425,REJECT
