N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,MedianHold,AvgHold,MFE,MAE,GrossAvgR,STOP_PCT,TARGET_PCT,TIME_PCT,category,median_MFE,median_MAE
4,1.0,1.0430546797177778,inf,4.172218718871111,0.0,1.1353345535117638,60.0,60.0,2.2303763502965444,0.30071665270817177,1.0430975588247042,0.0,0.0,1.0,AMBIGUOUS,2.2905670971364156,0.3009054019472635
1022,0.0,-1.0000609827141669,0.0,-1022.0623243338785,1021.0622031250143,-1.0000540980618569,3.0,4.907045009784736,0.6609243394029044,1.545568368824849,-1.0,1.0,0.0,0.0,CHOP_SHORT,0.3985294117647059,1.350877192982801
116,0.0,-1.0000588508035524,0.0,-116.00682669321208,115.0067118774546,-1.0000498375118718,1.0,1.6724137931034482,0.0373321830588927,1.5297278882482632,-1.0,1.0,0.0,0.0,CONTINUATION_MISSED,0.0,1.4052569205600314
13,0.0,-1.0000565471320106,0.0,-13.000735112716137,12.000634645767537,-1.0000477774090524,5.0,6.461538461538462,0.7738304232397921,1.3435071241190688,-1.0,1.0,0.0,0.0,EARLY_SHORT,0.9390243902438608,1.2967409948542672
147,0.0,-1.0000595836575759,0.0,-147.00875879766366,146.00864583820945,-1.0000525658205641,5.0,7.870748299319728,1.1281120226541022,1.5746211852330894,-1.0,1.0,0.0,0.0,FAILED_BOUNCE_MISSED,1.0218978102190324,1.3099415204681706
1,0.0,-1.0000467209058792,0.0,-1.0000467209058792,0.0,-1.0000467209058792,1.0,1.0,0.0,2.0934579439248067,-1.0,1.0,0.0,0.0,FAILED_BREAKDOWN,0.0,2.0934579439248067
4741,1.0,2.4998402580918393,inf,11851.74266361341,0.0,2.49994649150322,5.0,7.444421008226112,3.2105630081234082,0.3073590470926781,2.4999006508135935,0.0,0.9997890740350137,0.0002109259649862898,GOOD_SHORT,2.9045977011495223,0.2028985507245949
10117,0.0023722447365819906,-0.9948701161564074,0.0017764025809754661,-10065.100965154374,10064.100844165494,-1.000054338006491,2.0,4.73351784125729,0.6428413926256441,1.5117282783128716,-0.9948087767445066,0.9961451023030543,0.0,0.003854897696945735,LATE_EXTENSION,0.3684210526315084,1.3291139240502656
23,0.0,-1.0000700003212157,0.0,-23.00161000738796,22.001496900027906,-1.0000566032737883,2.0,5.043478260869565,0.6820011873378496,1.3795978828566509,-1.0,1.0,0.0,0.0,LONG_FAILURE_NO_SHORT,0.5652173913043478,1.272727272727396
480,0.0020833333333333333,-0.9923883349117164,0.0018991674500374357,-476.3464007576239,475.3462796745565,-1.0000528861056406,3.0,5.504166666666666,0.6727125802948453,1.5341216062017053,-0.9923298689683897,0.99375,0.0,0.00625,NO_BEARISH_COMMITMENT,0.3616666666667329,1.3611111111106984
