trade_id,entry_time,direction,entry_price,initial_atr,stop_price,target_price,t5_time,mfe_at_t5_r,t5_result,exit_time,exit_price,exit_reason,gross_r,net_r,hold_minutes
P60-000033,2017-10-04 02:42:00-05:00,LONG,5995.5,0.3392857142857143,5995.160714285715,5996.348214285715,,,,3243,5995.160714285715,M0_STOP,-1.0,-1.0001209308698384,2
P60-000034,2017-10-04 03:11:00-05:00,SHORT,5994.75,0.5357142857142857,5995.285714285715,5993.410714285715,,,,3272,5995.285714285715,M0_STOP,-1.0,-1.0001209499636554,2
P60-000035,2017-10-04 04:02:00-05:00,SHORT,5994.5,0.35714285714285715,5994.857142857143,5993.607142857143,,,,3319,5993.607142857143,M0_TARGET,2.5,2.4998790485950573,2
P60-000036,2017-10-04 06:21:00-05:00,SHORT,5992.5,0.4642857142857143,5992.964285714285,5991.339285714285,,,,3458,5991.339285714285,M0_TARGET,2.5,2.4998790060616174,2
P60-000037,2017-10-04 07:54:00-05:00,SHORT,5985.0,0.7857142857142857,5985.785714285715,5983.035714285715,,,,3550,5985.785714285715,M0_STOP,-1.0,-1.0001211520786832,1
P60-000038,2017-10-04 08:23:00-05:00,SHORT,5985.5,0.7678571428571429,5986.267857142857,5983.580357142857,,,,3580,5986.267857142857,M0_STOP,-1.0,-1.0001211415954288,2
P60-000039,2017-10-04 08:37:00-05:00,LONG,5992.5,2.5,5990.0,5998.75,,,,3598,5990.0,M0_STOP,-1.0,-1.0001210350584306,6
P60-000040,2017-10-04 08:46:00-05:00,SHORT,5984.75,4.214285714285714,5988.964285714285,5974.214285714285,,,,3613,5988.964285714285,M0_STOP,-1.0,-1.0001212265981905,12
P60-000041,2017-10-04 09:23:00-05:00,SHORT,5988.25,2.357142857142857,5990.607142857143,5982.357142857143,,,,3640,5990.607142857143,M0_STOP,-1.0,-1.0001211181050684,2
P60-000042,2017-10-04 14:09:00-05:00,SHORT,6000.0,1.0357142857142858,6001.035714285715,5997.410714285715,,,,3925,6001.035714285715,M0_STOP,-1.0,-1.0001208541950695,1
P60-000043,2017-10-04 14:26:00-05:00,LONG,6003.75,0.7321428571428571,6003.017857142857,6005.580357142857,,,,3942,6003.017857142857,M0_STOP,-1.0,-1.0001207725875974,1
P60-000044,2017-10-04 15:35:00-05:00,LONG,6005.5,0.6785714285714286,6004.821428571428,6007.196428571428,,,,3997,6004.821428571428,M0_STOP,-1.0,-1.0001207363130817,2
P60-000045,2017-10-04 17:44:00-05:00,LONG,6005.5,0.25,6005.25,6006.125,,,,4064,6005.25,M0_STOP,-1.0,-1.0001207276965989,2
P60-000046,2017-10-04 18:52:00-05:00,LONG,6005.0,0.32142857142857145,6004.678571428572,6005.803571428572,,,,4125,6004.678571428572,M0_STOP,-1.0,-1.000120739185516,1
P60-000047,2017-10-04 19:33:00-05:00,SHORT,6001.75,0.2857142857142857,6002.035714285715,6001.035714285715,,,,4166,6002.035714285715,M0_STOP,-1.0,-1.000120803851441,1
P60-000048,2017-10-04 20:52:00-05:00,LONG,6003.75,0.23214285714285715,6003.517857142857,6004.330357142857,,,,4240,6003.517857142857,M0_STOP,-1.0,-1.0001207625291124,2
P60-000049,2017-10-04 21:26:00-05:00,LONG,6006.5,0.35714285714285715,6006.142857142857,6007.392857142857,,,,4270,6006.142857142857,M0_STOP,-1.0,-1.0001207097495421,1
P60-000050,2017-10-04 23:26:00-05:00,LONG,6006.0,0.10714285714285714,6005.892857142857,6006.267857142857,,,,4376,6005.892857142857,M0_STOP,-1.0,-1.0001207147741802,6
P60-000051,2017-10-04 23:47:00-05:00,SHORT,6005.0,0.16071428571428573,6005.160714285715,6004.598214285715,,,,4387,6005.160714285715,M0_STOP,-1.0,-1.0001207359540372,3
P60-000052,2017-10-05 02:02:00-05:00,LONG,6005.0,0.39285714285714285,6004.607142857143,6005.982142857143,,,,4507,6004.607142857143,M0_STOP,-1.0,-1.0001207406217845,1
P60-000053,2017-10-05 04:46:00-05:00,SHORT,6006.5,0.26785714285714285,6006.767857142857,6005.830357142857,,,,4670,6006.767857142857,M0_STOP,-1.0,-1.00012070795513,1
P60-000054,2017-10-05 07:16:00-05:00,LONG,6022.0,1.2142857142857142,6020.785714285715,6025.035714285715,,,,4827,6025.035714285715,M0_TARGET,2.5,2.4998795838227093,10
P60-000055,2017-10-05 09:35:00-05:00,SHORT,6021.5,2.5892857142857144,6024.089285714285,6015.026785714285,,,,4957,6024.089285714285,M0_STOP,-1.0,-1.0001204536891168,1
P60-000056,2017-10-05 10:10:00-05:00,SHORT,6019.0,2.142857142857143,6021.142857142857,6013.642857142857,,,,4993,6021.142857142857,M0_STOP,-1.0,-1.0001204948003228,2
P60-000057,2017-10-05 14:46:00-05:00,LONG,6062.75,1.4642857142857142,6061.285714285715,6066.410714285715,,,,5271,6061.285714285715,M0_STOP,-1.0,-1.000119611586415,4
P60-000058,2017-10-05 18:57:00-05:00,LONG,6063.5,0.25,6063.25,6064.125,,,,5439,6063.25,M0_STOP,-1.0,-1.0001195728363501,3
P60-000059,2017-10-05 19:56:00-05:00,LONG,6064.75,0.23214285714285715,6064.517857142857,6065.330357142857,,,,5496,6064.517857142857,M0_STOP,-1.0,-1.0001195478382747,2
P60-000060,2017-10-05 20:34:00-05:00,SHORT,6063.75,0.3392857142857143,6064.089285714285,6062.901785714285,,,,5531,6064.089285714285,M0_STOP,-1.0,-1.0001195696670013,1
P60-000061,2017-10-05 23:34:00-05:00,LONG,6066.5,0.10714285714285714,6066.392857142857,6066.767857142857,,,,5701,6066.392857142857,M0_STOP,-1.0,-1.0001195108884429,1
P60-000062,2017-10-06 00:04:00-05:00,SHORT,6066.25,0.23214285714285715,6066.482142857143,6065.669642857143,,,,5722,6065.669642857143,M0_TARGET,2.5,2.499880481723418,1
P60-000063,2017-10-06 00:16:00-05:00,LONG,6066.75,0.21428571428571427,6066.535714285715,6067.285714285715,,,,5733,6066.535714285715,M0_STOP,-1.0,-1.0001195080741538,2
P60-000064,2017-10-06 01:22:00-05:00,LONG,6066.5,0.3392857142857143,6066.160714285715,6067.348214285715,,,,5795,6066.160714285715,M0_STOP,-1.0,-1.0001195154619449,1
P60-000065,2017-10-06 02:37:00-05:00,LONG,6067.25,0.7321428571428571,6066.517857142857,6069.080357142857,,,,5873,6066.517857142857,M0_STOP,-1.0,-1.0001195084259327,8
P60-000066,2017-10-06 03:12:00-05:00,SHORT,6063.5,0.7321428571428571,6064.232142857143,6061.669642857143,,,,5901,6064.232142857143,M0_STOP,-1.0,-1.0001195823454045,1
P60-000067,2017-10-06 03:43:00-05:00,SHORT,6064.0,0.42857142857142855,6064.428571428572,6062.928571428572,,,,5932,6064.428571428572,M0_STOP,-1.0,-1.0001195664978206,1
P60-000068,2017-10-06 09:38:00-05:00,SHORT,6052.25,2.232142857142857,6054.482142857143,6046.669642857143,,,,6300,6046.669642857143,M0_TARGET,2.5,2.4998801656429586,14
P60-000069,2017-10-06 09:58:00-05:00,SHORT,6044.0,3.0,6047.0,6036.5,,,,6307,6047.0,M0_STOP,-1.0,-1.0001200132428405,1
