model,segment,N,dAvgR,dPF,dMAE,dMFE,dWrongDir,dDelay
V1_Side,rejected_by_vwap,160,1.693032399072889,18.815166869459638,0.17465901561826663,0.3068375541432318,0.0375,
V2_Reclaim,rejected_by_vwap,944,1.5969270182458817,14.533201964174772,0.25072336988526683,0.31182498956804766,0.0815677966101695,
V3_Slope,rejected_by_vwap,182,1.7270376972281813,20.381480467060154,0.16495422428724002,0.2743472919275012,0.03296703296703297,
V4_Distance,rejected_by_vwap,920,1.5936536865188753,14.08415062407757,0.2543818586632719,0.3057945614886759,0.08586956521739131,
V5_Retest,rejected_by_vwap,954,1.5972434441362304,14.298859552541371,0.2527115429458498,0.31574571527897816,0.08385744234800839,
