bucket,N,AvgR,MedianR,PF,WinRate,MAE,MFE,TotalR,wrong_direction_rate
0-0.25,21,1.312865710658799,0.9993503743126922,9.612581240515217,0.8571428571428571,0.2128187451490613,0.19979299681231158,27.570179923834782,0.047619047619047616
0.25-0.5,22,1.6317933081031768,1.998166226855016,12.457786153245547,0.8181818181818182,0.23557519513320954,0.13730616701812573,35.89945277826989,0.045454545454545456
0.5-0.75,25,2.0990281207721644,2.498232633579923,303.6087632710649,0.96,0.10498734411407484,0.29369559598641515,52.475703019304106,0.0
0.75-1.0,22,1.5143059249451327,0.9974185584916044,45.542968844449284,0.8636363636363636,0.14313228258396604,0.192009906171668,33.31473034879292,0.0
1.0-1.5,42,1.7207414009573285,2.488206593142701,20.925271544781644,0.8571428571428571,0.16504260002414062,0.44390756180844954,72.2711388402078,0.07142857142857142
1.5-2.0,48,1.4676668058665292,0.9994147349125186,11.720060719049679,0.8333333333333334,0.19333283311173807,0.15121462554667464,70.4480066815934,0.125
>2.0,1032,1.6419285519188485,0.9996643045019921,16.992303504991956,0.8653100775193798,0.2270230134777733,0.27563217088230507,1694.4702655802516,0.07073643410852713
