model,segment,B0_N,V_N,B0_AvgR,V_AvgR,B0_PF,V_PF
V1_Side,dir_L,557,398,2.1951877142304563,2.0576361718829355,17.089742009577687,13.684129033920842
V1_Side,dir_S,492,369,1.0662570990036035,1.0583166606976633,14.658864456037083,11.783628806717573
V1_Side,tier_A+,461,330,1.5258181686462025,1.4604585336230735,19.539974094207885,14.917474648880413
V1_Side,tier_A,388,261,1.7527873920516581,1.6383142083376183,18.486222635622493,13.387550024573418
V1_Side,tier_B,363,261,1.6610627914884624,1.6102023735771431,13.945410312401332,11.891583684260453
V1_Side,setup_RL,88,45,1.897363563652032,1.8523943333649722,34.519265387853174,29.468692349491974
V1_Side,setup_RS,75,40,0.9621791204631779,0.9249588691774365,18.917302722143248,10.186241362408314
V1_Side,year_2024,166,143,2.0616690013035734,2.0403660325426274,999.0,999.0
V1_Side,year_2025,160,137,2.0151446598831138,1.9922202499712793,999.0,999.0
V1_Side,year_2026,90,70,1.9996857714493772,1.9782576615758285,999.0,999.0
V2_Reclaim,dir_L,557,28,2.1951877142304563,1.714713332699771,17.089742009577687,7.293405501393991
V2_Reclaim,dir_S,492,26,1.0662570990036035,0.8051383867962945,14.658864456037083,6.652252975649218
V2_Reclaim,tier_A+,461,28,1.5258181686462025,1.2310198787569138,19.539974094207885,15.264061833377909
V2_Reclaim,tier_A,388,21,1.7527873920516581,1.5433323385470963,18.486222635622493,7.4422330585662335
V2_Reclaim,tier_B,363,19,1.6610627914884624,1.385351941486021,13.945410312401332,7.42130778583766
V2_Reclaim,setup_RL,88,10,1.897363563652032,1.9750990046229724,34.519265387853174,93.32874086671868
V2_Reclaim,setup_RS,75,4,0.9621791204631779,1.125915296097508,18.917302722143248,999.0
V2_Reclaim,year_2024,166,11,2.0616690013035734,2.4986628041147254,999.0,999.0
V2_Reclaim,year_2025,160,12,2.0151446598831138,2.0828630994769486,999.0,999.0
V2_Reclaim,year_2026,90,0,1.9996857714493772,0.0,999.0,0.0
V3_Slope,dir_L,557,389,2.1951877142304563,2.0461621509990056,17.089742009577687,13.524538106514877
V3_Slope,dir_S,492,362,1.0662570990036035,1.0595171718481227,14.658864456037083,11.591061777217119
V3_Slope,tier_A+,461,322,1.5258181686462025,1.4377462804383492,19.539974094207885,14.368891318865277
V3_Slope,tier_A,388,256,1.7527873920516581,1.6430450052069332,18.486222635622493,13.553462950118302
V3_Slope,tier_B,363,252,1.6610627914884624,1.5984311241959412,13.945410312401332,11.439135410702505
V3_Slope,setup_RL,88,41,1.897363563652032,1.789375775443208,34.519265387853174,26.055724892295324
V3_Slope,setup_RS,75,38,0.9621791204631779,0.8818886102814585,18.917302722143248,9.320564085415276
V3_Slope,year_2024,166,137,2.0616690013035734,2.0312641297351344,999.0,999.0
V3_Slope,year_2025,160,127,2.0151446598831138,1.9837720187849022,999.0,999.0
V3_Slope,year_2026,90,70,1.9996857714493772,1.9782576615758285,999.0,999.0
V4_Distance,dir_L,557,32,2.1951877142304563,1.8998372999936508,17.089742009577687,11.317382089484944
V4_Distance,dir_S,492,34,1.0662570990036035,0.908189805332337,14.658864456037083,9.337450138057088
V4_Distance,tier_A+,461,40,1.5258181686462025,1.2624539740047702,19.539974094207885,19.201688150987817
V4_Distance,tier_A,388,30,1.7527873920516581,1.5898753813657036,18.486222635622493,10.455640082447205
V4_Distance,tier_B,363,22,1.6610627914884624,1.6519779922046405,13.945410312401332,12.860652682996978
V4_Distance,setup_RL,88,19,1.897363563652032,1.7913020530063422,34.519265387853174,27.45035175703128
V4_Distance,setup_RS,75,7,0.9621791204631779,1.2614214630638885,18.917302722143248,999.0
V4_Distance,year_2024,166,10,2.0616690013035734,2.048581645592988,999.0,999.0
V4_Distance,year_2025,160,11,2.0151446598831138,2.181306669331079,999.0,999.0
V4_Distance,year_2026,90,2,1.9996857714493772,1.9996635118674921,999.0,999.0
V5_Retest,dir_L,557,21,2.1951877142304563,1.7726774909258782,17.089742009577687,8.110072038535378
V5_Retest,dir_S,492,21,1.0662570990036035,0.8025527686706098,14.658864456037083,9.316313453124671
V5_Retest,tier_A+,461,26,1.5258181686462025,1.4499324650131757,19.539974094207885,25.381104921320112
V5_Retest,tier_A,388,19,1.7527873920516581,0.8546216628374398,18.486222635622493,4.02181766713391
V5_Retest,tier_B,363,13,1.6610627914884624,1.725389009863979,13.945410312401332,15.482592090510165
V5_Retest,setup_RL,88,11,1.897363563652032,1.775670664646674,34.519265387853174,44.233504781396896
V5_Retest,setup_RS,75,5,0.9621791204631779,0.550780009969198,18.917302722143248,4.650312450625984
V5_Retest,year_2024,166,10,2.0616690013035734,2.2486170356878383,999.0,999.0
V5_Retest,year_2025,160,11,2.0151446598831138,2.2267986460172184,999.0,999.0
V5_Retest,year_2026,90,2,1.9996857714493772,1.9996793712029524,999.0,999.0
