MODEL,RETENTION,dAvgR,dPF,dTotalR,dMaxDD,dMAE,dMFE,dWrongDir,dDelay
V1_Side,0.5851648351648352,-0.07816999416304049,-3.752851277220765,-656.6353331968871,-0.912930719516055,-0.04748812250825424,0.04071640148993516,-0.022242365081578577,-0.020766513271045284
V2_Reclaim,0.046703296703296704,-0.268393208272397,-8.024601356537945,-1893.2492545693374,-4.298262132955174,-0.054998905115069385,0.034253279423167915,-0.03363424577751892,1.7453892448068342
V3_Slope,0.570054945054945,-0.08913114252255805,-4.042770740248534,-700.0710102407538,-0.912930719516055,-0.05206105388524962,0.04798508965585724,-0.02466897292138852,-0.0303371903455405
V4_Distance,0.06318681318681318,-0.17661584507725836,-3.7339227023818093,-1851.9115409425904,-4.942979239026785,-0.012235174123929687,0.0961243050037916,0.014959104606112793,0.25434065145645013
V5_Retest,0.03983516483516483,-0.32232759968217417,-7.07869780872268,-1910.0833643597687,-4.552619231314435,-0.02990854867378201,-0.010799844202191822,-0.03414134516899965,2.2682087174234664
