MODEL,N,RETENTION,AvgR,PF,TotalR,MaxDD,MAE,MFE,WrongDir,EntryDelay
B0_Phase44+B1,1212,0.6890278567367822,1.6389847171388237,17.0963734933188,1986.4494771722543,8.385997319705211,0.21941003041270574,0.2715658551284063,0.06930693069306931,2.886963696369637
V1_Side,852,0.5851648351648352,1.5608147229757832,13.343522216098036,1329.8141439753672,7.473066600189156,0.26689815292096,0.31228225661834147,0.09154929577464789,2.8661971830985915
V2_Reclaim,68,0.046703296703296704,1.3705915088664267,9.071772136780856,93.20022260291701,4.087735186750037,0.2744089355277751,0.3058191345515742,0.10294117647058823,4.632352941176471
V3_Slope,830,0.570054945054945,1.5498535746162656,13.053602753070267,1286.3784669315005,7.473066600189156,0.27147108429795536,0.31955094478426355,0.09397590361445783,2.8566265060240963
V4_Distance,92,0.06318681318681318,1.4623688720615653,13.362450790936991,134.537936229664,3.443018080678426,0.23164520453663542,0.3676901601321979,0.05434782608695652,3.141304347826087
V5_Retest,58,0.03983516483516483,1.3166571174566495,10.01767568459612,76.36611281248567,3.833378088390776,0.24931857908648775,0.2607660109262145,0.10344827586206896,5.155172413793103
