N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,cost_multiplier,model,segment
852,0.8321596244131455,1.5608147229757832,1329.8141439753672,13.343522216098036,7.473066600189156,177.94758365216595,1.0,V1_Side,
852,0.8274647887323944,1.5384396875884516,1310.7506138253607,11.853630590470438,10.639361267683185,123.19824290643608,1.5,V1_Side,
852,0.8262910798122066,1.530981342459341,1304.3961037753586,11.424046098191592,12.967233521219825,100.5917030522216,2.0,V1_Side,
852,0.8321596244131455,1.5608147229757832,1329.8141439753672,13.343522216098032,107.7337668045077,12.343522216098048,,V1_Side,FULL
843,0.830367734282325,1.528919455383492,1288.8791008882838,12.963557379619575,107.7337668045077,11.963557379619587,,V1_Side,exclude_top1pct
68,0.7647058823529411,1.3705915088664267,93.20022260291701,9.071772136780856,4.087735186750037,22.79996583560885,1.0,V2_Reclaim,
68,0.75,1.3551811278836217,92.15231669608627,8.541224925665155,4.707870588166581,19.57409724211935,1.5,V2_Reclaim,
68,0.75,1.3500443342226867,91.8030147271427,8.373684237538052,4.914582388638762,18.67971832955073,2.0,V2_Reclaim,
68,0.7647058823529411,1.3705915088664264,93.200222602917,9.071772136780853,11.546438752678483,8.071772136780865,,V2_Reclaim,FULL
67,0.7611940298507462,1.346277300033814,90.20057910226554,8.81198264108413,11.546438752678483,7.811982641084141,,V2_Reclaim,exclude_top1pct
830,0.8289156626506025,1.5498535746162656,1286.3784669315005,13.053602753070267,7.473066600189156,172.13528739312184,1.0,V3_Slope,
830,0.8240963855421687,1.527001712308065,1267.411421215694,11.585101088196971,10.639361267683185,119.12476598246805,1.5,V3_Slope,
830,0.8228915662650602,1.5193844248719983,1261.0890726437585,11.162160353417839,12.967233521219825,97.25197518654142,2.0,V3_Slope,
830,0.8289156626506025,1.5498535746162656,1286.3784669315005,13.053602753070265,106.72149176343441,12.053602753070281,,V3_Slope,FULL
821,0.8270401948842875,1.5169834638787054,1245.443423844417,12.670033872887982,106.72149176343441,11.670033872887998,,V3_Slope,exclude_top1pct
92,0.8152173913043478,1.4623688720615653,134.537936229664,13.362450790936991,3.443018080678426,39.07558225867757,1.0,V4_Distance,
92,0.8043478260869565,1.4461891993257432,133.04940633796838,12.516314766236123,3.5724014107944946,37.2436887791897,1.5,V4_Distance,
92,0.8043478260869565,1.4407959750804693,132.55322970740318,12.250111650783184,3.6155291874998507,36.66219323181958,2.0,V4_Distance,
92,0.8152173913043478,1.462368872061565,134.53793622966398,13.362450790936991,10.882788413466926,12.362450790936979,,V4_Distance,FULL
91,0.8131868131868132,1.4454754307642574,131.53826419954743,13.086816282927572,10.882788413466926,12.08681628292756,,V4_Distance,exclude_top1pct
58,0.7586206896551724,1.3166571174566495,76.36611281248567,10.01767568459612,3.833378088390776,19.921362060204086,1.0,V5_Retest,
58,0.7413793103448276,1.3031767651251038,75.58425237725602,9.44091944044906,4.011493190021415,18.841924639251978,1.5,V5_Retest,
58,0.7413793103448276,1.2986833143479217,75.32363223217946,9.25519725596716,4.070864890564961,18.503102966339405,2.0,V5_Retest,
58,0.7586206896551724,1.316657117456649,76.36611281248564,10.017675684596119,8.468491824665335,9.017675684596123,,V5_Retest,FULL
57,0.7543859649122807,1.2871299741980977,73.36640852929158,9.663456262141565,8.468491824665335,8.663456262141569,,V5_Retest,exclude_top1pct
