model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,entry_price,stop_price,target_price,score,htf_regime,session_bucket,exit_timestamp,exit_price,result_R,exit_reason,variant_id,signal_id
Confirm,Long,2018-01-26 11:15:00-06:00,2018-01-26 12:15:00-06:00,2018-01-26 12:30:00-06:00,2018-01-26 12:45:00-06:00,2018-01-26 12:45:00-06:00,6977.75,6965.659116772915,7001.93176645417,75.0,1,3,2018-01-26 13:45:00-06:00,6980.75,0.24812083151043535,TIME,V2-B-LEGACY-EXP6,0
Confirm,Short,2018-02-26 22:45:00-06:00,2018-02-26 23:15:00-06:00,2018-02-27 01:00:00-06:00,2018-02-27 01:15:00-06:00,2018-02-27 01:15:00-06:00,6967.0,6973.982093863184,6953.0358122736325,75.0,1,0,2018-02-27 02:00:00-06:00,6973.982093863184,-1.0,STOP,V2-B-LEGACY-EXP6,1
Confirm,Long,2018-03-09 08:45:00-06:00,2018-03-09 09:00:00-06:00,2018-03-09 09:15:00-06:00,2018-03-09 09:30:00-06:00,2018-03-09 09:30:00-06:00,7035.0,7017.1344173715925,7070.731165256815,75.0,1,1,2018-03-09 10:30:00-06:00,7041.0,0.3358412722829193,TIME,V2-B-LEGACY-EXP6,2
Confirm,Long,2018-04-04 07:30:00-05:00,2018-04-04 08:30:00-05:00,2018-04-04 08:45:00-05:00,2018-04-04 09:00:00-05:00,2018-04-04 09:00:00-05:00,6354.5,6319.195350816471,6425.10929836706,75.0,-1,1,2018-04-04 09:30:00-05:00,6319.195350816471,-1.0,STOP,V2-B-LEGACY-EXP6,3
Confirm,Short,2018-04-20 09:30:00-05:00,2018-04-20 09:45:00-05:00,2018-04-20 10:00:00-05:00,2018-04-20 10:15:00-05:00,2018-04-20 10:15:00-05:00,6629.5,6653.791803048836,6580.916393902327,85.0,-1,2,2018-04-20 11:15:00-05:00,6630.25,-0.03087461225056862,TIME,V2-B-LEGACY-EXP6,4
Confirm,Short,2018-05-02 06:15:00-05:00,2018-05-02 07:30:00-05:00,2018-05-02 07:45:00-05:00,2018-05-02 08:15:00-05:00,2018-05-02 08:15:00-05:00,6655.5,6668.313731023532,6629.872537952936,75.0,1,1,2018-05-02 08:30:00-05:00,6629.872537952936,2.0,TARGET,V2-B-LEGACY-EXP6,5
Confirm,Long,2018-07-09 12:15:00-05:00,2018-07-09 13:30:00-05:00,2018-07-09 13:45:00-05:00,2018-07-09 14:30:00-05:00,2018-07-09 14:30:00-05:00,7219.0,7206.071613445218,7244.856773109564,75.0,1,4,2018-07-09 15:45:00-05:00,7232.75,1.063551119989853,TIME,V2-B-LEGACY-EXP6,6
Confirm,Short,2018-07-18 08:30:00-05:00,2018-07-18 08:45:00-05:00,2018-07-18 09:00:00-05:00,2018-07-18 09:45:00-05:00,2018-07-18 09:45:00-05:00,7326.75,7340.57114365104,7299.10771269792,90.0,1,1,2018-07-18 10:15:00-05:00,7340.57114365104,-1.0,STOP,V2-B-LEGACY-EXP6,7
Confirm,Long,2018-08-08 12:30:00-05:00,2018-08-08 13:15:00-05:00,2018-08-08 13:30:00-05:00,2018-08-08 14:00:00-05:00,2018-08-08 14:00:00-05:00,7417.5,7404.846568264388,7442.806863471224,85.0,1,4,2018-08-08 15:00:00-05:00,7404.846568264388,-1.0,STOP,V2-B-LEGACY-EXP6,8
Confirm,Short,2018-08-10 11:30:00-05:00,2018-08-10 12:30:00-05:00,2018-08-10 14:15:00-05:00,2018-08-10 14:30:00-05:00,2018-08-10 14:30:00-05:00,7345.0,7363.513883156038,7307.972233687923,85.0,-1,3,2018-08-10 15:45:00-05:00,7362.25,-0.9317332217457476,TIME,V2-B-LEGACY-EXP6,9
Confirm,Long,2018-08-23 12:15:00-05:00,2018-08-23 13:00:00-05:00,2018-08-23 13:15:00-05:00,2018-08-23 13:30:00-05:00,2018-08-23 13:30:00-05:00,7379.25,7364.25094664361,7409.248106712778,85.0,1,4,2018-08-23 14:30:00-05:00,7364.25094664361,-1.0,STOP,V2-B-LEGACY-EXP6,10
Confirm,Long,2018-08-29 13:00:00-05:00,2018-08-29 13:45:00-05:00,2018-08-29 14:00:00-05:00,2018-08-29 15:00:00-05:00,2018-08-29 15:00:00-05:00,7599.25,7588.995438826637,7619.759122346727,75.0,1,4,2018-08-29 17:15:00-05:00,7602.25,0.2925527430459545,TIME,V2-B-LEGACY-EXP6,11
Confirm,Short,2018-10-01 04:15:00-05:00,2018-10-01 05:45:00-05:00,2018-10-01 06:00:00-05:00,2018-10-01 06:15:00-05:00,2018-10-01 06:15:00-05:00,7611.75,7618.059944659215,7599.130110681571,75.0,1,1,2018-10-01 07:15:00-05:00,7602.25,1.5055599554469672,TIME,V2-B-LEGACY-EXP6,12
Confirm,Long,2018-10-02 08:45:00-05:00,2018-10-02 09:45:00-05:00,2018-10-02 10:00:00-05:00,2018-10-02 10:15:00-05:00,2018-10-02 10:15:00-05:00,7596.0,7577.022367785568,7633.955264428863,90.0,-1,1,2018-10-02 11:15:00-05:00,7600.0,0.2107744504057867,TIME,V2-B-LEGACY-EXP6,13
Confirm,Long,2018-11-01 13:15:00-05:00,2018-11-01 14:30:00-05:00,2018-11-01 14:45:00-05:00,2018-11-01 15:00:00-05:00,2018-11-01 15:00:00-05:00,6978.5,6950.25232822451,7034.995343550979,100.0,1,4,2018-11-01 15:30:00-05:00,6950.25232822451,-1.0,STOP,V2-B-LEGACY-EXP6,14
Confirm,Short,2018-12-14 14:15:00-06:00,2018-12-14 14:30:00-06:00,2018-12-14 14:45:00-06:00,2018-12-14 15:30:00-06:00,2018-12-14 15:30:00-06:00,6492.75,6525.295245412683,6427.659509174635,85.0,-1,5,2018-12-16 17:30:00-06:00,6503.75,-0.3379909987009468,TIME,V2-B-LEGACY-EXP6,15
Confirm,Long,2019-01-08 12:00:00-06:00,2019-01-08 12:45:00-06:00,2019-01-08 13:15:00-06:00,2019-01-08 13:30:00-06:00,2019-01-08 13:30:00-06:00,6441.0,6411.488751337626,6500.022497324748,75.0,1,4,2019-01-08 14:30:00-06:00,6440.0,-0.03388538422892902,TIME,V2-B-LEGACY-EXP6,16
Confirm,Short,2019-01-31 12:15:00-06:00,2019-01-31 14:00:00-06:00,2019-01-31 14:15:00-06:00,2019-01-31 14:30:00-06:00,2019-01-31 14:30:00-06:00,6773.0,6794.883296842202,6729.233406315597,75.0,1,4,2019-01-31 14:45:00-06:00,6794.883296842202,-1.0,STOP,V2-B-LEGACY-EXP6,17
Confirm,Short,2019-02-01 11:00:00-06:00,2019-02-01 12:30:00-06:00,2019-02-01 12:45:00-06:00,2019-02-01 13:00:00-06:00,2019-02-01 13:00:00-06:00,6753.0,6776.052418683576,6706.895162632848,70.0,1,3,2019-02-01 14:00:00-06:00,6745.5,0.3253454703797935,TIME,V2-B-LEGACY-EXP6,18
Confirm,Long,2019-02-04 12:30:00-06:00,2019-02-04 12:45:00-06:00,2019-02-04 13:30:00-06:00,2019-02-04 13:45:00-06:00,2019-02-04 13:45:00-06:00,6830.75,6817.599648272935,6857.05070345413,75.0,1,4,2019-02-04 14:45:00-06:00,6841.75,0.8364795275673862,TIME,V2-B-LEGACY-EXP6,19
Confirm,Long,2019-03-15 08:15:00-05:00,2019-03-15 08:30:00-05:00,2019-03-15 08:45:00-05:00,2019-03-15 09:15:00-05:00,2019-03-15 09:15:00-05:00,7176.25,7160.824417309381,7207.101165381238,90.0,1,1,2019-03-15 10:15:00-05:00,7185.25,0.5834463553505375,TIME,V2-B-LEGACY-EXP6,20
Confirm,Short,2019-04-01 08:30:00-05:00,2019-04-01 09:00:00-05:00,2019-04-01 09:15:00-05:00,2019-04-01 09:30:00-05:00,2019-04-01 09:30:00-05:00,7308.25,7323.7528921933435,7277.244215613313,90.0,1,1,2019-04-01 10:00:00-05:00,7323.7528921933435,-1.0,STOP,V2-B-LEGACY-EXP6,21
Confirm,Short,2019-04-03 23:15:00-05:00,2019-04-04 01:00:00-05:00,2019-04-04 01:15:00-05:00,2019-04-04 01:30:00-05:00,2019-04-04 01:30:00-05:00,7417.75,7426.185152447694,7400.8796951046115,75.0,1,0,2019-04-04 02:30:00-05:00,7420.75,-0.3556545087480997,TIME,V2-B-LEGACY-EXP6,22
Confirm,Long,2019-04-08 11:15:00-05:00,2019-04-08 12:15:00-05:00,2019-04-08 12:30:00-05:00,2019-04-08 12:45:00-05:00,2019-04-08 12:45:00-05:00,7463.25,7451.054337063964,7487.641325872071,85.0,1,3,2019-04-08 13:45:00-05:00,7467.75,0.3689836316075404,TIME,V2-B-LEGACY-EXP6,23
Confirm,Long,2019-04-18 06:15:00-05:00,2019-04-18 07:00:00-05:00,2019-04-18 07:15:00-05:00,2019-04-18 07:45:00-05:00,2019-04-18 07:45:00-05:00,7550.5,7540.811943507173,7569.876112985654,90.0,1,1,2019-04-18 08:15:00-05:00,7569.876112985654,2.0,TARGET,V2-B-LEGACY-EXP6,24
Confirm,Short,2019-04-24 09:30:00-05:00,2019-04-24 11:00:00-05:00,2019-04-24 11:15:00-05:00,2019-04-24 11:30:00-05:00,2019-04-24 11:30:00-05:00,7671.0,7683.879072145297,7645.241855709406,100.0,1,2,2019-04-24 12:30:00-05:00,7673.75,-0.21352469874968857,TIME,V2-B-LEGACY-EXP6,25
Confirm,Long,2019-04-26 07:00:00-05:00,2019-04-26 07:15:00-05:00,2019-04-26 07:30:00-05:00,2019-04-26 07:45:00-05:00,2019-04-26 07:45:00-05:00,7680.75,7668.971674653385,7704.30665069323,90.0,-1,1,2019-04-26 08:30:00-05:00,7668.971674653385,-1.0,STOP,V2-B-LEGACY-EXP6,26
Confirm,Short,2019-05-08 14:30:00-05:00,2019-05-08 14:45:00-05:00,2019-05-08 15:00:00-05:00,2019-05-08 15:30:00-05:00,2019-05-08 15:30:00-05:00,7490.75,7518.701621730786,7434.846756538427,70.0,-1,5,2019-05-08 17:30:00-05:00,7492.0,-0.04472012436484934,TIME,V2-B-LEGACY-EXP6,27
Confirm,Short,2019-05-10 08:45:00-05:00,2019-05-10 09:00:00-05:00,2019-05-10 09:15:00-05:00,2019-05-10 09:30:00-05:00,2019-05-10 09:30:00-05:00,7315.0,7350.207834127998,7244.584331744006,90.0,-1,1,2019-05-10 10:30:00-05:00,7299.75,0.4331422360307359,TIME,V2-B-LEGACY-EXP6,28
Confirm,Short,2019-06-25 11:15:00-05:00,2019-06-25 11:30:00-05:00,2019-06-25 12:30:00-05:00,2019-06-25 12:45:00-05:00,2019-06-25 12:45:00-05:00,7482.75,7504.701095882546,7438.847808234909,85.0,-1,3,2019-06-25 13:30:00-05:00,7438.847808234909,2.0,TARGET,V2-B-LEGACY-EXP6,29
Confirm,Long,2019-07-02 11:45:00-05:00,2019-07-02 13:00:00-05:00,2019-07-02 13:45:00-05:00,2019-07-02 14:00:00-05:00,2019-07-02 14:00:00-05:00,7622.75,7608.333990604335,7651.5820187913305,85.0,1,3,2019-07-02 15:00:00-05:00,7651.5820187913305,2.0,TARGET,V2-B-LEGACY-EXP6,30
Confirm,Long,2019-07-12 09:45:00-05:00,2019-07-12 11:30:00-05:00,2019-07-12 12:00:00-05:00,2019-07-12 12:15:00-05:00,2019-07-12 12:15:00-05:00,7777.25,7765.209078642851,7801.3318427142995,75.0,1,2,2019-07-12 13:15:00-05:00,7776.25,-0.0830501230212102,TIME,V2-B-LEGACY-EXP6,31
