signal_id,filled,entry_timestamp,entry_price,exit_timestamp,exit_price,stop_price,result_R,exit_reason,mfe_r,mae_r,bars_in_trade,entry_model,direction,confirm_timestamp,bos_timestamp,session_bucket,score,gross_R,net_R,fold_test_end
48,True,2020-01-02 13:00:00-06:00,8621.978991484179,2020-01-02 14:00:00-06:00,8640.5,8610.102304614247,1.55944235279218,TIME,1.7699387671019133,0.0,4,BOS_RETEST,Long,2020-01-02 12:45:00-06:00,2020-01-02 11:30:00-06:00,3,85.0,1.55944235279218,1.4983983926423579,2020-12-31
49,True,2020-02-06 15:45:00-06:00,9232.598994767557,2020-02-06 17:45:00-06:00,9242.0,9216.070484072707,0.568775094502114,TIME,0.8259065492631317,0.0,4,BOS_RETEST,Long,2020-02-06 15:30:00-06:00,2020-02-06 14:45:00-06:00,5,75.0,0.568775094502114,0.524911493395822,2020-12-31
51,True,2020-02-14 09:15:00-06:00,9396.694936146549,2020-02-14 09:45:00-06:00,9412.518009567031,9412.518009567031,-0.9999999999999969,STOP,0.48631109406265055,1.0462609515557968,2,BOS_RETEST,Short,2020-02-14 08:45:00-06:00,2020-02-14 07:30:00-06:00,1,90.0,-0.9999999999999969,-1.0458191642504455,2020-12-31
52,True,2020-02-28 11:45:00-06:00,8125.687665121706,2020-02-28 12:45:00-06:00,8017.032345889034,8017.032345889034,-0.9999999999999987,STOP,0.8610930006835791,1.0624207442114328,4,BOS_RETEST,Long,2020-02-28 11:15:00-06:00,2020-02-28 10:15:00-06:00,1,90.0,-0.9999999999999987,-1.0066724759093235,2020-12-31
54,True,2020-03-04 17:00:00-06:00,8647.25,2020-03-04 18:00:00-06:00,8638.25,8600.105817360505,-0.19090372334635514,TIME,0.27574982261140185,0.4083218527130374,4,BOS_RETEST,Long,2020-03-04 15:45:00-06:00,2020-03-04 14:15:00-06:00,4,100.0,-0.19090372334635514,-0.2062820788381446,2020-12-31
55,True,2020-03-09 11:15:00-05:00,7929.0,2020-03-09 12:00:00-05:00,7866.057949194709,7866.057949194709,-0.9999999999999944,STOP,0.3177525953494785,1.056527379537016,3,BOS_RETEST,Long,2020-03-09 11:00:00-05:00,2020-03-09 10:30:00-05:00,1,90.0,-0.9999999999999944,-1.011518531581413,2020-12-31
56,True,2020-03-24 17:00:00-05:00,7330.177624286018,2020-03-24 18:00:00-05:00,7357.5,7251.979696713502,0.34940025346125797,TIME,1.1902153753073894,0.0,4,BOS_RETEST,Long,2020-03-24 15:30:00-05:00,2020-03-24 14:45:00-05:00,4,75.0,0.34940025346125797,0.3401289080112436,2020-12-31
60,True,2020-04-08 14:30:00-05:00,7976.75,2020-04-08 15:45:00-05:00,7991.0,7931.707502812547,0.31636789453959163,TIME,1.2099684387654557,0.22201255757164326,4,BOS_RETEST,Long,2020-04-08 14:15:00-05:00,2020-04-08 13:30:00-05:00,4,75.0,0.31636789453959163,0.3002719841156474,2020-12-31
63,True,2020-05-25 08:30:00-05:00,9306.0,2020-05-25 09:30:00-05:00,9313.25,9291.319151916245,0.4938406799551755,TIME,0.749275514414749,0.06811595585588627,4,BOS_RETEST,Long,2020-05-25 08:15:00-05:00,2020-05-25 07:45:00-05:00,1,75.0,0.4938406799551755,0.44445661195966046,2020-12-31
65,True,2020-06-22 17:15:00-05:00,9936.138313817133,2020-06-22 18:15:00-05:00,9952.25,9913.372171296834,0.7077038267902335,TIME,0.9492906478819595,0.8186856337438537,4,BOS_RETEST,Long,2020-06-22 17:00:00-05:00,2020-06-22 15:00:00-05:00,5,75.0,0.7077038267902335,0.6758582912826885,2020-12-31
67,True,2020-06-28 18:15:00-05:00,9607.5,2020-06-28 19:15:00-05:00,9623.75,9649.027156230863,-0.3913102045721911,TIME,0.030100784967091624,0.8428219790785655,4,BOS_RETEST,Short,2020-06-28 18:00:00-05:00,2020-06-28 17:00:00-05:00,5,75.0,-0.3913102045721911,-0.40876865985310407,2020-12-31
71,True,2020-08-04 13:00:00-05:00,10856.5,2020-08-04 13:15:00-05:00,10830.58746364057,10830.58746364057,-1.0000000000000249,STOP,0.21225247593327662,1.3121062148602556,1,BOS_RETEST,Long,2020-08-04 12:45:00-05:00,2020-08-04 12:15:00-05:00,3,85.0,-1.0000000000000249,-1.027978735463956,2020-12-31
