signal_id,direction,mfe_r,mae_r,result_R,P_p0.5R_before_l0.5R,P_p0.5R_before_l1.0R,P_p1.0R_before_l0.5R,P_p1.0R_before_l1.0R,P_p1.5R_before_l0.5R,P_p1.5R_before_l1.0R,P_p2.0R_before_l0.5R,P_p2.0R_before_l1.0R,P_p2.5R_before_l0.5R,P_p2.5R_before_l1.0R,P_p3.0R_before_l0.5R,P_p3.0R_before_l1.0R
37,Short,1.6616543899491962,1.329323511959357,-1.000000000000012,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Long,0.6032569896136615,0.3619541937681969,0.38876561552880406,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Long,0.48265518917690664,0.10161161877408562,0.12701452346760703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Long,1.8753083360721876,0.30686863681181253,1.7048257600656251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,Long,0.17823478289136,0.6535275372683199,-0.45548888961125333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Short,0.8214147201231186,0.46671290916086283,-0.05600554909930354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
43,Long,1.110192301111948,0.7225061007236487,0.7225061007236487,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Long,2.395361072679032,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
45,Long,0.36607704945575714,0.6711412573355547,0.1525321039398988,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Long,0.13645103257684077,0.27290206515368154,0.10916082606147262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Short,0.1606692513330419,1.0282832085314682,-0.999999999999913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Long,1.3278971482480482,0.05107296724030955,1.2257512137674291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Long,0.7042280836425139,0.12354878660394981,0.37064635981184946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Long,0.06920268708916717,0.512099884459837,-0.17992698643183463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Short,1.074184590464971,1.7534483756119377,-1.0000000000000022,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Long,0.47738045771089505,0.3226047624374408,-0.19020627611918473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Short,0.965155415086659,0.21251128405577813,0.6795933771367071,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Long,0.1845786203379036,0.5361569447910534,-0.11426295544727366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Long,0.21574172742549508,1.3766376892864922,-0.9999999999999949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Long,0.8790183975579265,0.388946193609702,0.47192138157977176,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Short,0.0227350530328063,0.8298294356974301,-0.45697456595940666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Short,0.124594464594265,0.5855939835930455,-0.4568463701789717,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Short,0.8039945641159356,0.8217623997870059,0.21321402805284478,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Long,0.4899264343450612,1.035411536502449,-1.0000000000000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Long,1.409264658914905,0.6792401734409677,1.3394362298695717,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
62,Long,0.2804139953465196,0.20537363039463408,0.02764645024543151,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Long,0.5695178757373726,0.22780715029494902,0.2847589378686863,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
64,Long,0.760647761808246,0.033435066453109716,0.14209903242571628,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
65,Long,0.7943594896091631,0.49426812686792376,0.5207467765215625,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Long,1.09242847339357,0.10006978382231176,0.8088974192303534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
67,Short,0.33959977026513954,0.3638568967126495,-0.16009703455356578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Long,0.8153004631891002,0.165263607403196,0.6665632165262239,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Long,0.23594202700117084,0.41289854725204894,0.17040257505640116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,Long,0.12666727570149588,0.13284616719912984,-0.0803255894692413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Long,0.20431325305289338,1.170872104033889,-0.9999999999999741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Long,0.27906529005968517,0.7651790211313947,0.08101895517861826,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Long,0.14296613818711257,0.2610686001677708,-0.1864775715484077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Short,0.5848374616157825,0.9149876415601759,-0.49522526991659005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Short,0.835731282199157,0.6685850257593257,0.24429068248898436,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Short,0.20684921686857005,0.794300992775309,-0.3640546216886833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Long,0.46501115365759743,0.23644634931742242,0.33890643402163884,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Short,2.2131717606246863,0.9924143212324983,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
79,Short,0.5307487948627377,0.8897847443287075,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Long,0.7915083770928236,0.13630204681054667,0.7915083770928236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
81,Short,0.6872565713140077,0.2425611428167086,-0.02274010713906643,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Long,0.29695533051483936,0.0,0.047896021050780536,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Short,2.702964574556037,0.1017244732359799,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,Long,0.2021871301685323,0.4910258875521498,-0.39474630175761066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Long,0.13794561812662587,0.42369011281749375,-0.32515752844133244,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Long,2.674611945998691,0.24490422638060302,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,Long,0.9576315503418896,1.1607655155659267,-0.9999999999999813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Long,0.6522821472226253,0.047961922589898925,0.4220649187911105,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Short,0.0659835079903269,1.022744373850067,-1.0000000000000278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Long,0.43450565641574834,0.6964870080781849,-0.35782818763649865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Long,0.6672743471135827,0.08007292165362992,0.4644229455910535,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Short,0.47400564925352007,0.0066761359049791556,0.42727269791866596,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Long,0.7887772389878052,0.06465387204818075,0.32326936024090375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Long,0.03223868662705081,0.8289947989813066,-0.29245094297396096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Short,0.21954136809531316,0.6047743347531268,-0.48464792579531396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Short,2.0566599744047567,0.2370387767110567,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
97,Long,0.35147084743530954,1.1247067117929905,-0.9999999999999634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Short,1.5100266530587554,0.1559024568054762,1.318489348983456,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Long,1.157538965994768,0.30304668208446717,1.1227631172309767,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Long,0.2876642558672982,0.18797862264595724,0.21930839308695013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Long,0.1795006741965272,0.6853662105685585,-0.19581891730530243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
