population,N,win_rate,AvgR,TotalR,PF,MaxDD,Return_over_DD
BOTH,142,0.5422535211267606,0.10930009795050094,15.520613908971134,1.3616333157919607,6.822807951081305,2.274813247016775
LONG_ONLY,88,0.5909090909090909,0.1739594077926823,15.308427885756041,1.6440588400979474,3.7972095018478385,4.03149414808598
SHORT_ONLY,54,0.46296296296296297,0.00392937080027947,0.2121860232150914,1.0110805466046147,8.000678506233774,0.026521003568605518
