scenario,N,win_rate,AvgR,TotalR,PF,MaxDD,Return_over_DD
full,110,0.5454545454545454,0.32514548890043465,35.766003779047814,1.8863907402083693,5.0704637188276,7.053793452114017
exclude_best,109,0.5412844036697247,0.30080570184885047,32.787821501524704,1.8125822932329323,40.35015502377663,0.8125822932329314
exclude_top3,107,0.5327102803738317,0.2507664624856275,26.832011485962145,1.6649791424630513,40.35015502377663,0.6649791424630508
exclude_top1pct,108,0.5370370370370371,0.27601701990489536,29.809838149728698,1.7387787762441818,5.070463718827597,5.879114771897311
