year,N,win_rate,AvgR,TotalR,PF,MaxDD,Return_over_DD
2020,16,0.4375,-0.11151789583245675,-1.784286333319308,0.7136059644524702,4.469463998382745,-0.39921707255387756
2021,14,0.7142857142857143,0.4072779828181076,5.701891759453507,2.4516690378124166,1.0394800040682806,5.485330874223306
2022,17,0.5882352941176471,0.5595655294397408,9.512614000475594,2.7255945331370373,3.8521336302865854,2.4694402929547095
2023,17,0.47058823529411764,0.09818448539101418,1.669136251647241,1.2543902731268792,4.465955656370397,0.3737467140468191
2024,19,0.5263157894736842,0.4160504027060614,7.904957651415167,1.917248339707317,3.1082073351665382,2.5432530069592727
2025,19,0.5263157894736842,0.32815893464688733,6.235019758290859,1.7577459823936077,4.049214503371857,1.5398096971891315
2026,8,0.625,0.8158338363855936,6.526670691084749,6.132327098888419,1.031338271463258,6.328351106203727
