key,timestamp_ct,signal_type,ref_entry,act_entry,ref_stop,act_stop,ref_target,act_target,parity_status
2017-10-02 15:00:00+00:00|S,2017-10-02 15:00:00+00:00,S,6001.0,6001.0,6004.986336834279,6004.986336834279,5989.040989497162,5989.040989497162,MATCH
2017-10-02 16:30:00+00:00|RL,2017-10-02 16:30:00+00:00,RL,5974.90516475333,5974.90516475333,5969.230803078356,5969.230803078356,5989.091068940763,5989.091068940763,MATCH
2017-10-03 16:15:00+00:00|L,2017-10-03 16:15:00+00:00,L,5995.75,5995.75,5990.974812205785,5990.974812205785,6010.075563382645,6010.075563382645,MATCH
2017-10-03 17:15:00+00:00|RS,2017-10-03 17:15:00+00:00,RS,5994.538315715068,5994.538315715068,5998.771474127984,5998.771474127984,5983.955419682779,5983.955419682779,MATCH
2017-10-04 15:00:00+00:00|L,2017-10-04 15:00:00+00:00,L,5991.553896764904,5991.553896764904,5987.294615723611,5987.294615723611,6004.331739888781,6004.331739888781,MATCH
2017-10-04 16:45:00+00:00|S,2017-10-04 16:45:00+00:00,S,6005.25,6005.25,6009.914795634982,6009.914795634982,5991.255613095055,5991.255613095055,MATCH
2017-10-05 15:30:00+00:00|L,2017-10-05 15:30:00+00:00,L,6032.144615791485,6032.144615791485,6027.253541529357,6027.253541529357,6046.81783857787,6046.81783857787,MATCH
2017-10-05 18:45:00+00:00|L,2017-10-05 18:45:00+00:00,L,6055.866750467382,6055.866750467382,6051.183131140972,6051.183131140972,6069.917608446612,6069.917608446612,MATCH
2017-10-06 15:30:00+00:00|L,2017-10-06 15:30:00+00:00,L,6054.25,6054.25,6048.999837991455,6048.999837991455,6070.000486025635,6070.000486025635,MATCH
2017-10-06 15:45:00+00:00|RS,2017-10-06 15:45:00+00:00,RS,6058.0,6058.0,6063.12961472222,6063.12961472222,6045.17596319445,6045.17596319445,MATCH
2017-10-06 20:00:00+00:00|L,2017-10-06 20:00:00+00:00,L,6064.5,6064.5,6060.1583643006115,6060.1583643006115,6077.524907098166,6077.524907098166,MATCH
2017-10-06 20:30:00+00:00|RS,2017-10-06 20:30:00+00:00,RS,6064.5,6064.5,6068.652054578004,6068.652054578004,6054.11986355499,6054.11986355499,MATCH
2017-10-09 16:30:00+00:00|S,2017-10-09 16:30:00+00:00,S,6072.25,6072.25,6075.632875206757,6075.632875206757,6062.101374379729,6062.101374379729,MATCH
2017-10-09 19:00:00+00:00|S,2017-10-09 19:00:00+00:00,S,6064.047120392457,6064.047120392457,6067.736817659272,6067.736817659272,6052.978028592013,6052.978028592013,MATCH
