trade_id,direction,outcome,net_R,15m_state,15m_strength,15m_score,5m_direction,5m_struct_score,5m_loc_score,5m_react_score,pb_depth_pct,swing_dist_atr,impulse_atr_15m
T58-042865,LONG,LOSER,-1.6940170940169215,BULLISH,2.0,2,NEUTRAL,2,1,2,0.3287671232876712,9.026315789473683,2.2461809049134156
T58-053613,LONG,LOSER,-1.9175141242928802,BEARISH,-1.5,-2,NEUTRAL,1,0,3,0.6944444444444444,4.75,2.326325363425724
T58-064463,SHORT,LOSER,-1.130441767068261,BEARISH,-1.0,1,BEARISH,2,1,1,0.27941176470588236,2.5828877005347595,1.2982221074249392
T58-185019,SHORT,LOSER,-1.0479480366105682,BULLISH,1.5,-2,NEUTRAL,2,0,0,0.9286452947259566,0.7166172106824925,1.6699646726232205
T58-049170,SHORT,LOSER,-1.3657657657657178,BEARISH,-1.0,1,BEARISH,2,0,2,0.05154639175257732,8.449704142011834,2.635969548051298
T58-008447,LONG,LOSER,-1.2506172839506398,BULLISH,1.5,2,NEUTRAL,2,1,1,0.5373134328358209,4.15311004784689,1.658211466448965
T58-209619,LONG,LOSER,-1.1370464135021368,BULLISH,2.0,2,NEUTRAL,1,0,2,0.021021021021021023,9.137931034482758,3.240360141162967
T58-056992,LONG,LOSER,-2.202962962961407,BEARISH,-2.0,-2,NEUTRAL,2,0,0,0.6842105263157895,5.157894736842105,1.811337609592306
T58-017578,LONG,LOSER,-1.5698245614034505,BEARISH,-2.0,-2,BEARISH,2,0,2,0.7662337662337663,1.5730337078651686,2.940807558757536
T58-100351,LONG,LOSER,-1.1691666666666871,TRANSITION,0.0,0,BEARISH,2,1,3,0.5056179775280899,4.026143790849673,1.6418452179519907
T58-067024,SHORT,LOSER,-1.1740621650589171,BEARISH,-2.0,2,NEUTRAL,2,1,0,0.1937984496124031,10.11111111111111,1.2955322150470852
T58-167226,LONG,LOSER,-1.3608888888890756,BULLISH,2.0,2,NEUTRAL,2,1,3,0.26804123711340205,5.881656804733728,0.8807627552650321
T58-088961,LONG,LOSER,-1.302420856610899,NEUTRAL,0.5,0,BULLISH,2,2,1,0.4146341463414634,2.931937172774869,1.1256614746760152
T58-058591,SHORT,LOSER,-1.1406060606060606,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.010067114093959731,11.931398416886543,2.198454816985222
T58-082400,SHORT,LOSER,-1.474853801169429,TRANSITION,0.0,0,BEARISH,2,1,2,0.5256410256410257,3.929824561403509,1.6357941810798244
T58-215607,SHORT,LOSER,-1.1080505655355788,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.05345911949685535,7.818181818181818,2.7819454088410436
T58-178098,SHORT,LOSER,-1.153787878787862,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.634020618556701,4.478589420654912,1.5586869215071593
T58-021927,SHORT,LOSER,-1.7733333333333334,BEARISH,-2.0,2,BEARISH,2,1,0,0.17391304347826086,13.3,1.349949364553844
T58-031239,LONG,LOSER,-1.173504273504268,BULLISH,2.0,2,BULLISH,2,0,0,0.12698412698412698,7.47945205479452,2.018706230924661
T58-112371,SHORT,LOSER,-1.0647527910685761,BEARISH,-2.0,2,NEUTRAL,2,0,3,0.7468643101482326,4.604141291108404,1.534588184637512
T58-121649,LONG,LOSER,-1.0455667789001137,BULLISH,2.0,2,BULLISH,2,1,2,0.15706806282722513,5.863751051303616,3.118369998815011
