system,N,AvgR,PF,TotalR,WinRate,MaxDD,stops,targets,time_exits,stop_rate,false_positive_proxy
A_Phase58_1M,223162,-0.11633832953358729,0.8672077425339102,-25962.294295374406,0.35202229770301396,29581.956525326765,144099,78781,282,0.6457147722282467,0.6457147722282467
B_5M_only,47075,-0.3027111516608382,0.6815462560696438,-14250.127464433957,0.3019861922464153,14256.169435531494,32735,14296,44,0.6953797132235794,0.6953797132235794
C_15M_5M_E5,48328,-0.17215675165382316,0.8089762562446154,-8319.991493925965,0.3396374772388677,8862.063385442107,31759,16526,43,0.6571552723059096,0.6571552723059096
D_MTF_1M,46975,-0.48731610327231606,0.5230574723610234,-22891.673951217046,0.24911122937732835,22892.091899933053,35166,11776,33,0.7486109632783395,0.7486109632783395
