min_15m_score,trades_retained_pct,winners_retained_pct,losers_retained_pct,N,AvgR,PF,TotalR
-2,100.0,100.0,100.0,48328,-0.17215675165382316,0.8089762562446154,-8319.991493925965
-1,98.18738619433869,99.2079931765566,97.66246788243404,47452,-0.16122545180113634,0.8203958429287094,-7650.470138867522
0,98.18738619433869,99.2079931765566,97.66246788243404,47452,-0.16122545180113634,0.8203958429287094,-7650.470138867522
1,70.69607680847541,76.27634945777994,67.82603246224228,34166,-0.07032699970112494,0.9181947781990084,-2402.7922717886345
2,56.30690283065718,63.817472888997195,52.444068433916144,27212,0.014091996535114266,1.0171705062541703,383.4714097135294
