system,trade_id,capture_after_signal,capture_entire_move,favorable_spent_before_entry_atr,total_excursion_atr
A_Phase58_1M,T58-069778,1.0,1.0,0.0,2.5498281786941583
A_Phase58_1M,T58-139017,0.9444444444444444,0.9444444444444444,0.20289855072463767,3.652173913043478
A_Phase58_1M,T58-132730,1.0,1.0,0.0,7.03030303030303
A_Phase58_1M,T58-168765,0.8235294117647058,0.8235294117647058,0.6331658291457287,3.5879396984924625
A_Phase58_1M,T58-001394,0.8333333333333334,0.8333333333333334,0.6363636363636364,3.8181818181818183
A_Phase58_1M,T58-014065,0.8799999999999999,0.8799999999999999,0.4565217391304348,3.8043478260869565
A_Phase58_1M,T58-212840,1.0,1.0,0.0,5.355871886120996
A_Phase58_1M,T58-068307,0.5918367346938777,0.5918367346938777,1.7721518987341771,4.341772151898734
A_Phase58_1M,T58-135460,0.8525641025641025,0.8525641025641025,0.5078864353312303,3.444794952681388
A_Phase58_1M,T58-218746,0.9603960396039604,0.9603960396039604,0.20475319926873858,5.17001828153565
A_Phase58_1M,T58-045862,1.0,1.0,0.0,5.743589743589744
A_Phase58_1M,T58-019719,0.8983050847457628,0.8983050847457628,2.048780487804878,20.146341463414636
A_Phase58_1M,T58-080679,0.8051948051948052,0.8051948051948052,0.6481481481481481,3.3271604938271606
A_Phase58_1M,T58-211692,0.972972972972973,0.972972972972973,0.043076923076923075,1.5938461538461537
A_Phase58_1M,T58-142498,0.8214285714285714,0.8214285714285714,0.9722222222222221,5.444444444444444
A_Phase58_1M,T58-016882,1.0,1.0,0.0,2.041666666666667
A_Phase58_1M,T58-059126,0.9491525423728814,0.9491525423728814,0.6363636363636364,12.515151515151516
A_Phase58_1M,T58-047559,1.0,1.0,0.0,3.7333333333333334
A_Phase58_1M,T58-188330,0.8202247191011236,0.8202247191011236,0.47965738758029985,2.6680942184154177
A_Phase58_1M,T58-003996,0.9402985074626866,0.9402985074626866,0.5333333333333333,8.933333333333334
A_Phase58_1M,T58-010494,0.8571428571428571,0.8571428571428571,0.25,1.75
A_Phase58_1M,T58-095137,0.5535714285714285,0.5535714285714285,0.8495145631067962,1.9029126213592233
A_Phase58_1M,T58-084258,1.0,1.0,0.0,7.848484848484849
A_Phase58_1M,T58-106646,1.0,1.0,0.0,0.17177914110429449
