trade_id,direction,system,A_eventual_5m,B_at_horizon_5m,A_eventual_10m,B_at_horizon_10m,A_eventual_15m,B_at_horizon_15m,A_eventual_30m,B_at_horizon_30m,A_eventual_60m,B_at_horizon_60m,C_target_before_stop,D_stop_before_target
T58-036670,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-110881,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-044623,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-053280,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-041288,SHORT,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-174165,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-030858,LONG,A,True,True,True,False,True,False,True,False,True,False,True,False
T58-037599,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-168820,LONG,A,True,False,True,True,True,False,True,True,True,True,False,True
T58-050199,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-011459,LONG,A,False,False,True,True,True,True,True,True,True,False,False,True
T58-026857,SHORT,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-058736,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-109369,SHORT,A,False,False,True,False,True,False,True,False,True,False,False,True
T58-119367,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-222744,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-213678,LONG,A,True,True,True,True,True,False,True,True,True,True,False,True
T58-213365,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-040387,SHORT,A,True,False,True,True,True,True,True,False,True,True,True,False
T58-204491,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-191650,SHORT,A,False,True,True,False,True,True,True,False,True,False,False,True
T58-035858,SHORT,A,True,False,True,True,True,True,True,True,True,False,True,False
T58-082709,LONG,A,True,True,True,False,True,False,True,False,True,False,False,True
T58-127927,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-066946,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-060548,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-205856,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-135630,LONG,A,False,False,False,False,False,False,False,False,True,True,False,True
T58-008552,SHORT,A,True,False,True,False,True,False,True,True,True,False,True,False
T58-121585,LONG,A,True,True,True,True,True,False,True,True,True,False,True,False
T58-060554,LONG,A,False,False,True,False,True,True,True,True,True,True,False,True
T58-175874,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-054344,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-217981,SHORT,A,True,False,True,False,True,False,True,True,True,True,True,False
T58-140682,SHORT,A,True,False,True,False,True,True,True,True,True,False,False,True
T58-130813,LONG,A,True,False,True,True,True,False,True,True,True,True,False,True
T58-157492,LONG,A,False,False,False,False,False,False,False,False,False,False,False,True
T58-055103,LONG,A,True,True,True,True,True,True,True,False,True,False,True,False
T58-172870,LONG,A,True,True,True,True,True,False,True,True,True,False,True,False
T58-043649,SHORT,A,True,True,True,True,True,True,True,False,True,True,False,True
T58-056391,SHORT,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-034182,LONG,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-121139,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-055784,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-025229,LONG,A,False,False,False,False,False,False,False,False,True,False,False,True
T58-108414,LONG,A,True,True,True,True,True,True,True,True,True,False,True,False
T58-205665,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-134447,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-063406,LONG,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-106572,SHORT,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-058918,LONG,A,False,True,True,False,True,False,True,True,True,False,False,True
T58-029277,LONG,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-111084,SHORT,A,True,False,True,False,True,True,True,True,True,True,True,False
T58-153849,LONG,A,False,False,False,False,False,False,False,False,False,False,False,True
T58-199956,LONG,A,True,True,True,True,True,False,True,False,True,False,True,False
T58-041699,SHORT,A,False,True,False,True,False,False,False,True,False,True,False,True
T58-050567,LONG,A,True,True,True,True,True,True,True,True,True,False,True,False
T58-090604,LONG,A,False,False,False,False,False,False,True,True,True,False,False,True
T58-031217,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-087727,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-221543,LONG,A,True,True,True,True,True,True,True,False,True,False,True,False
T58-039046,LONG,A,False,False,True,False,True,False,True,False,True,False,False,True
T58-005395,SHORT,A,True,False,True,True,True,True,True,False,True,False,False,True
T58-086058,SHORT,A,True,True,True,False,True,False,True,False,True,False,True,False
T58-188062,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-182580,LONG,A,True,False,True,False,True,True,True,True,True,False,True,False
T58-222265,LONG,A,True,False,True,False,True,True,True,True,True,True,False,True
T58-121905,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-131192,LONG,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-098392,LONG,A,False,False,False,False,True,True,True,True,True,True,False,True
T58-185496,SHORT,A,False,True,True,False,True,False,True,True,True,True,False,True
T58-167912,LONG,A,False,False,False,True,False,False,False,False,False,False,False,True
T58-106434,SHORT,A,True,False,True,False,True,True,True,True,True,False,False,True
T58-072367,LONG,A,True,False,True,False,True,False,True,True,True,False,False,True
T58-013749,SHORT,A,True,False,True,False,True,True,True,True,True,False,True,False
T58-191501,SHORT,A,False,True,True,False,True,False,True,False,True,False,False,True
T58-159228,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-089889,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-014565,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-101367,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-181755,SHORT,A,True,False,True,False,True,True,True,False,True,False,False,True
T58-177404,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-002412,LONG,A,True,True,True,False,True,False,True,False,True,False,True,False
T58-121555,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-023897,SHORT,A,True,False,True,False,True,True,True,True,True,True,False,True
