direction,phase58_entry_i,phase58b_entry_i,lag_bars,phase58_net_R,phase58b_net_R
LONG,93315,93327,12,-2.388034188033843,-2.5921568627460063
SHORT,2196200,2196192,-8,-1.065695792880262,-1.0623655913978494
LONG,1530357,1530347,-10,-1.5307189542486688,2.033333333333099
SHORT,985650,985641,-9,2.2925925925926234,2.21358024691358
LONG,2079559,2079566,7,-1.0696696696696697,-1.089181768259204
LONG,2610584,2610609,25,2.419802469135793,-1.0959810874704359
LONG,2668430,2668430,0,2.3207505518763107,2.3152445961320414
LONG,2377181,2377155,-26,2.303151515151543,2.3253763440860435
LONG,1464500,1464501,1,2.260471976401221,2.2346405228758424
LONG,2448022,2447994,-28,-1.3608888888890756,2.2957232704403414
SHORT,129641,129634,-7,-1.7960784313722082,-1.8731182795701657
LONG,2565245,2565251,6,-1.2218579234971618,-1.2218579234971618
LONG,2986967,2986941,-26,2.4066666666666854,-1.0801975308642067
LONG,526996,526990,-6,1.7877192982454322,1.8777777777777085
SHORT,93911,93905,-6,0.49506172839362117,-2.2589147286816025
LONG,1755479,1755454,-25,-1.237426900584856,-1.1681159420289855
LONG,2041813,2041798,-15,-1.741552511414934,-1.7624413145537823
SHORT,2979351,2979344,-7,-1.0730544309491563,-1.0738517507958203
SHORT,1356507,1356535,28,2.3830813534917255,-1.1847554038680441
SHORT,1408339,1408350,11,-1.1343258891646182,2.30871613663137
SHORT,315633,315648,15,1.1796747967473427,-2.230303030303844
LONG,1372532,1372525,-7,-1.8328205128200157,-1.6766666666661743
LONG,2997763,2997748,-15,-1.1009950248756073,-1.1333333333333333
SHORT,787539,787522,-17,1.9794871794870823,2.0166666666666666
SHORT,2831320,2831325,5,-1.1463063063062602,2.3761250953470414
LONG,22872,22865,-7,-2.691666666666154,0.6955555555538051
LONG,3005796,3005818,22,2.260471976401221,-1.2227709190672509
LONG,1388007,1387985,-22,-1.2264993026499118,2.3615515771525932
SHORT,518992,519004,12,-1.5059190031154024,1.9241134751772455
LONG,1120908,1120926,18,-1.2058301647655716,-1.334156378600783
LONG,1006808,1006787,-21,2.3483660130718955,-1.2541471048512607
LONG,10942,10938,-4,-5.921212121207781,-2.4212121212077813
LONG,1231549,1231562,13,-1.2565560821484756,-1.3041198501871665
LONG,537969,537953,-16,0.49506172839362117,0.039393939396109356
SHORT,120781,120756,-25,2.32015503875969,2.4031604054859836
LONG,147456,147456,0,-1.1601577909270355,-1.1625625625625577
LONG,1607789,1607817,28,2.24938271604936,-1.2148148148148148
SHORT,940213,940192,-21,2.4357086302454505,2.425230202578275
SHORT,2177995,2178010,15,2.029275362319079,-1.436559139785083
LONG,2873658,2873678,20,2.4108182317407962,-1.0801975308642067
LONG,84384,84405,21,-0.07777777777777795,-5.921212121207781
SHORT,1620999,1621020,21,-1.066831275720168,-1.0638364779874199
SHORT,323207,323205,-2,1.8985185185183888,1.8705426356587016
SHORT,1604429,1604425,-4,2.446928104575161,-1.0590330788804072
SHORT,539752,539726,-26,1.2410852713183975,-2.104761904761905
