direction,15m_state,bucket,N,AvgR,PF,TotalR,WinRate,MaxDD
LONG,BULLISH,with_15m_trend,18349,-0.42758528284027425,0.5739610808538791,-7845.762354836193,0.27085944738132867,7846.303220701559
LONG,BEARISH,against_15m_trend,2476,-0.714474143800864,0.35939207219162117,-1769.0379800509395,0.18780290791599355,1764.8536663254508
LONG,NEUTRAL,15m_neutral,3020,-0.6240972859208994,0.4266565440496439,-1884.7738034811164,0.21887417218543045,1886.4240848363477
LONG,TRANSITION,15m_transition,1902,-0.7477682332525099,0.3468035518414599,-1422.2551796462737,0.19242902208201892,1420.595017044644
SHORT,BULLISH,against_15m_trend,2059,-0.7344730333453158,0.3446453623930274,-1512.2799756580052,0.18261291889266634,1511.9383261734647
SHORT,BEARISH,with_15m_trend,14770,-0.37480021036050526,0.6117204188267097,-5535.799107024663,0.2697359512525389,5542.469649002801
SHORT,NEUTRAL,15m_neutral,2688,-0.6585320301476459,0.3910150616626453,-1770.1340970368724,0.19754464285714285,1775.0703721889413
SHORT,TRANSITION,15m_transition,1711,-0.6730750750923317,0.3885288470728888,-1151.6314534829794,0.20397428404441847,1150.6002694128147
