timestamp,15m_state,5m_state,setup_id,5m_decision,5m_score,1m_execution_state,entry_timestamp,entry_price,stop,target,reason_codes
2018-05-23 17:00:00-05:00,BULLISH,TAKE,S58B-004650,TAKE_LONG,5,X1_FALLBACK,,6958.25,,,15M_SUPPORT_1|5M_HH|5M_HL|5M_MOM_UP|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-23 20:10:00-05:00,TRANSITION,TAKE,S58B-004651,TAKE_SHORT,4,MISSED_NO_CHASE,,,,,15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_MOM_LOSS
2018-05-23 20:35:00-05:00,BEARISH,TAKE,S58B-004652,TAKE_SHORT,4,X1_FAVORABLE,,6929.75,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN
2018-05-23 21:00:00-05:00,BEARISH,TAKE,S58B-004653,TAKE_SHORT,4,X1_FAVORABLE,,6926.5,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN
2018-05-23 22:30:00-05:00,BEARISH,TAKE,S58B-004655,TAKE_SHORT,5,X1_FALLBACK,,6937.5,,,15M_SUPPORT_2|5M_LH|5M_MOM_DN|5M_DIR_RESPONSE
2018-05-23 22:55:00-05:00,BEARISH,TAKE,S58B-004656,TAKE_SHORT,6,X1_FAVORABLE,,6939.25,,,15M_SUPPORT_2|5M_LH|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_REJECTION
2018-05-24 01:20:00-05:00,BULLISH,TAKE,S58B-004657,TAKE_SHORT,4,X1_FALLBACK,,6943.25,,,15M_NEUTRAL|5M_HH|5M_LL|5M_MOM_DN|5M_REJECTION|5M_MICRO_SHIFT
2018-05-24 01:55:00-05:00,BULLISH,TAKE,S58B-004659,TAKE_LONG,4,X1_FAVORABLE,,6956.25,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP
2018-05-24 02:20:00-05:00,BULLISH,TAKE,S58B-004660,TAKE_LONG,7,X1_FALLBACK,,6969.25,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-24 02:45:00-05:00,BULLISH,TAKE,S58B-004661,TAKE_LONG,6,X1_FAVORABLE,,6967.0,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-24 03:10:00-05:00,TRANSITION,TAKE,S58B-004662,TAKE_LONG,4,X1_FALLBACK,,6966.5,,,15M_NEUTRAL|5M_HH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_MOM_LOSS
2018-05-24 04:40:00-05:00,BEARISH,TAKE,S58B-004663,TAKE_LONG,5,X1_FALLBACK,,6967.25,,,15M_NEUTRAL|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-24 06:25:00-05:00,BEARISH,TAKE,S58B-004666,TAKE_SHORT,6,X1_FAVORABLE,,6956.75,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-24 06:50:00-05:00,BEARISH,TAKE,S58B-004667,TAKE_SHORT,5,X1_FAVORABLE,,6958.75,,,15M_SUPPORT_1|5M_LH|5M_LL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_MOM_LOSS
2018-05-24 07:15:00-05:00,BEARISH,TAKE,S58B-004668,TAKE_SHORT,6,X1_FAVORABLE,,6954.0,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-24 07:40:00-05:00,BEARISH,TAKE,S58B-004669,TAKE_SHORT,5,MISSED_NO_CHASE,,,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-24 08:10:00-05:00,TRANSITION,TAKE,S58B-004670,TAKE_SHORT,4,X1_FAVORABLE,,6948.25,,,15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-24 08:50:00-05:00,BEARISH,TAKE,S58B-004671,TAKE_SHORT,7,X1_FAVORABLE,,6921.5,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-24 12:35:00-05:00,TRANSITION,TAKE,S58B-004672,TAKE_SHORT,4,X1_FAVORABLE,,6949.0,,,15M_NEUTRAL|5M_LH|5M_HL|5M_MOM_DN|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-24 13:05:00-05:00,BULLISH,TAKE,S58B-004673,TAKE_LONG,6,X1_FAVORABLE,,6954.5,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_MOM_LOSS
2018-05-24 13:30:00-05:00,BULLISH,TAKE,S58B-004674,TAKE_LONG,5,X1_FAVORABLE,,6961.75,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK
2018-05-24 14:10:00-05:00,BULLISH,TAKE,S58B-004675,TAKE_LONG,5,X1_FALLBACK,,6963.5,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK
2018-05-24 14:45:00-05:00,BEARISH,TAKE,S58B-004676,TAKE_LONG,5,X1_FAVORABLE,,6952.25,,,15M_NEUTRAL|5M_HH|5M_HL|5M_MOM_DN|5M_DIR_RESPONSE|5M_REJECTION|5M_MOM_LOSS
2018-05-24 15:10:00-05:00,TRANSITION,TAKE,S58B-004677,TAKE_LONG,5,X1_FALLBACK,,6956.75,,,15M_NEUTRAL|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-24 17:15:00-05:00,BULLISH,TAKE,S58B-004678,TAKE_SHORT,5,X1_FAVORABLE,,6957.75,,,15M_NEUTRAL|5M_LH|5M_HL|5M_MOM_UP|5M_NEAR_SWING_HIGH|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-24 17:55:00-05:00,BULLISH,TAKE,S58B-004680,TAKE_LONG,4,MISSED_NO_CHASE,,,,,15M_SUPPORT_1|5M_HH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-24 20:15:00-05:00,BULLISH,TAKE,S58B-004681,TAKE_LONG,4,MISSED_NO_CHASE,,,,,15M_SUPPORT_1|5M_HH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-24 20:40:00-05:00,BULLISH,TAKE,S58B-004682,TAKE_LONG,5,X1_FAVORABLE,,6993.25,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK
2018-05-24 21:10:00-05:00,BULLISH,TAKE,S58B-004683,TAKE_LONG,5,X1_FAVORABLE,,6989.0,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-24 22:00:00-05:00,BEARISH,TAKE,S58B-004684,TAKE_LONG,4,X1_FAVORABLE,,6988.0,,,15M_NEUTRAL|5M_HH|5M_HL|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-25 00:50:00-05:00,TRANSITION,TAKE,S58B-004685,TAKE_SHORT,5,X1_FAVORABLE,,6986.25,,,15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_UP|5M_REJECTION|5M_MOM_LOSS|5M_RECLAIM
2018-05-25 02:10:00-05:00,BEARISH,TAKE,S58B-004688,TAKE_SHORT,4,X1_FALLBACK,,6971.75,,,15M_SUPPORT_2|5M_LH|5M_MOM_DN
2018-05-25 02:45:00-05:00,BEARISH,TAKE,S58B-004689,TAKE_SHORT,6,X1_FAVORABLE,,6975.0,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-25 04:15:00-05:00,BULLISH,TAKE,S58B-004690,TAKE_SHORT,4,X1_FALLBACK,,6983.75,,,15M_NEUTRAL|5M_LH|5M_MOM_UP|5M_DIR_RESPONSE|5M_MOM_LOSS|5M_RECLAIM
2018-05-25 04:45:00-05:00,BULLISH,TAKE,S58B-004691,TAKE_LONG,7,X1_FAVORABLE,,6986.25,,,15M_SUPPORT_2|5M_HH|5M_MOM_UP|5M_DIR_RESPONSE|5M_MOM_LOSS|5M_MICRO_SHIFT
