year,N,WinRate,AvgR,PF,TotalR,MaxDD,MedianHold,AvgHold,MFE,MAE,GrossAvgR,STOP_PCT,TARGET_PCT,TIME_PCT
2017,918.0,0.3137254901960784,0.08776251181628202,1.1281389728393956,80.5659858473469,40.01422726564101,3.0,5.4411764705882355,1.461870869065303,1.2099625439231763,0.08787810137265453,0.6840958605664488,0.30718954248366015,0.008714596949891068
2018,3707.0,0.2867547882384678,0.0016061811763691315,1.002251700443482,5.954113620800371,151.5954753035001,3.0,5.448880496358242,1.3519191404883155,1.1952182494588204,0.001709955217584274,0.7132452117615322,0.28567574858376044,0.0010790396547073105
2019,3788.0,0.29091869060190073,0.01591363674476357,1.0224781501340001,60.280855989164394,67.18216051883155,3.0,6.23442449841605,1.403444512356302,1.199566120697046,0.01600916919486257,0.7074973600844773,0.2885427666314678,0.00395987328405491
2020,3647.0,0.3054565396216068,0.06461652803580503,1.0931190019448405,235.65647774658095,55.01169276917483,4.0,6.364409103372635,1.403488788522274,1.1514731757457062,0.06468836476424909,0.6937208664655882,0.3021661639703866,0.004112969564025226
2021,3892.0,0.2831449126413155,-0.012437278414602331,0.9826409457135562,-48.40588758963227,179.97695276902206,3.0,5.949897225077081,1.3643284003010012,1.1610548956631377,-0.01238689935454991,0.7163412127440905,0.2803186022610483,0.0033401849948612537
2022,3824.0,0.29210251046025104,0.017736201747539617,1.0250661918591795,67.8232354825915,104.01007200748303,4.0,6.342311715481172,1.3651016096126216,1.1702576762557366,0.01779378954897179,0.7073744769874477,0.28922594142259417,0.003399581589958159
2023,3829.0,0.28884826325411334,0.006292039960801292,1.0088472194161193,24.092221009908148,98.32182858489396,3.0,6.110472708278924,1.433600297176006,1.1558733961049517,0.006343689627927004,0.7111517367458866,0.2854531209193001,0.0033951423348132673
2024,3824.0,0.30831589958158995,0.07649804961337,1.1107624451676452,292.5285417215269,77.96559472198032,3.0,6.2238493723849375,1.408974369647818,1.1539450055422007,0.0765359777134003,0.6901150627615062,0.3057008368200837,0.0041841004184100415
2025,3838.0,0.30406461698801457,0.05912156741361649,1.0849925604863164,226.90857573346008,119.13272932401195,4.0,6.475247524752476,1.4515393748478336,1.1843126509659432,0.059153867401822297,0.6954142782699323,0.3006774361646691,0.0039082855653986455
2026,2601.0,0.2837370242214533,-0.00923588563737625,0.9870860913938424,-24.022538542815624,93.51212882065057,4.0,6.426758938869665,1.359521373242035,1.2113053739771804,-0.009209195800247797,0.7151095732410612,0.28143021914648214,0.0034602076124567475
