control,N,WinRate,AvgR,PF,TotalR,MaxDD,MedianHold,AvgHold,MFE,MAE,GrossAvgR,STOP_PCT,TARGET_PCT,TIME_PCT,AvgR_p2.5,AvgR_p97.5
REAL,33868,0.2945553324672257,0.02720507797977239,1.0385937059326245,921.3815810189312,179.97695276902226,3.0,6.147277666233613,1.396679596231174,1.1755406867288993,0.027266113451562605,0.7046769812212118,0.29175032479036256,0.0035726939884256526,,
RANDOM,33868,,-0.00396347255030438,,,,,,,,,,,,-0.02045327505426697,0.017251907946842986
FLIPPED,33868,0.7054446675327743,-0.02720507797977239,0.9628404199715724,-921.3815810189312,1042.2290624209522,3.0,6.147277666233613,1.396679596231174,1.1755406867288993,0.027266113451562605,0.7046769812212118,0.29175032479036256,0.0035726939884256526,,
