exit_timestamp,result_R,cumulative_R,drawdown_R
2024-01-01 20:45:00-06:00,0.46543443107113297,0.46543443107113297,0.0
2024-01-01 21:05:00-06:00,-1.0,-0.5345655689288671,1.0
2024-01-02 14:50:00-06:00,-1.0,-1.534565568928867,2.0
2024-01-02 19:45:00-06:00,1.2971534413933055,-0.23741212753556162,0.7028465586066945
2024-01-03 10:00:00-06:00,-1.0,-1.2374121275355616,1.7028465586066945
2024-01-03 20:25:00-06:00,-1.0,-2.2374121275355616,2.7028465586066948
2024-01-04 10:10:00-06:00,1.3625339276868214,-0.8748781998487403,1.3403126309198732
2024-01-04 21:45:00-06:00,0.3598268619265165,-0.5150513379222238,0.9804857689933568
2024-01-04 22:45:00-06:00,-1.0,-1.5150513379222237,1.9804857689933566
2024-01-05 02:45:00-06:00,-1.0,-2.5150513379222237,2.980485768993357
2024-01-05 06:50:00-06:00,-1.0,-3.5150513379222237,3.980485768993357
2024-01-05 07:30:00-06:00,-1.0,-4.515051337922223,4.980485768993356
2024-01-08 21:20:00-06:00,-1.0,-5.515051337922223,5.980485768993356
2024-01-09 12:30:00-06:00,-1.0,-6.515051337922223,6.980485768993356
2024-01-09 12:50:00-06:00,-1.0,-7.515051337922223,7.980485768993356
2024-01-10 02:00:00-06:00,2.0,-5.515051337922223,5.980485768993356
2024-01-10 12:40:00-06:00,0.8577724890506139,-4.657278848871609,5.122713279942742
2024-01-10 13:55:00-06:00,2.0,-2.6572788488716093,3.1227132799427424
2024-01-10 14:10:00-06:00,-1.0,-3.6572788488716093,4.122713279942742
2024-01-11 01:35:00-06:00,0.09437070797974695,-3.5629081408918624,4.0283425719629955
2024-01-11 05:45:00-06:00,-1.0,-4.562908140891862,5.028342571962995
2024-01-12 10:05:00-06:00,-1.0,-5.562908140891862,6.028342571962995
2024-01-16 01:55:00-06:00,-1.0,-6.562908140891862,7.028342571962995
2024-01-16 11:00:00-06:00,-0.7385862521669405,-7.301494393058802,7.766928824129935
2024-01-17 14:20:00-06:00,-1.0,-8.301494393058803,8.766928824129936
2024-01-18 10:00:00-06:00,-1.0,-9.301494393058803,9.766928824129936
2024-01-18 12:05:00-06:00,1.0484553007141464,-8.253039092344657,8.71847352341579
2024-01-18 17:20:00-06:00,0.19715712441837566,-8.055881967926283,8.521316398997415
2024-01-19 11:30:00-06:00,2.0,-6.0558819679262825,6.521316398997415
2024-01-22 10:35:00-06:00,-0.037935755543051404,-6.093817723469334,6.5592521545404665
2024-01-23 01:30:00-06:00,-1.0,-7.093817723469334,7.5592521545404665
2024-01-23 08:55:00-06:00,-1.0,-8.093817723469334,8.559252154540467
2024-01-23 17:00:00-06:00,1.5814222423257316,-6.512395481143602,6.977829912214735
2024-01-24 07:10:00-06:00,2.0,-4.512395481143602,4.977829912214735
2024-01-26 10:35:00-06:00,-1.0,-5.512395481143602,5.977829912214735
2024-01-26 13:00:00-06:00,-1.0,-6.512395481143602,6.977829912214735
2024-01-28 17:00:00-06:00,2.0,-4.512395481143602,4.977829912214735
