model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Retest,direction,Long,543,224,316,41.25230202578269,-0.05619948175694588,-30.516318594021612,0.8887886503248794,39.73947348231307,2.0,-1.0,7,8
Retest,direction,Short,518,205,313,39.575289575289574,-0.0025393576561673664,-1.315387265894696,0.9951923338752925,37.455516799848574,2.0,-1.0,6,14
Retest,month,2024-01,44,16,28,36.36363636363637,-0.10979471902307698,-4.830967637015387,0.8134929947984897,9.766928824129936,2.0,-1.0,3,7
Retest,month,2024-02,33,13,20,39.39393939393939,-0.06670821915984959,-2.2013712322750365,0.8859988955338695,8.6989665929662,2.0,-1.0,4,4
Retest,month,2024-03,34,18,16,52.94117647058823,0.3508257114435126,11.928074189079428,1.7870919586793317,3.681367174448109,2.0,-1.0,4,3
Retest,month,2024-04,36,16,20,44.44444444444444,-0.07615112303384032,-2.7414404292182515,0.8563060535835908,9.196196699339598,2.0,-1.0,3,5
Retest,month,2024-05,40,12,28,30.0,-0.17986345470910745,-7.194538188364298,0.6985325493942999,14.99054621133567,2.0,-1.0,3,7
Retest,month,2024-06,36,13,22,36.111111111111114,-0.06006369374802994,-2.162292974929078,0.8831254548859058,5.071794994893545,2.0,-1.0,2,3
Retest,month,2024-07,47,14,33,29.78723404255319,-0.16109382346320997,-7.571409702770869,0.7114648026749927,12.04155551234615,2.0,-1.0,3,10
Retest,month,2024-08,28,11,17,39.285714285714285,-0.08539506143776081,-2.391061720257303,0.8386722187218711,7.664188907222376,2.0,-1.0,5,8
Retest,month,2024-09,32,12,20,37.5,0.01939307301882759,0.6205783366024828,1.0395814860109553,6.017749163013013,2.0,-1.0,2,4
Retest,month,2024-10,42,15,27,35.714285714285715,-0.10323804235585643,-4.33599777894597,0.8010647141875564,8.00750123294942,2.0,-1.0,3,8
Retest,month,2024-11,29,15,14,51.724137931034484,0.016843240510367515,0.4884539748006579,1.0387570662750636,4.294805718863108,2.0,-1.0,4,4
Retest,month,2024-12,35,13,22,37.142857142857146,-0.10200011653868896,-3.5700040788541134,0.8262651842139901,8.272795573129786,2.0,-1.0,4,7
Retest,month,2025-01,34,14,20,41.1764705882353,0.1919409463270351,6.525992175119193,1.390153882409831,7.241372934161692,2.0,-1.0,3,5
Retest,month,2025-02,33,14,18,42.42424242424242,0.06367312508667539,2.1012131278602877,1.1359787334529596,4.340587545287383,2.0,-1.0,3,5
Retest,month,2025-03,35,13,22,37.142857142857146,-0.047745038201894276,-1.6710763370662998,0.9079971049573881,6.2931419517675105,2.0,-1.0,3,7
Retest,month,2025-04,35,19,16,54.285714285714285,0.2275443271529836,7.964051450354425,1.585793591614768,3.028640653894694,2.0,-1.0,4,3
Retest,month,2025-05,37,16,21,43.24324324324324,0.04206432451347603,1.5563800069986131,1.0844422013287924,5.678596373358799,2.0,-1.0,3,5
Retest,month,2025-06,33,15,18,45.45454545454545,-0.11691892337587072,-3.8583244714037335,0.7501864177091991,8.561691061097886,2.0,-1.0,3,3
