N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,GrossAvgR,LONG,SHORT,MFE15,MAE15,MFE30,MAE30,year,model
52,0.3076923076923077,-0.18926675187713443,0.7847118618498202,-9.84187109761099,16.742004678108252,-1.1884487809080535,0.07692307692307693,26,26,2.743147994695965,2.213698699564723,3.603692974567522,2.8948911576061542,2017,B2
218,0.3211009174311927,-0.014640309324955214,0.9809743220350895,-3.1915874328402367,23.93949348088854,-1.0882625380441966,0.12385321100917432,116,102,2.332010548816452,2.264402536141471,3.156179278688123,3.1064989204786957,2018,B2
198,0.3939393939393939,0.22674786929369173,1.3254839920197161,44.89607812015096,10.598634133665584,-1.0983143069896162,0.3787878787878788,105,93,2.686265054277198,1.936221886471478,3.570318631364742,2.715849988332047,2019,B2
194,0.35051546391752575,0.14288154946011303,1.205198673665544,27.719020595261927,19.79896490310321,-1.0477091710485622,0.2194083370685791,114,80,2.2913976741275532,2.2102865359058903,2.924492678707043,3.1911536881896625,2020,B2
227,0.32158590308370044,0.0558563084419648,1.0770530980845758,12.67938201632601,24.75464627608898,-1.0488567990373028,0.12555066079295155,125,102,2.4564409675065715,2.5665905480272766,3.368751121345942,3.3351706843518993,2021,B2
222,0.2747747747747748,-0.08195295912969622,0.8916330115126935,-18.19355692679256,27.892898692150823,-1.0317110110769527,-0.038288288288288286,105,117,2.1655512981183,2.37845452596894,3.21014184986522,3.123494382190189,2022,B2
226,0.34513274336283184,0.1338026179280935,1.1915402509877835,30.239391651749134,16.325925459895107,-1.044060792349725,0.20150366398513384,127,99,2.4414892017764327,2.1643186199102837,3.171786205092009,3.1522391025220906,2023,B2
229,0.2838427947598253,-0.0631551123418358,0.9162797718916789,-14.462520726280397,32.489912103558396,-1.0396871945259007,-0.006550218340611353,127,102,2.379890888487269,2.347376130420257,3.3382251943769234,3.1861854782441377,2024,B2
210,0.3333333333333333,0.12597595007046078,1.1816777186271485,26.454949514796766,20.95006159447537,-1.0320568945524355,0.17018826135105203,116,94,2.573889624490994,2.346081801893993,3.543410771256119,3.2441391642241113,2025,B2
141,0.2624113475177305,-0.13169076154139617,0.8265625917102959,-18.56839737733686,26.230765689325278,-1.021156852527357,-0.1025283608406263,71,70,2.1823519803293925,2.407013927519632,3.0713131164498697,3.21620130328203,2026,B2
52,0.3076923076923077,-0.19762673824427493,0.7747678680947311,-10.276590388702296,20.58975933079985,-1.1792712882096152,0.07692307692307693,26,26,1.9129302271642155,2.569156342984159,2.757652112850602,3.449567320401753,2017,F1
216,0.3333333333333333,0.02475402817154051,1.0325156960973625,5.34687008505275,38.322004962846194,-1.0958679022257907,0.16666666666666666,105,111,2.5062544892312038,2.4019264685705544,3.3123421921216467,3.30552167207851,2018,F1
196,0.27040816326530615,-0.21516408396549774,0.743252021220128,-42.17216045723756,58.57393013398692,-1.1206604490134802,-0.06697242878193932,96,100,2.077529212752238,2.3227005145039534,2.910604497642326,3.183001804959094,2019,F1
200,0.38,0.2537871839896656,1.3811791767959163,50.75743679793312,11.740142389314107,-1.0473604808079489,0.3338217291507269,86,114,2.4624309658528656,2.238823549013836,3.409446287724314,2.939022487731742,2020,F1
222,0.32882882882882886,0.0786735265507505,1.1094849608398305,17.46552289426661,12.03108672981993,-1.0500308261405666,0.15090090090090091,102,120,2.709238287543116,2.4476756862475586,3.825830966547321,3.1984727365205594,2021,F1
224,0.24107142857142858,-0.20264484442071115,0.7447180950178806,-45.3924451502393,49.41603981941686,-1.0346122063339211,-0.15625,118,106,2.5807066321755854,2.553133257685647,3.5234506265354772,3.5836962645566453,2022,F1
226,0.336283185840708,0.10913503930888184,1.1536370872914314,24.664518883807297,18.68728900449546,-1.0492127719595212,0.17699115044247787,105,121,2.5730118510028666,2.3529826647216012,3.3678621021371047,3.1015395032781385,2023,F1
225,0.26666666666666666,-0.13142867096135274,0.831040647789008,-29.57145096630437,50.36508279808778,-1.0433760683760671,-0.06922621082621082,106,119,2.5510912687594685,2.7368094612438725,3.3682106925665463,3.755748265620656,2024,F1
216,0.32407407407407407,0.08144763650376331,1.1153611102502408,17.592689484812876,18.95544475044362,-1.0316573098263255,0.12731481481481483,100,116,2.4871924568986294,2.6428713359765794,3.5048059651477512,3.5623713364267933,2025,F1
144,0.3263888888888889,0.11185022866020307,1.1611282651344184,16.106432927069243,13.882448073459173,-1.0210434516786893,0.1423611111111111,76,68,2.677754927147046,2.375766769598106,3.6023677053542085,3.306873267056171,2026,F1
