date,rth_open_i,research_end_i,on_start_i,on_end_i,on_high,on_low,on_mid,prior_rth_high,prior_rth_low,prior_rth_close,prior_rth_mid,rth_open,atr_open,overnight_bars,prior_rth_bars,gap_atr,on_range_atr,open_vs_prior_high,open_vs_prior_low,open_vs_prior_close,open_inside_prior_range,open_class
2017-10-03,2256,2346,1347,2255,5995.5,5978.75,5987.125,6009.75,5958.5,5984.5,5984.125,5990.75,1.2142857142857142,909,390,5.147058823529412,13.794117647058824,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-04,3585,3675,2691,3584,5999.25,5984.0,5991.625,6004.75,5979.5,5998.5,5992.125,5986.0,1.2321428571428572,894,390,-10.144927536231883,12.376811594202898,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-05,4891,4981,4020,4890,6029.0,6001.0,6015.0,6015.5,5979.5,6003.0,5997.5,6024.0,1.1785714285714286,871,390,17.818181818181817,23.757575757575758,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-10-06,6218,6308,5326,6217,6071.5,6037.5,6054.5,6064.75,6017.5,6061.25,6041.125,6041.0,1.5178571428571428,892,390,-13.341176470588236,22.400000000000002,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-09,7558,7648,6652,7557,6082.5,6059.5,6071.0,6069.0,6040.5,6067.5,6054.75,6077.5,1.125,906,390,8.88888888888889,20.444444444444443,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-10-10,8884,8974,7992,8883,6083.0,6061.25,6072.125,6084.0,6054.75,6062.25,6069.375,6083.0,1.1428571428571428,892,390,18.15625,19.03125,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,ABOVE,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-11,10202,10292,9319,10201,6072.5,6053.25,6062.875,6088.5,6039.0,6067.0,6063.75,6064.0,0.9285714285714286,883,390,-3.230769230769231,20.73076923076923,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-12,11515,11605,10637,11514,6084.25,6071.5,6077.875,6086.0,6056.0,6085.0,6071.0,6076.25,1.1785714285714286,878,390,-7.424242424242424,10.818181818181818,BELOW_OR_EQUAL,ABOVE_OR_EQUAL,BELOW,True,OPEN_INSIDE_PRIOR_RANGE
2017-10-13,12863,12953,11950,12862,6098.5,6068.5,6083.5,6097.0,6066.5,6073.5,6081.75,6098.0,1.0892857142857142,913,390,22.491803278688526,27.54098360655738,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
2017-10-16,14206,14296,13298,14205,6115.0,6099.0,6107.0,6104.0,6090.0,6096.0,6097.0,6110.75,1.125,908,390,13.11111111111111,14.222222222222221,ABOVE,ABOVE_OR_EQUAL,ABOVE,False,OPEN_ABOVE_PRIOR_HIGH
