date,model,family,direction,level_type,level_price,touch_i,confirm_i,entry_i,entry_price,atr,confirmation_type,distance_beyond_atr,volume_ratio,body_fraction,time_bucket,reason_code,opportunity_state,move_from_open_atr,move_last_5m_atr,move_last_10m_atr,breakout_range_atr,gap_atr,on_range_atr,open_class,gross_r,net_r,cost_r,exit_reason,exit_i,hold_minutes,mfe_r,mae_r,risk,stop,target,mfe_5,mae_5,mfe_10,mae_10,mfe_15,mae_15,mfe_30,mae_30,mfe_60,mae_60,fp_0p5_before_0p5,fp_1p0_before_0p5,fp_1r_before_1r,fp_2p5r_before_1r,struct_net_r,struct_gross_r,struct_dist_atr,struct_exit,net_r_slip0,net_r_slip1,net_r_slip2,entry_ts,confirm_ts,touch_ts,year
2017-10-03,B0,CONTINUATION,LONG,ON_HIGH,5995.5,2262,2262,2263,5994.75,2.75,RAW_TOUCH,0.36363636363636365,,0.6521739130434783,0935_0945,B0_FIRST_TOUCH,TRADED,1.3636363636363635,1.0909090909090908,2.1818181818181817,2.090909090909091,5.147058823529412,13.794117647058824,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.2636363636363637,0.2636363636363636,M0_STOP,2268,5,1.8181818181818181,2.090909090909091,2.75,5992.0,6001.625,1.9090909090909092,0.18181818181818182,2.3636363636363638,2.0,3.727272727272727,2.0,3.727272727272727,2.0,3.727272727272727,5.454545454545454,True,True,True,False,-1.18125,-1.0,1.4545454545454546,M0_STOP,-1.2636363636363637,-1.3545454545454545,-1.4454545454545455,2017-10-03 09:37:00-04:00,2017-10-03 09:36:00-04:00,2017-10-03 09:36:00-04:00,2017
2017-10-03,B1,CONTINUATION,LONG,ON_HIGH,5995.5,2262,2264,2265,5997.5,3.0535714285714284,1M_CLOSE,0.736842105263158,,0.7692307692307693,0935_0945,B1_1M_CLOSE,ACCEPTED,2.2923976608187138,3.0292397660818717,3.0292397660818717,1.064327485380117,5.147058823529412,13.794117647058824,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.237426900584785,0.23742690058478522,M0_STOP,2267,2,0.736842105263158,1.1461988304093569,3.0535714285714284,5994.446428571428,6005.133928571428,0.6549707602339182,2.865497076023392,1.719298245614035,2.865497076023392,2.2923976608187138,2.865497076023392,2.2923976608187138,2.865497076023392,2.2923976608187138,5.976608187134503,True,False,False,False,-1.3222222222222222,-1.0,0.736842105263158,M0_STOP,-1.237426900584785,-1.319298245614025,-1.4011695906432646,2017-10-03 09:39:00-04:00,2017-10-03 09:38:00-04:00,2017-10-03 09:36:00-04:00,2017
2017-10-03,B2,CONTINUATION,LONG,ON_HIGH,5995.5,2262,2265,2266,5999.0,3.1607142857142856,2M_CLOSE,1.0282485875706215,18.042857142857144,0.875,0935_0945,B2_CONFIRMED,ACCEPTED,2.531073446327684,2.531073446327684,3.2429378531073447,0.8700564971751413,5.147058823529412,13.794117647058824,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.229378531073418,0.22937853107341805,M0_STOP,2267,1,0.07909604519774012,1.5819209039548023,3.1607142857142856,5995.839285714285,6006.901785714285,0.3163841807909605,3.0847457627118646,1.8983050847457628,3.0847457627118646,1.8983050847457628,3.0847457627118646,1.8983050847457628,3.0847457627118646,1.8983050847457628,6.090395480225989,False,False,False,False,-1.29,-1.0,0.7909604519774012,M0_STOP,-1.229378531073418,-1.308474576271158,-1.3875706214688983,2017-10-03 09:40:00-04:00,2017-10-03 09:39:00-04:00,2017-10-03 09:36:00-04:00,2017
2017-10-03,F1,REVERSAL,SHORT,ON_HIGH,5995.5,2262,2262,2263,5994.75,2.75,WICK_FAILURE,0.36363636363636365,,0.6521739130434783,0935_0945,F1_WICK_FAIL,FAILED_BREAK_TRADED,1.3636363636363635,1.0909090909090908,2.1818181818181817,2.090909090909091,5.147058823529412,13.794117647058824,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.2636363636363637,0.2636363636363636,M0_STOP,2264,1,0.0,1.3636363636363635,2.75,5997.5,5987.875,0.18181818181818182,1.9090909090909092,2.0,2.3636363636363638,2.0,3.727272727272727,2.0,3.727272727272727,5.454545454545454,3.727272727272727,False,False,False,False,-1.4142857142857144,-1.0,0.6363636363636364,M0_STOP,-1.2636363636363637,-1.3545454545454545,-1.4454545454545455,2017-10-03 09:37:00-04:00,2017-10-03 09:36:00-04:00,2017-10-03 09:36:00-04:00,2017
2017-10-03,F2,REVERSAL,SHORT,ON_HIGH,5995.5,2262,2267,2268,5995.0,3.5714285714285716,ACCEPTANCE_FAILURE,0.21,,0.8571428571428571,0935_0945,F2_RETURN_INSIDE,FAILED_BREAK_TRADED,1.1199999999999999,0.06999999999999999,0.9099999999999999,1.47,5.147058823529412,13.794117647058824,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.2030000000000074,0.2030000000000074,M0_STOP,2272,4,0.42,1.68,3.5714285714285716,5998.571428571428,5986.071428571428,1.6099999999999999,1.75,1.6099999999999999,2.8,1.6099999999999999,2.8,1.6099999999999999,2.8,4.27,2.8,True,True,True,False,-1.1705882352941177,-1.0,1.19,M0_STOP,-1.2030000000000074,-1.2730000000000075,-1.3430000000000073,2017-10-03 09:42:00-04:00,2017-10-03 09:41:00-04:00,2017-10-03 09:36:00-04:00,2017
2017-10-04,B0,CONTINUATION,SHORT,ON_LOW,5984.0,3598,3598,3599,5983.0,3.9285714285714284,RAW_TOUCH,0.2545454545454546,,0.813953488372093,0935_0945,B0_FIRST_TOUCH,TRADED,0.7000000000000001,2.8636363636363638,1.0818181818181818,2.7363636363636363,-10.144927536231883,12.376811594202898,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.1845454545454484,0.18454545454544843,M0_STOP,3606,7,0.0,1.0818181818181818,3.9285714285714284,5986.928571428572,5973.178571428572,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.781818181818182,0.9545454545454546,3.0545454545454547,0.9545454545454546,3.0545454545454547,False,False,False,False,-1.0674418604651164,-1.0,2.7363636363636363,M0_STOP,-1.1845454545454484,-1.248181818181812,-1.3118181818181756,2017-10-04 09:44:00-04:00,2017-10-04 09:43:00-04:00,2017-10-04 09:43:00-04:00,2017
2017-10-04,B1,CONTINUATION,SHORT,ON_LOW,5984.0,3598,3598,3599,5983.0,3.9285714285714284,1M_CLOSE,0.19090909090909092,,0.813953488372093,0935_0945,B1_1M_CLOSE,ACCEPTED,0.7000000000000001,2.8636363636363638,1.0818181818181818,2.7363636363636363,-10.144927536231883,12.376811594202898,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.1845454545454484,0.18454545454544843,M0_STOP,3606,7,0.0,1.0818181818181818,3.9285714285714284,5986.928571428572,5973.178571428572,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.781818181818182,0.9545454545454546,3.0545454545454547,0.9545454545454546,3.0545454545454547,False,False,False,False,-1.0674418604651164,-1.0,2.7363636363636363,M0_STOP,-1.1845454545454484,-1.248181818181812,-1.3118181818181756,2017-10-04 09:44:00-04:00,2017-10-04 09:43:00-04:00,2017-10-04 09:43:00-04:00,2017
2017-10-04,B2,CONTINUATION,SHORT,ON_LOW,5984.0,3598,3598,3599,5983.0,3.9285714285714284,2M_CLOSE,0.19090909090909092,14.30740037950664,0.7727272727272727,0935_0945,B2_CONFIRMED,ACCEPTED,0.7000000000000001,2.8636363636363638,1.0818181818181818,2.7363636363636363,-10.144927536231883,12.376811594202898,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.1845454545454484,0.18454545454544843,M0_STOP,3606,7,0.0,1.0818181818181818,3.9285714285714284,5986.928571428572,5973.178571428572,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.2090909090909092,0.9545454545454546,1.781818181818182,0.9545454545454546,3.0545454545454547,0.9545454545454546,3.0545454545454547,False,False,False,False,-1.0674418604651164,-1.0,2.7363636363636363,M0_STOP,-1.1845454545454484,-1.248181818181812,-1.3118181818181756,2017-10-04 09:44:00-04:00,2017-10-04 09:43:00-04:00,2017-10-04 09:43:00-04:00,2017
2017-10-04,F1,REVERSAL,LONG,ON_LOW,5984.0,3598,3599,3600,5984.25,4.107142857142857,WICK_FAILURE,0.12173913043478261,,0.25,0935_0945,F1_WICK_FAIL,FAILED_BREAK_TRADED,0.3652173913043479,1.8869565217391306,1.2173913043478262,1.4608695652173915,-10.144927536231883,12.376811594202898,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.1765217391304237,0.17652173913042363,M0_STOP,3603,3,0.42608695652173917,1.156521739130435,4.107142857142857,5980.142857142857,5994.517857142857,0.48695652173913045,1.2173913043478262,0.8521739130434783,1.2173913043478262,1.582608695652174,1.2173913043478262,2.6173913043478265,1.2173913043478262,2.6173913043478265,1.2173913043478262,False,False,False,False,-1.3222222222222222,-1.0,0.5478260869565218,M0_STOP,-1.1765217391304237,-1.237391304347815,-1.2982608695652063,2017-10-04 09:45:00-04:00,2017-10-04 09:44:00-04:00,2017-10-04 09:43:00-04:00,2017
2017-10-04,F2,REVERSAL,LONG,ON_LOW,5984.0,3598,3599,3600,5984.25,4.107142857142857,ACCEPTANCE_FAILURE,0.12173913043478261,,0.25,0935_0945,F2_RETURN_INSIDE,FAILED_BREAK_TRADED,0.3652173913043479,1.8869565217391306,1.2173913043478262,1.4608695652173915,-10.144927536231883,12.376811594202898,OPEN_INSIDE_PRIOR_RANGE,-1.0,-1.1765217391304237,0.17652173913042363,M0_STOP,3603,3,0.42608695652173917,1.156521739130435,4.107142857142857,5980.142857142857,5994.517857142857,0.48695652173913045,1.2173913043478262,0.8521739130434783,1.2173913043478262,1.582608695652174,1.2173913043478262,2.6173913043478265,1.2173913043478262,2.6173913043478265,1.2173913043478262,False,False,False,False,-1.3222222222222222,-1.0,0.5478260869565218,M0_STOP,-1.1765217391304237,-1.237391304347815,-1.2982608695652063,2017-10-04 09:45:00-04:00,2017-10-04 09:44:00-04:00,2017-10-04 09:43:00-04:00,2017
