N,WinRate,AvgR,PF,TotalR,MaxDD,MedianR,GrossAvgR,LONG,SHORT,MFE15,MAE15,MFE30,MAE30,dist_bin
78,0.358974358974359,0.17449827774008114,1.2573819770023427,13.61086566372633,7.434172349994231,-1.0327951727359812,0.23456295218503284,42,36,2.0756191376092707,1.8373809309236766,2.6258791049685692,2.6321859675542916,0-0.05
112,0.36607142857142855,0.21047513724432104,1.3120803065294915,23.573215371363958,18.57163560572362,-1.0420944512167583,0.28785299003322257,63,49,2.1672919170338534,1.9992459595232395,2.928473795421444,2.608734956159043,0.05-0.10
191,0.2931937172774869,-0.05451437321899132,0.9279897405062442,-10.412245284827343,28.72872697439862,-1.0405999999999993,0.02261408031466766,99,92,2.2616811810621376,2.0190257657183217,3.05801394443147,2.727555082488764,0.10-0.20
494,0.31983805668016196,0.03943283482506165,1.0541054074583853,19.479820403580455,37.97892571981578,-1.03665920946,0.11532010034732358,269,225,2.241346836589582,1.9634934604208103,3.0228490683557387,2.719621663245314,0.20-0.50
1039,0.31953801732435033,0.02996915823088438,1.0405927234413017,31.13795540188887,38.42532296712703,-1.0424242424242411,0.11700213415909946,558,481,2.5583427542420556,2.524317565448224,3.5288798093996196,3.460927556946881,>0.50
